"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls"
"group_L3_9fdede5c","(18<i>S</i>)-resolvin E2(1−)","small_molecule",3,3,1,"blood,infliximab,bowel,diagnosis,disease",FALSE,"OMOGENEO+MAL_nominato"
"group_L3_9aee2e5e","(<i>R</i>)-laudanosine(1+)","small_molecule",3,3,1,"cancer,prostate,atcc,du145,htb",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_097661ef","(<i>S</i>)-1,2,9,10-tetramethoxy-6-methylaporphine(1+)","small_molecule",3,3,1,"cancer,prostate,atcc,provider,vendor",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_4b1776e2","(<i>S</i>)-2-hydroxyhexadecanoate","small_molecule",4,4,0.75,"jq1,lung,cancer,100nm,10jq1",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_b7693077","(<i>S</i>)-mandelonitrile","vehicle_only",8,8,1,"dmso,fibroblasts,skin,dermal,fibroblast",FALSE,"vehicle/none"
"group_L4_12db7a61","1-(β-<small>D</small>-galactosyl)-2-(2-hydroxyacyl)sphingosine","cytokine_stim",8,8,0.38,"disease,fibroblast,ifng,dermal,fibroblasts",FALSE,"ETEROGENEO(sospetto)"
"group_L4_716ab478","1-lauroyl-<em>sn</em>-glycerol","small_molecule",3,3,1,"olaparib,rep1,rep3,resistant,50um",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_54cb9f8b","17β-estradiol","small_molecule",12,12,1,"breast,mcf7,adenocarcinoma,cancer,estrogen",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_ec80f0e9","17β-hydroxy-17-methylestra-4,9,11-trien-3-one","small_molecule",14,14,1,"prostate,r1881,cancer,lncap,rep1",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_a2b3319f","17β-hydroxy-5α-androstan-3-one","small_molecule",5,4,1,"cancer,dht,prostate,lncap,rep1",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_0b0da25f","2,2',3,4',5,5'-Hexachloro-4-biphenylol","small_molecule",3,3,1,"cisplatin,ddp,cancer,gastric,phenotype",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_bed9a21a","2,2',4,4',5,5'-hexachlorobiphenyl","small_molecule",3,3,1,"cisplatin,lung,a549,adenocarcinoma,adenocarcinomic",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_bf11068a","2,2',5,5'-tetrachlorobiphenyl","small_molecule",3,3,1,"cisplatin,lung,a549,adenocarcinoma,rep1",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_b5b52790","2-amino-6-(1-hydroxypropyl)-8-methylpteridine-4,7(3<em>H</em>,8<em>H</em>)-dione","small_molecule",5,5,1,"lung,cancer,small,h446,10um",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_ef26ead2","2-decenal","small_molecule",4,4,1,"prostate,cancer,enzalutamide,atcc,crenolanib",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_1fc41cfe","2-hydroxy-6-oxohexa-2,4-dienoic acid","cytokine_stim",7,7,0.86,"blood,healthy,macrophages,monocyte,24h",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_143c92cc","2-oxoglutarate(2−)","small_molecule",3,3,1,"cancer,dht,prostate,vcap,10nm",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_28925bac","2<em>H</em>-azirine","small_molecule",3,3,1,"prostate,cancer,22rv1,carcinoma,clone",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_516fa196","3,5-dibromo-4-hydroxybenzonitrile","small_molecule",3,3,1,"cancer,prostate,dht,vcap,10nm",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_beeb180f","3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime","small_molecule",3,3,0.67,"04r,100nm,1um,amount,cardiac",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_d4b45b63","4-maleylacetoacetate","small_molecule",7,7,1,"dht,prostate,cancer,lncap,genotype",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_f6799506","5-fluorouracil","small_molecule",6,6,1,"colon,hct116,cancer,colorectal,genotype",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_ee9efe5d","6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol","small_molecule",10,10,1,"breast,estradiol,cancer,mcf7,epithelial",FALSE,"OMOGENEO+MAL_nominato"
"group_L3_3b39bb20","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA","small_molecule",4,4,1,"lncap,prostate,cancer,atcc,crl",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_947db0c8","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NHC(=O)[CH<small><sub>2</sub></small>]<small><sub>4</sub></small>C(=O)NHR group","small_molecule",5,5,1,"breast,cancer,100nm,atcc,athymic",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_f79abfc2","<small>D</small>-cycloserine(1+)","small_molecule",5,5,1,"jq1,lung,cancer,small,24h",TRUE,"OMOGENEO+ben_nominato"
"group_L4_8e9663a4","<small>L</small>-dehydroascorbic acid","small_molecule",3,3,1,"prostate,cancer,1100d,atcc,bleo",FALSE,"OMOGENEO+MAL_nominato"
"group_L4_451d0812","APOE","genetic_overexpression",3,3,1,"apoe,genotype,44c,apoee3,astrocyte",TRUE,"OMOGENEO+ben_nominato"
"group_L3_e4752bd1","Abomasum","disease_vs_normal",4,4,0.5,"disease,neuron,1bis,2bis,2ndds",FALSE,"ETEROGENEO(sospetto)"
"group_L4_e26efbea","Adenocarcinoma of Lung","disease_vs_normal",19,19,1,"adenocarcinoma,lung,disease,genotype,state",TRUE,"OMOGENEO+ben_nominato"
"group_L3_2adb994a","Alzheimer Disease","disease_vs_normal",14,14,0.93,"alzheimer,brain,disease,area,biomaterial",TRUE,"OMOGENEO+ben_nominato"
