"cluster_id","kind_effective_resolved","agent_id_resolved","level","k_raw","n_entry","k_eff","n_bracci_extra","ammesso"
"group_L4_8bc49282","cytokine_stim","CHEBI:16236",4,5,6,4,2,TRUE
"group_L4_575a05a0","cytokine_stim","CHEBI:16635",4,14,10,7,3,TRUE
"group_L4_e7af61eb","cytokine_stim","CHEBI:16990",4,3,0,0,0,FALSE
"group_L4_f60e4b93","cytokine_stim","CHEBI:16991",4,4,2,1,1,FALSE
"group_L4_12db7a61","cytokine_stim","CHEBI:16994",4,8,5,3,2,TRUE
"group_L4_1fc41cfe","cytokine_stim","CHEBI:17236",4,7,4,2,2,FALSE
"group_L4_0a2f157f","cytokine_stim","CHEBI:85994",4,4,3,3,0,TRUE
"group_L4_bbf35774","cytokine_stim","CHEBI:90943",4,5,2,2,0,FALSE
"group_L4_62886a35","cytokine_stim","HGNC:6000",4,3,2,2,0,FALSE
"group_L4_6338e109","cytokine_stim","HGNC:6016",4,3,3,1,2,FALSE
"group_L4_c72babec","cytokine_stim","HGNC:CD44",4,3,6,3,3,TRUE
"group_L4_4af22b3d","cytokine_stim","HGNC:IFNA1",4,3,3,2,1,FALSE
"group_L4_fc118460","cytokine_stim","HGNC:IFNG",4,5,1,1,0,FALSE
"group_L4_fd9ac584","cytokine_stim","HGNC:TGFB1",4,5,4,4,0,TRUE
"group_L4_963812d7","cytokine_stim","MeSH:D015847",4,5,3,2,1,FALSE
"group_L4_e2b9db4d","cytokine_stim","MeSH:D020381",4,3,2,2,0,FALSE
"group_L4_3dc3ae01","cytokine_stim","MeSH:D053583",4,4,4,3,1,TRUE
"group_L4_24d3ad45","cytokine_stim","UNK",4,4,7,2,5,FALSE
"group_L4_f18583fe","differentiation","STR:osteogenic differentiation",4,3,0,0,0,FALSE
"group_L4_3b27bc1c","differentiation","UNK",4,14,4,4,0,TRUE
"group_L4_2e8f285e","disease_vs_normal","MeSH:D000018",4,4,3,2,1,FALSE
"group_L4_e26efbea","disease_vs_normal","MeSH:D000077192",4,19,9,6,3,TRUE
"group_L4_8c14612b","disease_vs_normal","MeSH:D000077195",4,5,2,1,1,FALSE
"group_L4_d2038450","disease_vs_normal","MeSH:D000544",4,14,4,3,1,TRUE
"group_L4_a0b42488","disease_vs_normal","MeSH:D000937",4,3,1,1,0,FALSE
"group_L4_87b13599","disease_vs_normal","MeSH:D001172",4,7,1,1,0,FALSE
"group_L4_a170bacd","disease_vs_normal","MeSH:D001749",4,8,3,3,0,TRUE
"group_L4_cdf62f6e","disease_vs_normal","MeSH:D001932",4,7,0,0,0,FALSE
"group_L4_5d10ee81","disease_vs_normal","MeSH:D001943",4,88,7,6,1,TRUE
"group_L4_32c7c22b","disease_vs_normal","MeSH:D002289",4,8,2,1,1,FALSE
"group_L4_7b3e137b","disease_vs_normal","MeSH:D002292",4,4,5,2,3,FALSE
"group_L4_f400bd07","disease_vs_normal","MeSH:D002294",4,5,0,0,0,FALSE
"group_L4_1b0a9fae","disease_vs_normal","MeSH:D002311",4,4,1,1,0,FALSE
"group_L4_c347e80c","disease_vs_normal","MeSH:D002583",4,3,0,0,0,FALSE
"group_L4_7b18ac95","disease_vs_normal","MeSH:D003093",4,7,1,1,0,FALSE
"group_L4_84ea71c0","disease_vs_normal","MeSH:D003110",4,7,16,1,15,FALSE
"group_L4_64e3fe95","disease_vs_normal","MeSH:D003149",4,7,0,0,0,FALSE
"group_L4_19b6c96c","disease_vs_normal","MeSH:D003319",4,3,2,2,0,FALSE
"group_L4_b1405a79","disease_vs_normal","MeSH:D003424",4,5,5,3,2,TRUE
"group_L4_3d6e0820","disease_vs_normal","MeSH:D003876",4,4,1,1,0,FALSE
"group_L4_bb69e150","disease_vs_normal","MeSH:D004070",4,3,0,0,0,FALSE
"group_L4_a9cfd50f","disease_vs_normal","MeSH:D005754",4,4,1,1,0,FALSE
"group_L4_a1ee44e6","disease_vs_normal","MeSH:D005758",4,4,0,0,0,FALSE
"group_L4_9e292c1b","disease_vs_normal","MeSH:D005811",4,3,0,0,0,FALSE
"group_L4_80ac0ed3","disease_vs_normal","MeSH:D005814",4,12,0,0,0,FALSE
"group_L4_1fa045f1","disease_vs_normal","MeSH:D005815",4,9,0,0,0,FALSE
"group_L4_7d3c4ad7","disease_vs_normal","MeSH:D005838",4,4,0,0,0,FALSE
"group_L4_4299ffe1","disease_vs_normal","MeSH:D005843",4,7,0,0,0,FALSE
"group_L4_dd765589","disease_vs_normal","MeSH:D006283",4,4,0,0,0,FALSE
"group_L4_39cc2a81","disease_vs_normal","MeSH:D006290",4,5,0,0,0,FALSE
"group_L4_142539a3","disease_vs_normal","MeSH:D006519",4,3,2,2,0,FALSE
"group_L4_c51b10c1","disease_vs_normal","MeSH:D006528",4,15,5,4,1,TRUE
"group_L4_bee2a902","disease_vs_normal","MeSH:D006559",4,17,2,2,0,FALSE
"group_L4_82c33c37","disease_vs_normal","MeSH:D006822",4,3,0,0,0,FALSE
"group_L4_15852953","disease_vs_normal","MeSH:D007948",4,3,0,0,0,FALSE
"group_L4_8e044e3f","disease_vs_normal","MeSH:D008113",4,7,3,2,1,FALSE
"group_L4_eda28231","disease_vs_normal","MeSH:D008175",4,17,1,1,0,FALSE
"group_L4_7b5eb087","disease_vs_normal","MeSH:D008556",4,9,0,0,0,FALSE
"group_L4_0d500171","disease_vs_normal","MeSH:D009145",4,3,0,0,0,FALSE
"group_L4_5948b228","disease_vs_normal","MeSH:D009148",4,3,0,0,0,FALSE
"group_L4_fe6230f9","disease_vs_normal","MeSH:D009149",4,3,0,0,0,FALSE
"group_L4_15ed3825","disease_vs_normal","MeSH:D009359",4,3,0,0,0,FALSE
"group_L4_6b9c4237","disease_vs_normal","MeSH:D009369",4,18,5,4,1,TRUE
"group_L4_5906c3a8","disease_vs_normal","MeSH:D009370",4,3,0,0,0,FALSE
"group_L4_8f39d423","disease_vs_normal","MeSH:D009372",4,4,0,0,0,FALSE
"group_L4_f0c1bbb5","disease_vs_normal","MeSH:D009374",4,4,0,0,0,FALSE
"group_L4_0d2bc325","disease_vs_normal","MeSH:D009427",4,10,2,1,1,FALSE
"group_L4_65eca568","disease_vs_normal","MeSH:D009719",4,4,1,1,0,FALSE
"group_L4_43d42805","disease_vs_normal","MeSH:D009789",4,5,0,0,0,FALSE
"group_L4_6e603c1c","disease_vs_normal","MeSH:D009875",4,7,0,0,0,FALSE
"group_L4_751db365","disease_vs_normal","MeSH:D010051",4,10,3,2,1,FALSE
"group_L4_d1652ba6","disease_vs_normal","MeSH:D010190",4,14,4,3,1,TRUE
"group_L4_736f301a","disease_vs_normal","MeSH:D010253",4,3,2,2,0,FALSE
"group_L4_81145605","disease_vs_normal","MeSH:D011271",4,3,0,0,0,FALSE
"group_L4_1374c2fd","disease_vs_normal","MeSH:D011273",4,4,1,1,0,FALSE
