"cluster_id","original_k","qc_final_k","original_n_studies","qc_final_n_studies","reason","anchor_key"
"group_L4_e7af61eb",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","cytokine_stim|CHEBI:16990|skin"
"group_L4_f60e4b93",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","cytokine_stim|CHEBI:16991|blood"
"group_L4_1fc41cfe",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","cytokine_stim|CHEBI:17236|blood"
"group_L4_bbf35774",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","cytokine_stim|CHEBI:90943|lung"
"group_L4_62886a35",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","cytokine_stim|HGNC:6000|blood"
"group_L4_6338e109",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","cytokine_stim|HGNC:6016|blood"
"group_L4_4af22b3d",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","cytokine_stim|HGNC:IFNA1|lung"
"group_L4_fc118460",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","cytokine_stim|HGNC:IFNG|skin"
"group_L4_963812d7",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","cytokine_stim|MeSH:D015847|blood"
"group_L4_e2b9db4d",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","cytokine_stim|MeSH:D020381|skin"
"group_L4_24d3ad45",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","cytokine_stim|UNK|blood"
"group_L4_f18583fe",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","differentiation|STR:osteogenic differentiation|bone marrow"
"group_L4_2e8f285e",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|MeSH:D000018|brain"
"group_L4_8c14612b",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D000077195|head and neck"
"group_L4_a0b42488",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D000937|bone marrow"
"group_L4_87b13599",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D001172|synovium"
"group_L4_cdf62f6e",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D001932|brain"
"group_L4_32c7c22b",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D002289|lung"
"group_L4_7b3e137b",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|MeSH:D002292|kidney"
"group_L4_f400bd07",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D002294|lung"
"group_L4_1b0a9fae",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D002311|heart"
"group_L4_c347e80c",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D002583|cervix"
"group_L4_7b18ac95",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D003093|colon"
"group_L4_84ea71c0",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D003110|colon"
"group_L4_64e3fe95",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D003149|colon"
"group_L4_19b6c96c",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|MeSH:D003319|ileum"
"group_L4_3d6e0820",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D003876|skin"
"group_L4_bb69e150",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D004070|peripheral blood"
"group_L4_a9cfd50f",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D005754|brain"
"group_L4_a1ee44e6",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D005758|brain"
"group_L4_9e292c1b",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D005811|brain"
"group_L4_80ac0ed3",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D005814|brain"
"group_L4_1fa045f1",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D005815|brain"
"group_L4_7d3c4ad7",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D005838|brain"
"group_L4_4299ffe1",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D005843|brain"
"group_L4_dd765589",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D006283|liver"
"group_L4_39cc2a81",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D006290|liver"
"group_L4_142539a3",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|MeSH:D006519|liver"
"group_L4_bee2a902",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|MeSH:D006559|liver"
"group_L4_82c33c37",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D006822|liver"
"group_L4_15852953",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D007948|peripheral blood"
"group_L4_8e044e3f",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|MeSH:D008113|liver"
"group_L4_eda28231",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D008175|lung"
"group_L4_7b5eb087",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D008556|skin"
"group_L4_0d500171",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009145|bone marrow"
"group_L4_5948b228",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009148|bone marrow"
"group_L4_fe6230f9",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009149|bone marrow"
"group_L4_15ed3825",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009359|nasopharynx"
"group_L4_5906c3a8",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009370|nasopharynx"
"group_L4_8f39d423",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009372|nasopharynx"
"group_L4_f0c1bbb5",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009374|lung"
"group_L4_0d2bc325",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D009427|lung"
"group_L4_65eca568",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D009719|lung"
"group_L4_43d42805",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009789|pancreas"
"group_L4_6e603c1c",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D009875|ovary"
"group_L4_751db365",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|MeSH:D010051|ovary"
"group_L4_736f301a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|MeSH:D010253|brain"
"group_L4_81145605",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D011271|prostate"
"group_L4_1374c2fd",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D011273|prostate"
"group_L4_a2c9a440",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|MeSH:D012115|kidney"
"group_L4_5a0c5d8b",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D012138|synovium"
"group_L4_2d512638",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D015179|colon"
"group_L4_8f0b3b9e",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D015470|bone marrow"
"group_L4_20ad3f49",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D054218|bone marrow"
"group_L4_e07b15b6",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D055752|lung"
"group_L4_ef94a846",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|MeSH:D064726|breast"
"group_L4_76481b62",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:adenocarcinoma|lung"
"group_L4_46a1836e",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:aml|bone marrow"
"group_L4_6c041f71",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:basal|breast"
"group_L4_e2fc1731",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:biliary_atresia|liver"
"group_L4_a1837eb4",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|STR:breast|breast"
"group_L4_4c7aac46",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:breast_cancer_cell|breast"
"group_L4_40d9c293",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:breast_cancer_cell_line|breast"
"group_L4_bb656ab0",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:breast_cancer_tissue|breast"
"group_L4_9cf864dd",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:chronic_lymphocytic_leukemia_cll|blood"
"group_L4_268a3bc7",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:colon_cancer_cell_line|colon"
"group_L4_5ccfb53b",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:colon_cancer_organoids|colon"
"group_L4_2aa37291",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:colorectal_adenocarcinoma|colon"
"group_L4_ebb64d32",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:colorectal_cancer_cell_line|colon"
"group_L4_ac93fc14",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:colorectal_carcinoma_samples|colorectal carcinoma"
"group_L4_a4daa2ed",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:diagnosis|bone marrow"
"group_L4_9bd9a6eb",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:dukes_type_c|colon"
"group_L4_3c156cdb",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:esophageal_squamous_cell_carcinoma|esophagus"
"group_L4_7e69bff8",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:gastric_cancer_cell|stomach"
"group_L4_39435ea0",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:gastric_cancer_tissue|stomach"
"group_L4_c3d30385",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:gbm|brain"
"group_L4_663a38e9",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:glioblastoma|brain"
"group_L4_3c130f26",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:glioblastoma_grade_iv|brain"
"group_L4_07e9e5e0",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|STR:hcc|liver"
"group_L4_a0dba754",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:hepatocellular_carcinoma_cells|liver"
"group_L4_b5396d3a",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:high_grade_serous_ovarian_cancer|ovary"
"group_L4_1fa75cb5",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_bladder_cancer_cell_line_j82|bladder"
"group_L4_025fc839",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:human_breast_cancer|breast"
"group_L4_58521c12",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_breast_cancer_cells|breast"
"group_L4_5bf64e28",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_colon_cancer_cells|colon"
"group_L4_7ba4555f",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_esophageal_squamous_carcinoma_cells|esophagus"
