"cluster_id","n_sig","I2_med","tau2_med","k_med","anchor_key","kind_effective_resolved","level","mode"
"group_L4_2ef74d8b",6347,46.9,0.0213,4,"pathogen_or_aggregate_exposure|STR:tuberculosis|blood","pathogen_or_aggregate_exposure",4,"group"
"group_L4_3b83ac87",6088,65.4,0.023,3,"small_molecule|CHEBI:85993|breast","small_molecule",4,"group"
"group_L4_ec80f0e9",5894,93.8,0.0759,10,"small_molecule|CHEBI:379896|prostate","small_molecule",4,"group"
"group_L4_455cb1f4",5338,91.2,0.3301,3,"genetic_overexpression|STR:mir-9/9*-124|skin","genetic_overexpression",4,"group"
"group_L4_f4b9f686",5141,94.5,0.2513,4,"small_molecule|CHEBI:27953|prostate","small_molecule",4,"group"
"group_L4_51625c0e",4184,42.1,0.0229,3,"small_molecule|CHEBI:231601|breast","small_molecule",4,"group"
"group_L4_55d8a924",4102,91.2,0.3752,4,"pathogen_or_aggregate_exposure|CHEBI:16412|peripheral blood","pathogen_or_aggregate_exposure",4,"group"
"group_L4_f6799506",3885,92,0.2183,3,"small_molecule|CHEBI:46345|colon","small_molecule",4,"group"
"group_L4_973aedcb",3802,24,0.0081,3,"disease_vs_normal|STR:cd|ileum","disease_vs_normal",4,"group"
"group_L4_bd3c6e11",3689,92.1,0.2189,39,"pathogen_or_aggregate_exposure|UNK|blood","pathogen_or_aggregate_exposure",4,"group"
"group_L4_3dc3ae01",3551,61.9,0.06,3,"cytokine_stim|MeSH:D053583|cartilage","cytokine_stim",4,"group"
"group_L4_e26efbea",3422,65.4,0.1121,6,"disease_vs_normal|MeSH:D000077192|lung","disease_vs_normal",4,"group"
"group_L4_acedcf7f",3376,0,0,3,"small_molecule|CHEBI:16579|blood","small_molecule",4,"group"
"group_L4_073a3d38",3018,79.3,0.1107,3,"genetic_overexpression|HGNC:6407|lung","genetic_overexpression",4,"group"
"group_L4_0a2f157f",2941,74.1,0.1236,3,"cytokine_stim|CHEBI:85994|liver","cytokine_stim",4,"group"
"group_L4_2c92ab19",2896,6,0.0012,3,"disease_vs_normal|STR:primary_sjogren_s_syndrome|peripheral blood","disease_vs_normal",4,"group"
"group_L4_904476b5",2797,90.7,0.3027,3,"genetic_knockdown|HGNC:INTS11|colorectal carcinoma","genetic_knockdown",4,"group"
"group_L4_c44feb2b",2608,0,0,3,"disease_vs_normal|STR:nsclc|blood","disease_vs_normal",4,"group"
"group_L4_deda8dff",2510,94.5,0.2729,8,"small_molecule|CHEBI:123456|lung","small_molecule",4,"group"
"group_L4_1bc4e885",2432,62.7,0.0901,5,"disease_vs_normal|STR:ipf|lung","disease_vs_normal",4,"group"
"group_L4_fd9ac584",2350,62.8,0.0702,4,"cytokine_stim|HGNC:TGFB1|lung","cytokine_stim",4,"group"
"group_L4_bd1c9740",2344,91.7,0.2604,4,"pathogen_or_aggregate_exposure|NCBITaxon:11320|lung","pathogen_or_aggregate_exposure",4,"group"
