"cluster_id","kind","nome","k_attuale","k_solo_instudio","k_con_prestito","n_studi","classe_recupero"
"group_L4_1fc41cfe","cytokine_stim","2-hydroxy-6-oxohexa-2,4-dienoic acid",5,4,4,7,"A_in_studio (nessun prestito)"
"group_L4_bbf35774","cytokine_stim","osimertinib",4,4,4,5,"A_in_studio (nessun prestito)"
"group_L4_963812d7","cytokine_stim","Interleukin-4",4,4,4,5,"A_in_studio (nessun prestito)"
"group_L4_4af22b3d","cytokine_stim","IFNA1",3,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_e2b9db4d","cytokine_stim","Interleukin-17",3,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_bee2a902","disease_vs_normal","Pemphigoid Gestationis",5,4,6,17,"A_in_studio (nessun prestito)"
"group_L4_7b18ac95","disease_vs_normal","Colitis, Ulcerative",6,5,5,7,"A_in_studio (nessun prestito)"
"group_L4_cdf62f6e","disease_vs_normal","Brain Neoplasms",2,3,4,7,"A_in_studio (nessun prestito)"
"group_L4_76481b62","disease_vs_normal","adenocarcinoma",2,3,4,9,"A_in_studio (nessun prestito)"
"group_L4_2e8f285e","disease_vs_normal","Abomasum",2,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_19b6c96c","disease_vs_normal","Corneal Stroma",2,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_142539a3","disease_vs_normal","Hepatitis, Alcoholic",3,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_eda28231","disease_vs_normal","Lung Neoplasms",2,3,3,17,"A_in_studio (nessun prestito)"
"group_L4_736f301a","disease_vs_normal","Respirovirus Infections",3,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_3c156cdb","disease_vs_normal","esophageal squamous cell carcinoma",3,3,3,6,"A_in_studio (nessun prestito)"
"group_L4_1ef5c8a4","disease_vs_normal","idiopathic pulmonary fibrosis",4,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_276c3cb1","environmental","exercise",2,3,4,4,"A_in_studio (nessun prestito)"
"group_L4_913445f4","environmental","dioxygen",2,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_b5f9ab82","environmental","Ultraviolet Rays",4,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_495fc876","environmental","Asthma",2,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_1151f763","genetic_knockdown","RGS4",5,3,5,5,"A_in_studio (nessun prestito)"
"group_L4_8ea8f6e1","genetic_knockdown","SOX4",3,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_8cf4e61b","genetic_overexpression","MAN2C1",5,4,4,6,"A_in_studio (nessun prestito)"
"group_L4_3ce6e25f","pathogen_or_aggregate_exposure","hexanoate",8,5,5,9,"A_in_studio (nessun prestito)"
"group_L4_3b8583a4","pathogen_or_aggregate_exposure","hbv",3,3,5,5,"A_in_studio (nessun prestito)"
"group_L4_d0eccb1a","pathogen_or_aggregate_exposure","4-maleylacetoacetate",3,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_48a7ac19","small_molecule","cisplatin",4,3,4,4,"A_in_studio (nessun prestito)"
"group_L4_fcce8b64","small_molecule","acridone",6,3,4,8,"A_in_studio (nessun prestito)"
"group_L4_fff0a02f","small_molecule","P-{α-D-GlcpNAc-(1→3)-[D-GroA-(2→1)]-α-D-GlcpNAc-6-",3,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_c310b3f2","small_molecule","P-{α-D-GlcpNAc-(1→3)-[D-GroA-(2→1)]-α-D-GlcpNAc-6-",5,3,3,5,"A_in_studio (nessun prestito)"
"group_L4_c08d717e","small_molecule","(R)-laudanosine(1+)",2,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_25ceb424","small_molecule","pevonedistat",3,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_f9998c47","small_molecule","long-chain fatty alcohol",5,3,3,5,"A_in_studio (nessun prestito)"
"group_L4_0a60093a","small_molecule","Ribociclib",4,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_02a1fb3f","small_molecule","bleomycin A2",3,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_91ecebca","small_molecule","Buchananine",2,3,3,4,"A_in_studio (nessun prestito)"
"group_L4_f79abfc2","small_molecule","D-cycloserine(1+)",4,3,3,5,"A_in_studio (nessun prestito)"
"group_L4_afb95686","small_molecule","thapsigargin",3,3,3,3,"A_in_studio (nessun prestito)"
"group_L4_f60e4b93","cytokine_stim","deoxyribonucleic acid",3,1,3,4,"B_solo_con_prestito (rischioso)"
"group_L4_fc118460","cytokine_stim","IFNG",5,2,3,5,"B_solo_con_prestito (rischioso)"
"group_L4_24d3ad45","cytokine_stim",NA,3,2,3,4,"B_solo_con_prestito (rischioso)"
"group_L4_f18583fe","differentiation","osteogenic differentiation",0,0,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_751db365","disease_vs_normal","Ovarian Neoplasms",3,2,4,10,"B_solo_con_prestito (rischioso)"
"group_L4_46a1836e","disease_vs_normal","aml",2,1,4,6,"B_solo_con_prestito (rischioso)"
"group_L4_663a38e9","disease_vs_normal","glioblastoma",3,2,4,10,"B_solo_con_prestito (rischioso)"
"group_L4_1b0a9fae","disease_vs_normal","Cardiomyopathy, Dilated",4,2,3,4,"B_solo_con_prestito (rischioso)"
"group_L4_64e3fe95","disease_vs_normal","Community Dentistry",1,2,3,7,"B_solo_con_prestito (rischioso)"
"group_L4_8f39d423","disease_vs_normal","Neoplasms, Connective Tissue",0,2,3,4,"B_solo_con_prestito (rischioso)"
"group_L4_8f0b3b9e","disease_vs_normal","Leukemia, Myeloid, Acute",1,0,3,8,"B_solo_con_prestito (rischioso)"
"group_L4_e2fc1731","disease_vs_normal","biliary atresia",3,1,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_4c7aac46","disease_vs_normal","breast cancer cell",3,1,3,7,"B_solo_con_prestito (rischioso)"
"group_L4_39435ea0","disease_vs_normal","gastric cancer tissue",1,1,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_07e9e5e0","disease_vs_normal","hcc",4,2,3,6,"B_solo_con_prestito (rischioso)"
"group_L4_b5396d3a","disease_vs_normal","high-grade serous ovarian cancer",2,2,3,6,"B_solo_con_prestito (rischioso)"
"group_L4_ee18c197","disease_vs_normal","lesional",3,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_28fbd4a8","disease_vs_normal","lucap 23.1cr3 pdx tumor",1,1,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_9e1601fd","disease_vs_normal","multiple myeloma",2,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_d536b3e2","disease_vs_normal","multiple sclerosis",3,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_995b0d48","disease_vs_normal","primary colon cancer",3,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_5884d915","disease_vs_normal","primary colon cancer cell",1,1,3,4,"B_solo_con_prestito (rischioso)"
"group_L4_e4b7781e","disease_vs_normal","primary tumor",2,1,3,5,"B_solo_con_prestito (rischioso)"
"group_L4_4fa44a7d","environmental","calcium chloride dihydrate",1,0,3,4,"B_solo_con_prestito (rischioso)"
"group_L4_be290b3d","environmental","Radiation",5,0,3,5,"B_solo_con_prestito (rischioso)"
"group_L4_f312907f","environmental","vaccination",3,2,3,4,"B_solo_con_prestito (rischioso)"
"group_L4_637bda29","genetic_knockdown","SRP9",1,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_ba8b215e","genetic_knockdown","ETF1P1",2,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_446fcf77","genetic_knockdown","KRAS",5,1,3,5,"B_solo_con_prestito (rischioso)"
"group_L4_451d0812","genetic_overexpression","APOE",2,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_7ac831a1","mechanical","% mechanical strain",1,1,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_7059e6f2","pathogen_or_aggregate_exposure","rsv",3,1,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_9bf25d5b","pathogen_or_aggregate_exposure","Malaria",2,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_2ec66bb3","pathogen_or_aggregate_exposure","SARS-CoV-2",3,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_192308f2","small_molecule","benzoylacetyl-CoA",3,2,4,5,"B_solo_con_prestito (rischioso)"
"group_L4_e3c95c99","small_molecule","Calcimycin",1,1,4,5,"B_solo_con_prestito (rischioso)"
"group_L4_ed38c507","small_molecule","Antistreptolysin",4,1,4,15,"B_solo_con_prestito (rischioso)"
"group_L4_a2b3319f","small_molecule","17β-hydroxy-5α-androstan-3-one",4,2,3,5,"B_solo_con_prestito (rischioso)"
"group_L4_c173cb9f","small_molecule","flavonol 3-O-[α-L-rhamnosyl-(1→6)-β-D-glucoside]s",2,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_be66e6a4","small_molecule","flavanone",5,2,3,5,"B_solo_con_prestito (rischioso)"
"group_L4_763d919a","small_molecule","temozolomide",2,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_716ab478","small_molecule","1-lauroyl-sn-glycerol",3,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_f5ebd29b","small_molecule","PS(20:3(8Z,11Z,14Z)/18:0)",3,2,3,4,"B_solo_con_prestito (rischioso)"
"group_L4_8bc3006c","small_molecule","Antiprotozoal Agents",2,2,3,9,"B_solo_con_prestito (rischioso)"
"group_L4_747b5560","small_molecule","Antispermatogenic Agents",4,2,3,10,"B_solo_con_prestito (rischioso)"
"group_L4_4d99f53c","small_molecule","Adalimumab",1,2,3,3,"B_solo_con_prestito (rischioso)"
"group_L4_62886a35","cytokine_stim","IL1RN",3,2,2,3,"C_perso (dati troppo sottili)"
"group_L4_6338e109","cytokine_stim","IL5",3,2,2,3,"C_perso (dati troppo sottili)"
"group_L4_e7af61eb","cytokine_stim","bilirubin IXα",2,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_87b13599","disease_vs_normal","Arthritis, Rheumatoid",3,2,2,7,"C_perso (dati troppo sottili)"
"group_L4_7b3e137b","disease_vs_normal","Carcinoma, Renal Cell",2,2,2,4,"C_perso (dati troppo sottili)"
"group_L4_84ea71c0","disease_vs_normal","Colonic Neoplasms",2,2,2,7,"C_perso (dati troppo sottili)"
"group_L4_3d6e0820","disease_vs_normal","Dermatitis, Atopic",1,1,2,4,"C_perso (dati troppo sottili)"
"group_L4_a9cfd50f","disease_vs_normal",NA,1,1,2,4,"C_perso (dati troppo sottili)"
"group_L4_4299ffe1","disease_vs_normal","Geography",0,1,2,7,"C_perso (dati troppo sottili)"
"group_L4_8e044e3f","disease_vs_normal","Liver Neoplasms",3,2,2,7,"C_perso (dati troppo sottili)"
"group_L4_0d2bc325","disease_vs_normal","Netherlands Antilles",3,1,2,10,"C_perso (dati troppo sottili)"
"group_L4_a2c9a440","disease_vs_normal","Residual Volume",2,1,2,3,"C_perso (dati troppo sottili)"
"group_L4_5a0c5d8b","disease_vs_normal","Respiratory Therapy",1,1,2,4,"C_perso (dati troppo sottili)"
"group_L4_20ad3f49","disease_vs_normal","Precursor T-Cell Lymphoblastic Leukemia-Lymphoma",1,0,2,3,"C_perso (dati troppo sottili)"
"group_L4_6c041f71","disease_vs_normal","basal",0,1,2,3,"C_perso (dati troppo sottili)"
"group_L4_a1837eb4","disease_vs_normal","breast",2,2,2,4,"C_perso (dati troppo sottili)"
"group_L4_bb656ab0","disease_vs_normal","breast cancer tissue",1,1,2,4,"C_perso (dati troppo sottili)"
"group_L4_268a3bc7","disease_vs_normal","colon cancer cell line",1,2,2,7,"C_perso (dati troppo sottili)"
"group_L4_3c130f26","disease_vs_normal","glioblastoma (grade iv)",0,0,2,3,"C_perso (dati troppo sottili)"
"group_L4_025fc839","disease_vs_normal","human breast cancer",1,2,2,3,"C_perso (dati troppo sottili)"
"group_L4_5bf64e28","disease_vs_normal","human colon cancer cells",2,0,2,4,"C_perso (dati troppo sottili)"
"group_L4_66987a45","disease_vs_normal","liver",1,1,2,3,"C_perso (dati troppo sottili)"
"group_L4_d47442e5","disease_vs_normal","lucap 93 pdx tumor",0,1,2,3,"C_perso (dati troppo sottili)"
"group_L4_101e6cc8","disease_vs_normal","lupus",1,2,2,3,"C_perso (dati troppo sottili)"
"group_L4_7283b531","disease_vs_normal","mds",2,2,2,5,"C_perso (dati troppo sottili)"
"group_L4_9e1d97f1","disease_vs_normal","pancreatic ductal adenocarcinoma",1,0,2,4,"C_perso (dati troppo sottili)"
"group_L4_ef5204ee","disease_vs_normal","tumor tissue",1,2,2,3,"C_perso (dati troppo sottili)"
"group_L4_8c14612b","disease_vs_normal","Squamous Cell Carcinoma of Head and Neck",1,1,1,5,"C_perso (dati troppo sottili)"
"group_L4_32c7c22b","disease_vs_normal","Carcinoma, Non-Small-Cell Lung",2,1,1,8,"C_perso (dati troppo sottili)"
"group_L4_f400bd07","disease_vs_normal","Carcinoma, Squamous Cell",1,0,1,5,"C_perso (dati troppo sottili)"
"group_L4_a1ee44e6","disease_vs_normal","Gastritis, Hypertrophic",0,0,1,4,"C_perso (dati troppo sottili)"
"group_L4_1fa045f1","disease_vs_normal","Genetic Code",3,1,1,9,"C_perso (dati troppo sottili)"
"group_L4_7d3c4ad7","disease_vs_normal","Genotype",1,0,1,4,"C_perso (dati troppo sottili)"
"group_L4_7b5eb087","disease_vs_normal","Melkersson-Rosenthal Syndrome",1,1,1,9,"C_perso (dati troppo sottili)"
"group_L4_5948b228","disease_vs_normal",NA,1,1,1,3,"C_perso (dati troppo sottili)"
"group_L4_15ed3825","disease_vs_normal","Neonatology",0,1,1,3,"C_perso (dati troppo sottili)"
"group_L4_5906c3a8","disease_vs_normal","Neoplasms by Histologic Type",2,0,1,3,"C_perso (dati troppo sottili)"
"group_L4_f0c1bbb5","disease_vs_normal","Neoplasms, Experimental",2,1,1,4,"C_perso (dati troppo sottili)"
"group_L4_65eca568","disease_vs_normal","Nurse Anesthetists",1,1,1,4,"C_perso (dati troppo sottili)"
"group_L4_6e603c1c","disease_vs_normal","Operator Regions, Genetic",0,0,1,7,"C_perso (dati troppo sottili)"
"group_L4_2d512638","disease_vs_normal","Colorectal Neoplasms",1,0,1,8,"C_perso (dati troppo sottili)"
"group_L4_ef94a846","disease_vs_normal","Triple Negative Breast Neoplasms",1,1,1,7,"C_perso (dati troppo sottili)"
"group_L4_40d9c293","disease_vs_normal","breast cancer cell line",3,1,1,13,"C_perso (dati troppo sottili)"
"group_L4_9cf864dd","disease_vs_normal","chronic lymphocytic leukemia (cll)",1,1,1,4,"C_perso (dati troppo sottili)"
"group_L4_5ccfb53b","disease_vs_normal","colon cancer organoids",1,1,1,3,"C_perso (dati troppo sottili)"
"group_L4_a4daa2ed","disease_vs_normal","diagnosis",1,1,1,3,"C_perso (dati troppo sottili)"
"group_L4_c3d30385","disease_vs_normal","gbm",1,1,1,3,"C_perso (dati troppo sottili)"
"group_L4_a0dba754","disease_vs_normal","hepatocellular carcinoma cells",1,0,1,3,"C_perso (dati troppo sottili)"
"group_L4_58521c12","disease_vs_normal","human breast cancer cells",1,1,1,4,"C_perso (dati troppo sottili)"
"group_L4_2b1becdc","disease_vs_normal","human lung cancer",1,0,1,3,"C_perso (dati troppo sottili)"
"group_L4_6430d3ec","disease_vs_normal","human prostate cancer cells",1,1,1,3,"C_perso (dati troppo sottili)"
"group_L4_839beaa9","disease_vs_normal","idiopathic pulmonary arterial hypertension (ipah)",1,1,1,3,"C_perso (dati troppo sottili)"
"group_L4_82709ed8","disease_vs_normal","lung cancer cell line",0,1,1,8,"C_perso (dati troppo sottili)"
"group_L4_9b0e4123","disease_vs_normal","melanoma",0,1,1,3,"C_perso (dati troppo sottili)"
"group_L4_efb3e7d8","disease_vs_normal","nasopharyngeal carcinoma",1,0,1,5,"C_perso (dati troppo sottili)"
"group_L4_4d2bab23","disease_vs_normal","prostate cancer cells",2,1,1,12,"C_perso (dati troppo sottili)"
"group_L4_7daaca73","disease_vs_normal","thyroid cancer cells",1,0,1,4,"C_perso (dati troppo sottili)"
"group_L4_a0b42488","disease_vs_normal","Antigen-Antibody Reactions",1,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_c347e80c","disease_vs_normal","Uterine Cervical Neoplasms",1,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_bb69e150","disease_vs_normal","Digitalis",0,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_9e292c1b","disease_vs_normal",NA,0,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_80ac0ed3","disease_vs_normal","Genes, Viral",2,0,0,12,"C_perso (dati troppo sottili)"
"group_L4_dd765589","disease_vs_normal","Health Physics",1,0,0,4,"C_perso (dati troppo sottili)"
"group_L4_39cc2a81","disease_vs_normal","Health Planning Technical Assistance",0,0,0,5,"C_perso (dati troppo sottili)"
"group_L4_82c33c37","disease_vs_normal","Hybrid Cells",0,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_15852953","disease_vs_normal","Leukemia, Monocytic, Acute",0,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_0d500171","disease_vs_normal","Mushroom Poisoning",1,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_fe6230f9","disease_vs_normal","Mustard Plant",0,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_43d42805","disease_vs_normal","Occupational Therapy Department, Hospital",0,0,0,5,"C_perso (dati troppo sottili)"
"group_L4_81145605","disease_vs_normal","Pregnancy, Ectopic",1,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_1374c2fd","disease_vs_normal","Pregnancy, Prolonged",1,0,0,4,"C_perso (dati troppo sottili)"
"group_L4_e07b15b6","disease_vs_normal","Small Cell Lung Carcinoma",0,0,0,6,"C_perso (dati troppo sottili)"
"group_L4_2aa37291","disease_vs_normal","colorectal adenocarcinoma",0,0,0,3,"C_perso (dati troppo sottili)"
"group_L4_ebb64d32","disease_vs_normal","colorectal cancer cell line",0,0,0,5,"C_perso (dati troppo sottili)"
