"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"group_L0_012903ed","Breast Neoplasms","disease_vs_normal",3,3,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L0_017bc60a","Carcinoma, Hepatocellular","disease_vs_normal",3,3,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L0_01b21b66",NA,"small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_01ff7155",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_02317875",NA,"genetic_knockdown",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_02f7756b",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_032f5f53","idarubicin","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_034a1ad5",NA,"pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_036bccb9",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_03830837",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_03989165",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_041593e6",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0429fc66","pevonedistat","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_04587b82","Young serum","environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_047cd974","breast cancer cell","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_049f6242",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_04a0706b",NA,"small_molecule",5,5,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_04a7672b","pancreatic ductal adenocarcinoma","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_04b156cf",NA,"genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_04ccbc2d","lavandulyl diphosphate","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_052ca53e","LARP7","genetic_knockout",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_056dfa2c",NA,"genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_05ca8d7e","tumor biopsy","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_061d9c27","HOXA","genetic_overexpression",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_07526a35","Old serum","environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_07864c39","IFNG","cytokine_stim",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_09015fc7","Breast Neoplasms","disease_vs_normal",12,12,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L0_09100430","hcc","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0986e03f","DOVITINIB","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_09cdb116",NA,"genetic_knockdown",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_09d79273","sars-cov-2","pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0b02926f",NA,"small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0b560a9a",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0b67e04d","carnitine","pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0b6a1f77",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0c1e9e6a","kw2449","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0c316b6d",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
