"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"group_L0_00036d40","cortical_tall","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0005f442","crohnâs disease (cd) or ulcerative colitis (uc)","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_000f0c97",NA,"genetic_knockdown",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0010c39f","OP9-DLL1 (Notch-ON)","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0014a764","Human immunodeficiency virus 1","pathogen_or_aggregate_exposure",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_001defd1","ard69","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_001e1e41","persistent non-valvular atrial fibrillation (af)","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0022af2f","Serum starvation","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0025663a","treated with 1 î¼m pb (#2)","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_002586b1","osteogenic media","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_002836aa","cd3/cd28 activated","cytokine_stim",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0029f5a5",NA,"differentiation",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00315f1a","Bacteroides dorei","pathogen_or_aggregate_exposure",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0034de9e","epizycin","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0035f405","biliary atresia","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00390b84","ini-43","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_003cf7a2","flow","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0040876f",NA,"disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0041aba6","mm","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00453b45",NA,"disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_004646a0","ChAd-03","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_004a3676",NA,"environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_004b3531","si-1","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_004c7be9",NA,"genetic_knockdown",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_004df0aa","Non-Tumor","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0056a7c1","Old serum","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00599613","spontaneous birth","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0061d430","primary tumour","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0061eb19",NA,"disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00625784","mesial temporal lobe epilepsy with hippocampal sclerosis","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00645529","meningioma tumor","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0064bc5b","medulloblastoma","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0065fe76","lymphoma cells from transformed follicular lymphoma-patient","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0068643b","pds","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_006998c9",NA,"environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_006c397f",NA,"environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_006cb3a3","treated with sri-42127","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0073292a","US-1634188","pathogen_or_aggregate_exposure",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0073b927","endometriosis","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00753d02","hepatocellular carcinoma cell line","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00757086","human colorectal cancer cell line","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00762793",NA,"disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0076f46d","liver cirrhosis","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0078de94","fructose-bisphosphatase 2","genetic_overexpression",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_007aa5f0","ocular differentiation","differentiation",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_007b7afe",NA,"disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_007b830c","hc","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0080818c",NA,"disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00809a36","human ovarian cancer cell","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0080efa5","WX-02-23","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00855159","high grade serous ovarian cancer","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00888af6","mi2","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_008abd8b","hepatocellular carcinoma","disease_vs_normal",3,3,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L0_008ca452",NA,"environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_008da4d4","trichothiodystrophy group A protein","genetic_knockout",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_008ef41a","Non-alcoholic fatty liver disease","environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_008f210c","esophageal adenocarcinoma","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00923a65","cyproheptadine_hcl","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0095bb89","pituitaryâ tumors","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0095ca52","174_ogo_10","small_molecule",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_0097ef56",NA,"genetic_knockout",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_009cbfc0",NA,"differentiation",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_009d7fbc",NA,"environmental",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_009e9b22","oud","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00a40c59","t2d","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00a54c89","adenocarcinoma","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L0_00a9d38b","tumor - pfa ependymoma","disease_vs_normal",1,1,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
