"stage","recovery_source","n_cluster","studi_membri_sumk","campioni_sum_ntot"
"1_disease","MESH_NAME",9041,10413,90301
"2_farmaci","CHEBI_ALIAS",22528,22959,108322
"2_farmaci","CHEMBL_ALIAS",3352,3370,19677
"2_farmaci","COMPOUND_COMBO",1976,1992,11108
"2_farmaci","CHEMBL_VIA_CHEBI",340,346,2186
"3_geni","K2_GENETIC",3858,3946,13922
"4_biologici","CYTOKINE_IMMPORT",4711,4824,24273
"4_biologici","PATHOGEN_VERNACULAR",1484,1675,10784
"4_biologici","K3_MISTYPE_cytokine",1127,1153,5215
"4_biologici","PAMP_WHITELIST",675,701,4078
"4_biologici","PATHOGEN_TAXID",615,623,4592
"4_biologici","CYTOKINE_HGNC",228,228,1175
"4_biologici","K3_MISTYPE_pathogen",129,130,717
"4_biologici","K3_MISTYPE_pathogen_pamp",55,55,642
"4_biologici","CYTOKINE_UNIPROT",23,23,75
"5_name_cleanup_v9","LLM_NAME_CLEANUP",42773,56186,454253
"6_INDETERMINATI","NO_RECOVERY",162527,188007,984859
"6_INDETERMINATI","STR_FALLBACK",61381,62579,444161
