"apref","k_class","kind_effective_resolved","n","sum_ntot"
"STR","k=1","disease_vs_normal",30414,246181
"UNK","k=1","none",24887,115535
"STR","k=1","small_molecule",18268,99714
"STR","k=1","environmental",13481,105599
"UNK","k=1","vehicle_only",12661,48086
"UNK","k=1","disease_vs_normal",9335,67406
"STR","k=1","pathogen_or_aggregate_exposure",8048,85824
"UNK","k=1","environmental",6832,41820
"STR","k=1","genetic_knockdown",5517,15468
"STR","k=1","vehicle_only",4308,15001
"STR","k=1","genetic_overexpression",3525,10131
"UNK","k=1","genetic_knockdown",2616,10445
"UNK","k>=2","none",2336,116362
"UNK","k=1","small_molecule",2191,9388
"STR","k=1","genetic_knockout",2065,9122
"UNK","k=1","differentiation",1712,8286
"UNK","k>=2","vehicle_only",1574,46234
"UNK","k=1","genetic_overexpression",1307,5176
"UNK","k=1","pathogen_or_aggregate_exposure",1267,10458
"STR","k=1","differentiation",1015,3923
"STR","k=1","cytokine_stim",900,4750
"UNK","k=1","genetic_knockout",861,4207
"STR","k=1","mechanical",630,2931
"UNK","k>=2","disease_vs_normal",413,21959
"STR","k>=2","disease_vs_normal",384,9848
"UNK","k=1","mechanical",321,1319
"STR","k>=2","environmental",309,7137
"UNK","k>=2","environmental",278,12674
"STR","k>=2","vehicle_only",270,7089
"UNK","k=1","cytokine_stim",223,1319
"UNK","k>=2","genetic_knockdown",132,1660
"STR","k=1","none",111,245
"STR","k>=2","small_molecule",84,1341
"UNK","k>=2","genetic_overexpression",81,789
"UNK","k>=2","differentiation",79,1509
"UNK","k=1","crispra_activation",50,134
"UNK","k>=2","small_molecule",42,697
"STR","k=1","crispra_activation",30,40
"STR","k>=2","mechanical",25,264
"UNK","k=1","crispri_repression",25,80
"UNK","k>=2","pathogen_or_aggregate_exposure",23,2172
"STR","k>=2","genetic_overexpression",21,224
"UNK","k>=2","genetic_knockout",19,183
"UNK","k>=2","mechanical",17,166
"STR","k>=2","differentiation",16,167
"STR","k>=2","genetic_knockdown",11,87
"STR","k=1","crispri_repression",10,10
"UNK","k>=2","cytokine_stim",9,146
"STR","k>=2","genetic_knockout",7,308
"STR","k>=2","pathogen_or_aggregate_exposure",6,161
"UNK","k>=2","crispra_activation",5,21
