"entity","kind","level","n_members","n_override","k_membri","k_eff_pre","k_eff_post","gain"
"MeSH:D015179","disease_vs_normal",4,46,45,167,18,28,10
"MeSH:D006528","disease_vs_normal",4,50,49,190,28,37,9
"MeSH:D006528","disease_vs_normal",3,29,28,95,24,33,9
"MeSH:D001943","disease_vs_normal",4,71,70,325,23,30,7
"MeSH:D015179","disease_vs_normal",3,18,17,46,12,19,7
"CHEBI:68534","small_molecule",4,8,7,54,27,32,5
"MeSH:D002289","disease_vs_normal",4,36,35,72,13,18,5
"CHEBI:16412","pathogen_or_aggregate_exposure",4,9,8,10,1,6,5
"MeSH:D011471","disease_vs_normal",4,47,46,154,11,15,4
"MeSH:D001943","disease_vs_normal",3,24,23,59,8,12,4
"MeSH:D001943","environmental",4,7,6,21,6,10,4
"NCBITaxon:5833","pathogen_or_aggregate_exposure",4,12,11,7,2,6,4
"MeSH:D011839","environmental",4,3,2,7,1,5,4
"CHEBI:16412","pathogen_or_aggregate_exposure",3,9,8,8,1,5,4
"NCBITaxon:5833","pathogen_or_aggregate_exposure",3,12,11,5,1,5,4
"CHEBI:3139","small_molecule",4,6,5,6,1,5,4
"CHEBI:3139","small_molecule",3,6,5,6,1,5,4
"HGNC:6001","cytokine_stim",4,4,3,8,0,4,4
"HGNC:6001","cytokine_stim",3,3,3,4,0,4,4
"CHEBI:3139","small_molecule",2,6,5,4,0,4,4
"CHEBI:3139","small_molecule",1,6,5,4,0,4,4
"CHEBI:3139","small_molecule",0,6,5,4,0,4,4
"MeSH:D008180","disease_vs_normal",4,11,10,36,22,25,3
"MeSH:D008180","disease_vs_normal",3,11,10,32,19,22,3
"MeSH:D001943","disease_vs_normal",3,24,23,177,13,16,3
"MeSH:D002289","disease_vs_normal",3,18,17,34,11,14,3
"MeSH:D001749","disease_vs_normal",4,10,9,38,5,8,3
"CHEBI:16330","small_molecule",4,8,7,13,5,8,3
"CHEBI:68534","small_molecule",3,6,5,20,5,8,3
"MeSH:D001749","disease_vs_normal",3,5,4,19,4,7,3
"MeSH:D002292","disease_vs_normal",4,13,12,22,3,6,3
"MeSH:D002292","disease_vs_normal",3,7,6,11,3,6,3
"MeSH:D003424","disease_vs_normal",4,8,7,11,3,6,3
"MeSH:D003424","disease_vs_normal",3,7,6,9,3,6,3
"MeSH:D011471","disease_vs_normal",3,6,5,18,3,6,3
"MeSH:D001943","environmental",3,6,5,11,3,6,3
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,7,6,7,3,6,3
"MeSH:D002583","disease_vs_normal",4,7,6,17,2,5,3
"CHEBI:175901","small_molecule",4,6,5,9,2,5,3
"HGNC:227","genetic_overexpression",4,2,1,11,1,4,3
"NCBITaxon:12814","pathogen_or_aggregate_exposure",4,14,13,7,1,4,3
"MeSH:D003928","disease_vs_normal",4,4,3,4,0,3,3
"MeSH:D007252","environmental",4,2,1,5,0,3,3
"NCBITaxon:147711","pathogen_or_aggregate_exposure",4,4,4,3,0,3,3
"NCBITaxon:147711","pathogen_or_aggregate_exposure",3,4,4,3,0,3,3
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,6,5,39,19,21,2
"MeSH:D000077192","disease_vs_normal",4,40,39,215,18,20,2
"NCBITaxon:11309","pathogen_or_aggregate_exposure",4,2,1,26,10,12,2
"MeSH:D000077192","disease_vs_normal",3,14,13,48,8,10,2
"NCBITaxon:3052230","pathogen_or_aggregate_exposure",4,7,6,26,8,10,2
"MeSH:D002311","disease_vs_normal",4,5,4,14,7,9,2
"MeSH:D010051","disease_vs_normal",4,16,15,67,7,9,2
"NCBITaxon:11309","pathogen_or_aggregate_exposure",3,2,1,15,6,8,2
"CHEBI:68534","small_molecule",3,4,3,16,6,8,2
"MeSH:D008175","disease_vs_normal",4,8,7,33,5,7,2
"MeSH:D008175","disease_vs_normal",3,7,6,14,5,7,2
"CHEBI:31638","small_molecule",4,3,2,14,5,7,2
"CHEBI:41774","small_molecule",4,5,4,11,5,7,2
"HGNC:5438","cytokine_stim",4,4,3,10,4,6,2
"MeSH:D000077273","disease_vs_normal",4,6,5,25,4,6,2
"MeSH:D000077273","disease_vs_normal",3,5,4,10,4,6,2
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,9,8,6,4,6,2
"MeSH:D002289","disease_vs_normal",4,4,3,6,3,5,2
"MeSH:D002289","disease_vs_normal",3,4,3,6,3,5,2
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,3,2,7,3,5,2
"CHEBI:16330","small_molecule",3,3,2,7,3,5,2
"HGNC:5438","cytokine_stim",4,3,2,8,2,4,2
"HGNC:5438","cytokine_stim",3,4,3,8,2,4,2
"MeSH:D002292","disease_vs_normal",4,9,8,9,2,4,2
"MeSH:D002292","disease_vs_normal",3,9,8,8,2,4,2
"MeSH:D002583","disease_vs_normal",3,4,3,7,2,4,2
"CHEBI:16330","small_molecule",2,3,2,5,2,4,2
"CHEBI:27899","small_molecule",4,8,7,5,2,4,2
"CHEBI:68642","small_molecule",4,3,2,4,2,4,2
"CHEBI:68642","small_molecule",3,3,2,4,2,4,2
"MeSH:D000077195","disease_vs_normal",4,8,7,17,1,3,2
"MeSH:D001943","disease_vs_normal",2,4,3,27,1,3,2
"MeSH:D002289","disease_vs_normal",3,9,8,16,1,3,2
"MeSH:D003424","disease_vs_normal",2,3,2,4,1,3,2
"MeSH:D003424","disease_vs_normal",1,3,2,4,1,3,2
"MeSH:D003424","disease_vs_normal",0,3,2,4,1,3,2
"MeSH:D006528","disease_vs_normal",2,4,3,6,1,3,2
"MeSH:D006528","disease_vs_normal",1,4,3,6,1,3,2
"MeSH:D006528","disease_vs_normal",0,4,3,6,1,3,2
"MeSH:D011839","environmental",3,2,1,5,1,3,2
"MeSH:D011471","genetic_knockdown",4,3,2,11,1,3,2
"NCBITaxon:10358","pathogen_or_aggregate_exposure",4,6,5,3,1,3,2
"CHEBI:16412","small_molecule",4,5,4,4,1,3,2
"CHEBI:28748","small_molecule",3,4,3,5,1,3,2
