cluster_id,method,k_studies,n_sig_used,consistency_score,median_I2,pi_frac_excl0,consistency_note
pair_L0_24a99438,rem,3,4485,0.2875300609230884,71.24699390769116,0.3935340022296544,NA
pair_L0_554fd8b4,rem,3,59,1,0,0.8305084745762712,NA
pair_L0_84d40577,rem,6,3410,0.8220601693257087,17.79398306742913,0.4841642228739003,NA
pair_L0_a6a3ef07,rem,3,1456,0.6238351896499295,37.616481035007055,0.33722527472527475,NA
pair_L0_a81817d4,rem,0,0,NA,NA,NA,NA
pair_L0_dd86b06e,rem,3,3547,0.6563062587152773,34.369374128472266,0.36509726529461517,NA
pair_L1_72eddc8c,rem,3,1456,0.6238351896499295,37.616481035007055,0.33722527472527475,NA
pair_L1_8005219a,rem,4,5474,0.19784452757476856,80.21554724252314,0.40043843624406283,NA
pair_L1_8c0cebd9,rem,3,3547,0.6563062587152773,34.369374128472266,0.36509726529461517,NA
pair_L1_b81bff88,rem,6,3410,0.8220601693257087,17.79398306742913,0.4841642228739003,NA
pair_L1_d2f3c8f9,rem,3,59,1,0,0.8305084745762712,NA
pair_L1_e8b757bb,rem,0,0,NA,NA,NA,NA
group_L0_05dadd11,mega,19,10,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_07090368,mega,10,4,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_09015fc7,mega,16,4047,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_17cd75fb,mega,8,18,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_219e0854,mega,5,6082,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_22e204f1,mega,7,14,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
