"ckey","righe","difettose","studi_difettosi","studi","quota"
"COMBO:indisulam+palbociclib||gain||vehicle_untreated",4,4,3,3,100
"MeSH:D000077273||gain||vehicle_untreated",8,6,2,3,75
"STR:rbm_knockdown||block||vehicle_untreated",7,5,3,4,71
"MeSH:D003922||gain||vehicle_untreated",3,2,2,3,67
"STR:asthmatic||gain||vehicle_untreated",8,5,1,3,62
"MeSH:D000544||gain||vehicle_untreated",10,5,2,6,50
"STR:sjogren_s_syndrome||gain||vehicle_untreated",4,2,2,4,50
"NCBITaxon:10407||gain||vehicle_untreated",17,8,1,4,47
"CHEBI:16469||gain||vehicle_untreated",47,21,1,13,45
"STR:schizophrenia||gain||vehicle_untreated",22,8,2,7,36
"HGNC:5992||gain||vehicle_untreated",12,4,2,6,33
"CHEBI:39112||gain||vehicle_untreated",6,2,1,3,33
"CHEBI:75045||gain||vehicle_untreated",6,2,1,3,33
"CHEBI:45863||gain||vehicle_untreated",10,3,1,5,30
"MeSH:D013274||gain||vehicle_untreated",7,2,1,5,29
"NCBITaxon:10359||gain||vehicle_untreated",11,3,1,7,27
"MeSH:D003424||gain||vehicle_untreated",62,16,3,13,26
"HGNC:11892||gain||vehicle_untreated",27,7,4,15,26
"CHEBI:231324||gain||vehicle_untreated",4,1,1,3,25
"CHEBI:28119||gain||vehicle_untreated",4,1,1,4,25
"STR:multiple_myeloma||gain||vehicle_untreated_liquid",4,1,1,3,25
"CHEBI:145535||gain||vehicle_untreated",9,2,1,3,22
"CHEBI:16412||gain||vehicle_untreated",51,10,6,28,20
"CHEBI:49603||gain||vehicle_untreated",15,3,2,5,20
"MeSH:D000077192||gain||vehicle_untreated",5,1,1,4,20
"MeSH:D001172||gain||vehicle_untreated",5,1,1,4,20
"CHEBI:41879||gain||vehicle_untreated",11,2,1,7,18
"CHEBI:231601||gain||vehicle_untreated",6,1,1,3,17
"CHEBI:41774||gain||vehicle_untreated",6,1,1,5,17
"CHEBI:61390||gain||vehicle_untreated",6,1,1,3,17
"STR:sarcopenia||gain||vehicle_untreated",6,1,1,4,17
"NCBITaxon:2697049||gain||vehicle_untreated",65,10,4,29,15
"STR:psoriasis||gain||vehicle_untreated",7,1,1,7,14
"STR:sepsis||gain||vehicle_untreated",15,2,2,5,13
"MeSH:D015179||gain||vehicle_untreated",17,2,2,10,12
"STR:pcos||gain||vehicle_untreated",8,1,1,4,12
"CHEBI:52172||gain||vehicle_untreated",9,1,1,3,11
"NCBITaxon:11320||gain||vehicle_untreated",10,1,1,8,10
"MeSH:D005909||gain||vehicle_untreated",11,1,1,3,9
"NCBITaxon:11676||gain||vehicle_untreated",11,1,1,7,9
