"ckey","study_id","treated_label","control_label","n","cls","entity","nome","ce2","cand","regola","difetto"
"CHEBI:114785||gain||vehicle_untreated","GSE132500","Erlotinib","DMSO",2,"drug","CHEBI:114785","acridone","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE186341","Erlotinib-treated HCC1143 cells","DMSO-treated HCC1143 cells",2,"drug","CHEBI:114785","2-amino-6-(1-hydroxypropyl)-8-methylpteridine-4,7(3<em>H</em>,8<em>H</em>)-dione","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE217421","Erlotinib-treated MSN01","DMSO-treated MSN01 cardiac myocytes",2,"drug","CHEBI:114785","erlotinib","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE217421","Erlotinib-treated MSN08","DMSO-treated MSN01 cardiac myocytes",2,"drug","CHEBI:114785","erlotinib","erlotinib","erlotinib","soggetto_diverso",TRUE
"CHEBI:114785||gain||vehicle_untreated","GSE244730","PC9 + Erlotinib","PC9 + DMSO",2,"drug","CHEBI:114785","Flindersine","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE244730","PC9 GR + Erlotinib","PC9 GR + DMSO",2,"drug","CHEBI:114785","Flindersine","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE244730","PC9 GR + Erlotinib (duplicate)","PC9 GR + DMSO",1,"drug","CHEBI:114785","erlotinib","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE249721","HCC4006 + erlotinib","HCC4006 + DMSO",2,"drug","CHEBI:114785","bambermycin","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE249721","HCC4006 + erlotinib 21 days","HCC4006 + DMSO",1,"drug","CHEBI:114785","Flindersine","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE249721","HCC4006 + erlotinib 24h","HCC4006 + DMSO",2,"drug","CHEBI:114785","bambermycin","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE62118","erlotinib","DMSO",2,"drug","CHEBI:114785","Flindersine","erlotinib","erlotinib","",FALSE
"CHEBI:114785||gain||vehicle_untreated","GSE65420","11-18 Lung adenocarcinoma cells with empty vector treated with erlotinib","11-18 Lung adenocarcinoma cells with empty vector treated with DMSO",5,"drug","CHEBI:114785","lung adenocarcinoma","erlotinib","erlotinib","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE113711","JQ1 12h","DMSO 12h",2,"drug","CHEBI:137113","(<i>S</i>)-2-hydroxyhexadecanoate","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE113711","JQ1 24h","DMSO 24h",3,"drug","CHEBI:137113","<small>D</small>-cycloserine(1+)","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE113711","JQ1 3h","DMSO 3h",2,"drug","CHEBI:137113","<small>D</small>-cycloserine(1+)","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE113711","JQ1 6h","DMSO 6h",2,"drug","CHEBI:137113","<small>D</small>-cycloserine(1+)","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE118548","JQ1 (3 replicates)","DMSO (2 replicates)",1,"drug","CHEBI:137113","<small>D</small>-cycloserine(1+)","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE123285","MCF7 + JQ1 (250 nM)","MCF7 + DMSO Vehicle",2,"drug","CHEBI:137113","<small>D</small>-cycloserine(1+)","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE131099","SUM159 cells with transgene treated with JQ1 for 12 hours","SUM159 cells with transgene treated with DMSO for 12 hours",2,"drug","CHEBI:137113","<small>D</small>-cycloserine(1+)","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE131983","JQ1","DMSO",2,"drug","CHEBI:137113","JQ1","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE139230","LNCaP + JQ1 + siCon","LNCaP + DMSO-siCon",1,"drug","CHEBI:137113","JQ1","JQ1","jq1","",FALSE
"CHEBI:137113||gain||vehicle_untreated","GSE145469","JQ1","Control (DMSO)",2,"drug","CHEBI:137113","<small>D</small>-cycloserine(1+)","JQ1","jq1","",FALSE
