"ckey","k","n","src","verso","cls","verdetto","nota"
"NCBITaxon:2697049||gain||vehicle_untreated",28,170,"onto","gain","infection","COERENTE",""
"HGNC:11766||gain||vehicle_untreated",27,124,"onto","gain","drug","COERENTE","Her/Lap rimosso dalla guardia alias: resta solo TGF-beta1"
"CHEBI:16412||gain||vehicle_untreated",26,110,"onto","gain","drug","COERENTE",""
"CHEBI:137113||gain||vehicle_untreated",24,87,"onto","gain","drug","COERENTE",""
"CHEBI:68534||gain||vehicle_untreated",21,108,"onto","gain","drug","COERENTE",""
"CHEBI:16330||gain||vehicle_untreated",19,58,"onto","gain","drug","COERENTE",""
"CHEBI:379896||gain||vehicle_untreated",19,151,"onto","gain","drug","COERENTE",""
"CHEBI:27899||gain||vehicle_untreated",18,75,"onto","gain","drug","COERENTE",""
"CHEBI:28748||gain||vehicle_untreated",17,34,"onto","gain","drug","COERENTE",""
"CHEBI:31638||gain||vehicle_untreated",13,70,"onto","gain","drug","COERENTE",""
"CHEBI:63637||gain||vehicle_untreated",13,125,"onto","gain","drug","COERENTE",""
"HGNC:11892||gain||vehicle_untreated",13,53,"onto","gain","drug","COERENTE",""
"MeSH:D003424||gain||vehicle_untreated",13,141,"onto","gain","disease","COERENTE",""
"CHEBI:16469||gain||vehicle_untreated",12,50,"onto","gain","drug","COERENTE",""
"STR:covid||gain||vehicle_untreated",12,68,"STR","gain","disease","COERENTE",""
"CHEBI:85993||gain||vehicle_untreated",11,41,"onto","gain","drug","COERENTE",""
"HGNC:5438||gain||vehicle_untreated",11,36,"onto","gain","drug","COERENTE",""
"CHEBI:90943||gain||vehicle_untreated",10,60,"onto","gain","drug","COERENTE",""
"MeSH:D015179||gain||vehicle_untreated",10,74,"onto","gain","disease","COERENTE",""
"CHEBI:50924||gain||vehicle_untreated",9,43,"onto","gain","drug","COERENTE",""
"NAME:hypoxia||gain||normoxia",9,28,"NAME","gain","drug","COERENTE",""
"STR:hypoxia||gain||normoxia",9,32,"STR","gain","disease","COERENTE",""
"CHEBI:38940||gain||vehicle_untreated",8,46,"onto","gain","drug","COERENTE",""
"CHEBI:83766||gain||vehicle_untreated",8,20,"onto","gain","drug","COERENTE",""
"MeSH:D003093||gain||vehicle_untreated",8,39,"onto","gain","disease","COERENTE",""
"MeSH:D006528||gain||vehicle_untreated",8,53,"onto","gain","disease","COERENTE",""
"MeSH:D011225||gain||vehicle_untreated",8,36,"onto","gain","disease","COERENTE",""
"NCBITaxon:11320||gain||vehicle_untreated",8,26,"onto","gain","drug","COERENTE",""
"STR:keloid||gain||vehicle_untreated",8,48,"STR","gain","disease","COERENTE",""
"CHEBI:114785||gain||vehicle_untreated",7,23,"onto","gain","drug","COERENTE",""
"CHEBI:230500||gain||vehicle_untreated",7,7,"onto","gain","drug","COERENTE",""
"CHEBI:49668||gain||vehicle_untreated",7,30,"onto","gain","drug","COERENTE",""
"CHEBI:84491||gain||vehicle_untreated",7,14,"onto","gain","drug","COERENTE",""
"HGNC:5973||gain||vehicle_untreated",7,17,"onto","gain","drug","COERENTE",""
"NCBITaxon:10359||gain||vehicle_untreated",7,30,"onto","gain","drug","COERENTE","viremia clinica separata: resta l'infezione sperimentale"
"NCBITaxon:11676||gain||vehicle_untreated",7,23,"onto","gain","drug","COERENTE",""
"STR:nash||gain||vehicle_untreated",7,47,"STR","gain","disease","COERENTE",""
"STR:psoriasis||gain||vehicle_untreated",7,18,"STR","gain","disease","COERENTE",""
"STR:schizophrenia||gain||vehicle_untreated",7,95,"STR","gain","disease","COERENTE",""
"STR:tgfb||gain||vehicle_untreated",7,16,"STR","gain","drug","COERENTE",""
"CHEBI:41879||gain||vehicle_untreated",6,18,"onto","gain","drug","COERENTE",""
"CHEBI:45783||gain||vehicle_untreated",6,24,"onto","gain","drug","COERENTE",""
"CHEBI:4672||gain||vehicle_untreated",6,13,"onto","gain","drug","COERENTE",""
"CHEBI:6801||gain||vehicle_untreated",6,12,"onto","gain","drug","COERENTE",""
"MeSH:D000544||gain||vehicle_untreated",6,43,"onto","gain","disease","COERENTE",""
"MeSH:D001943||gain||vehicle_untreated",6,43,"onto","gain","disease","COERENTE",""
"MeSH:D011471||gain||vehicle_untreated",6,73,"onto","gain","disease","COERENTE",""
"STR:fshd||gain||vehicle_untreated",6,48,"STR","gain","disease","COERENTE",""
"CHEBI:16240||gain||vehicle_untreated",5,13,"onto","gain","drug","COERENTE",""
"CHEBI:231598||gain||vehicle_untreated",5,18,"onto","gain","drug","COERENTE",""
"CHEBI:233362||gain||vehicle_untreated",5,10,"onto","gain","drug","COERENTE",""
"CHEBI:3139||gain||vehicle_untreated",5,39,"onto","gain","drug","COERENTE",""
"CHEBI:45863||gain||vehicle_untreated",5,9,"onto","gain","drug","COERENTE",""
"CHEBI:49603||gain||vehicle_untreated",5,26,"onto","gain","drug","COERENTE",""
"CHEBI:50131||gain||vehicle_untreated",5,12,"onto","gain","drug","COERENTE",""
"CHEBI:64310||gain||vehicle_untreated",5,23,"onto","gain","drug","COERENTE",""
"CHEBI:72317||gain||vehicle_untreated",5,31,"onto","gain","drug","COERENTE",""
"MeSH:D002292||gain||vehicle_untreated",5,58,"onto","gain","disease","COERENTE",""
"MeSH:D008180||gain||vehicle_untreated",5,54,"onto","gain","disease","COERENTE",""
"MeSH:D010300||gain||vehicle_untreated",5,37,"onto","gain","disease","COERENTE",""
"MeSH:D013274||gain||vehicle_untreated",5,17,"onto","gain","disease","COERENTE",""
"NAME:endometriosis||gain||vehicle_untreated",5,45,"NAME","gain","disease","COERENTE",""
"STR:heart_failure||gain||vehicle_untreated",5,27,"STR","gain","disease","COERENTE",""
"STR:idiopathic_pulmonary_fibrosis||gain||vehicle_untreated",5,32,"STR","gain","disease","COERENTE",""
"STR:sepsis||gain||vehicle_untreated",5,46,"STR","gain","disease","COERENTE",""
"STR:sikras||gain||sicontrol",5,38,"STR","gain","drug","COERENTE",""
"CHEBI:230905||gain||vehicle_untreated",4,7,"onto","gain","drug","COERENTE",""
"CHEBI:41774||gain||vehicle_untreated",4,20,"onto","gain","drug","COERENTE",""
"CHEBI:46742||gain||vehicle_untreated",4,12,"onto","gain","drug","COERENTE",""
"CHEBI:4911||gain||vehicle_untreated",4,11,"onto","gain","drug","COERENTE",""
"CHEBI:49375||gain||vehicle_untreated",4,24,"onto","gain","drug","COERENTE",""
"CHEBI:72564||gain||vehicle_untreated",4,17,"onto","gain","drug","COERENTE",""
"CHEBI:78543||gain||vehicle_untreated",4,19,"onto","gain","drug","COERENTE",""
"HGNC:11927||gain||vehicle_untreated",4,18,"onto","gain","drug","COERENTE",""
"HGNC:5992||gain||vehicle_untreated",4,10,"onto","gain","drug","COERENTE",""
"HGNC:6001||gain||vehicle_untreated",4,11,"onto","gain","drug","COERENTE",""
"HGNC:6014||gain||vehicle_untreated",4,13,"onto","gain","drug","COERENTE",""
"MeSH:D000077192||gain||vehicle_untreated",4,21,"onto","gain","disease","COERENTE",""
"MeSH:D001172||gain||vehicle_untreated",4,15,"onto","gain","disease","COERENTE",""
"MeSH:D010051||gain||vehicle_untreated",4,11,"onto","gain","disease","COERENTE",""
"MeSH:D065626||gain||vehicle_untreated",4,28,"onto","gain","disease","COERENTE",""
"NAME:radiation||gain||vehicle_untreated",4,54,"NAME","gain","drug","COERENTE",""
"NCBITaxon:10407||gain||vehicle_untreated",4,15,"onto","gain","infection","COERENTE","stato HBV clinico separato: resta HBV-vs-mock in vitro"
"NCBITaxon:1773||gain||vehicle_untreated",4,24,"onto","gain","drug","COERENTE","co-infezione M.tb+CMV staccata come combo"
"STR:asthma||gain||vehicle_untreated",4,13,"STR","gain","disease","COERENTE",""
"STR:aza_cdr||gain||vehicle_untreated",4,14,"STR","gain","drug","COERENTE",""
"STR:cystic_fibrosis||gain||vehicle_untreated",4,41,"STR","gain","disease","COERENTE",""
"STR:enza||gain||vehicle_untreated",4,28,"STR","gain","drug","COERENTE",""
"STR:pcos||gain||vehicle_untreated",4,14,"STR","gain","disease","COERENTE",""
"STR:rbm_knockdown||block||vehicle_untreated",4,6,"STR","block","drug","COERENTE",""
"STR:sarcopenia||gain||vehicle_untreated",4,38,"STR","gain","disease","COERENTE",""
"STR:sjogren_s_syndrome||gain||vehicle_untreated",4,12,"STR","gain","disease","COERENTE",""
"CHEBI:145431||gain||vehicle_untreated",3,12,"onto","gain","drug","COERENTE",""
"CHEBI:145535||gain||vehicle_untreated",3,20,"onto","gain","drug","COERENTE",""
"CHEBI:17823||gain||ethanol",3,44,"onto","gain","drug","COERENTE",""
"CHEBI:205761||gain||vehicle_untreated",3,18,"onto","gain","drug","COERENTE",""
"CHEBI:22984||gain||vehicle_untreated",3,10,"onto","gain","drug","COERENTE",""
"CHEBI:230508||gain||vehicle_untreated",3,5,"onto","gain","drug","COERENTE","contrasto degenere rimosso (1 membro combo residuo)"
"CHEBI:231324||gain||vehicle_untreated",3,7,"onto","gain","drug","COERENTE",""
