"ckey","k","n","src","verso","cls","n_ce2","verdetto","causa","nota"
"NCBITaxon:2697049||gain||vehicle_untreated",31,212,"onto","gain","infection",1,"COERENTE","",""
"CHEBI:16412||gain||vehicle_untreated",27,124,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:137113||gain||vehicle_untreated",26,92,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:68534||gain||vehicle_untreated",22,121,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:16330||gain||vehicle_untreated",20,60,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:27899||gain||vehicle_untreated",20,80,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:379896||gain||vehicle_untreated",18,152,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:28748||gain||vehicle_untreated",17,34,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:63637||gain||vehicle_untreated",15,129,"onto","gain","drug",1,"COERENTE","",""
"HGNC:11892||gain||vehicle_untreated",15,70,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:16469||gain||vehicle_untreated",13,74,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:31638||gain||vehicle_untreated",13,70,"onto","gain","drug",1,"COERENTE","",""
"MeSH:D003424||gain||vehicle_untreated",13,141,"onto","gain","disease",1,"COERENTE","",""
"HGNC:5438||gain||vehicle_untreated",12,37,"onto","gain","drug",1,"COERENTE","",""
"STR:covid||gain||vehicle_untreated",12,68,"STR","gain","disease",0,"COERENTE","",""
"CHEBI:85993||gain||vehicle_untreated",11,41,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:50924||gain||vehicle_untreated",10,48,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:90943||gain||vehicle_untreated",10,113,"onto","gain","drug",1,"COERENTE","",""
"CHEBI:83766||gain||vehicle_untreated",9,31,"onto","gain","drug",1,"COERENTE","",""
"MeSH:D015179||gain||vehicle_untreated",9,67,"onto","gain","disease",1,"COERENTE","",""
