"alias_innesco","agent_id","name","dict","n_gsm"
"doxycycline","CHEBI:50845","doxycycline","chebi",378
"lps","CHEBI:16412","lps","chebi",341
"tumor","MeSH:D009369","Neoplasms","mesh",217
"dexamethasone","CHEBI:41879","dexamethasone","chebi",216
"fulvestrant","CHEBI:31638","fulvestrant","chebi",172
"cisplatin","CHEBI:27899","cisplatin","chebi",146
"doxorubicin","CHEBI:28748","doxorubicin","chebi",140
"palbociclib","CHEBI:85993","palbociclib","chebi",140
"cancer","MeSH:D009369","Neoplasms","mesh",134
"tamoxifen","CHEBI:41774","tamoxifen","chebi",133
"cyanazine","CHEBI:38069","cyanazine","chebi",118
"fomesafen","CHEBI:81925","fomesafen","chebi",112
"thiram","CHEBI:9495","thiram","chebi",112
"bifenthrin","CHEBI:3093","bifenthrin","chebi",110
"cyproconazole","CHEBI:81758","cyproconazole","chebi",109
"lovastatin","CHEBI:40303","lovastatin","chebi",109
"osimertinib","CHEBI:90943","osimertinib","chebi",109
"dht","CHEBI:16330","17β-hydroxy-5α-androstan-3-one","chebi",106
"prochloraz","CHEBI:8434","prochloraz","chebi",106
"ml","HGNC:11795","THPO","immport",105
"vinclozolin","CHEBI:9986","vinclozolin","chebi",105
"tetrac","CHEBI:131194","3,3',5,5'-tetraiodothyroacetic acid","chebi",104
"cypermethrin","CHEBI:4042","cypermethrin","chebi",103
"flutamide","CHEBI:5132","flutamide","chebi",102
"imazalil","CHEBI:81927","enilconazole","chebi",102
"simazine","CHEBI:27496","simazine","chebi",101
"ifn","HGNC:5417","IFNA1","immport",100
"ziram","CHEBI:79736","ziram","chebi",100
"maneb","CHEBI:52497","maneb","chebi",99
"butafenacil","CHEBI:143863","butafenacil","chebi",98
"nilutamide","CHEBI:7573","nilutamide","chebi",96
"trametinib","CHEBI:75998","trametinib","chebi",96
"in","HGNC:1681","CD44","hgnc",94
"decitabine","CHEBI:50131","5-aza-2'-deoxycytidine","chebi",89
"enzalutamide","CHEBI:68534","enzalutamide","chebi",89
"propiconazole","CHEBI:8489","propiconazole","chebi",89
"troglitazone","CHEBI:9753","troglitazone","chebi",89
"r1881","CHEBI:379896","17β-hydroxy-17-methylestra-4,9,11-trien-3-one","chebi",88
"imatinib","CHEBI:45783","imatinib","chebi",86
"metformin","CHEBI:6801","metformin","chebi",86
"olaparib","CHEBI:83766","olaparib","chebi",85
"pimasertib","CHEBI:94793","pimasertib","chebi",85
"paclitaxel","CHEBI:45863","paclitaxel","chebi",84
"etoposide","CHEBI:4911","etoposide","chebi",80
"rapamycin","CHEBI:9168","sirolimus","chebi",80
"gemcitabine","CHEBI:175901","gemcitabine","chebi",79
"sorafenib","CHEBI:50924","sorafenib","chebi",79
"farglitazar","CHEBI:229920","farglitazar","chebi",78
"simvastatin","CHEBI:9150","simvastatin","chebi",75
"cladribine","CHEBI:567361","cladribine","chebi",74
"estradiol","CHEBI:16469","17β-estradiol","chebi",72
"cycloheximide","CHEBI:27641","cycloheximide","chebi",66
"reserpine","CHEBI:28487","reserpine","chebi",66
"fenofibrate","CHEBI:5001","fenofibrate","chebi",65
"gefitinib","CHEBI:49668","gefitinib","chebi",64
"clofibrate","CHEBI:3750","clofibrate","chebi",62
"crizotinib","CHEBI:64310","crizotinib","chebi",62
"ifna","HGNC:5417","IFNA1","immport",62
"bortezomib","CHEBI:52717","bortezomib","chebi",61
"lapatinib","CHEBI:49603","lapatinib","chebi",61
"sunitinib","CHEBI:38940","sunitinib","chebi",60
"il4","HGNC:6014","IL4","immport",59
"pma","CHEBI:37537","phorbol 13-acetate 12-myristate","chebi",55
"dasatinib","CHEBI:49375","dasatinib (anhydrous)","chebi",53
"erlotinib","CHEBI:114785","erlotinib","chebi",53
"ibrutinib","CHEBI:76612","ibrutinib","chebi",53
"il21","HGNC:6005","IL21","immport",51
"bpa","CHEBI:33216","bisphenol A","chebi",50
"pyraclostrobin","CHEBI:78780","pyraclostrobin","chebi",50
"vemurafenib","CHEBI:63637","vemurafenib","chebi",50
"cyclophosphamide","CHEBI:4026","cyclophosphamide hydrate","chebi",48
"rotenone","CHEBI:28201","rotenone","chebi",48
"panobinostat","CHEBI:85990","panobinostat","chebi",47
"regorafenib","CHEBI:68647","regorafenib","chebi",47
"carfilzomib","CHEBI:65347","carfilzomib","chebi",45
"docetaxel","CHEBI:4672","docetaxel anhydrous","chebi",45
"otx015","CHEBI:230508","birabresib","chebi",45
"egf","HGNC:3229","EGF","immport",44
"il15","HGNC:5977","IL15","immport",44
