"id_old","nome_old","n"
"MeSH:D009369","Neoplasms",354
"HGNC:5417","IFNA1",141
"HGNC:11795","THPO",105
"HGNC:1681","CD44",96
"HGNC:6018","IL6",44
"HGNC:644","AR",28
"CHEBI:16016","dihydroxyacetone",24
"CHEBI:155879","Ala-Pro-Gly",20
"HGNC:28323","ZBTB9",20
"CHEBI:15702","terephthalic acid",19
"CHEBI:80961","5-formyluracil",18
"HGNC:2524","CTRL",17
"HGNC:24029","INHBE",16
"HGNC:9884","RB1",16
"HGNC:17563","METTL3",15
"HGNC:22918","ZBTB3",14
"HGNC:18420","SETD2",13
"CHEBI:59043","PAL",12
"HGNC:12340","TRPS1",12
"HGNC:13203","AICDA",12
"HGNC:16400","NLRP3",12
"CHEBI:53245","poly(vinylpyridine)",11
"HGNC:26052","INTS11",11
"HGNC:2681","DAXX",11
"HGNC:11100","SMARCA4",10
"HGNC:18873","IFIH1",10
"HGNC:20308","OBI1",10
"CHEBI:140739","Glu-Gly-Phe",9
"CHEBI:24866","salt",9
"HGNC:11110","ARID1A",9
"HGNC:11935","CD40LG",9
"HGNC:4916","HIRA",9
"HGNC:5984","IL17D",9
"CHEBI:53705","amoxicilloyl group",8
"HGNC:18683","EIF4A3",8
"HGNC:25459","PAF1",8
"HGNC:2745","DDX3X",8
"CHEBI:138655","protectin D1",7
"CHEBI:15355+CHEBI:17499","acetylcholine + hydrogen donor",7
"CHEBI:17499","hydrogen donor",7
"CHEBI:18132","phosphocholine",7
"CHEBI:29022","<em>N</em>-benzyladenine",7
"CHEBI:29073+CHEBI:33229","<small>L</small>-ascorbic acid + vitamin (role)",7
"CHEBI:33229+CHEBI:89324","vitamin (role) + 24,25-Dihydroxyvitamin D",7
"HGNC:1101","BRCA2",7
"HGNC:1339","C6",7
"HGNC:4853","HDAC2",7
"HGNC:9138","EXOSC10",7
"HGNC:935","BACH1",7
"MeSH:D006863","Hydrogen-Ion Concentration",7
"CHEBI:138653","(4<i>Z</i>,7<i>Z</i>,10<i>S</i>,11<i>E</i>,13<i>Z</i>,15<i>E</i>,17<i>S</i>,19<i>Z</i>)-10,17-dihydroxydocosahexaenoic acid",6
"CHEBI:17347+CHEBI:30780","testosterone + maleate(2−)",6
"CHEBI:23574","decanoyl group",6
"CHEBI:30780","maleate(2−)",6
"CHEBI:33229","vitamin (role)",6
"CHEBI:53498","triacetylcellulose",6
"CHEBI:9533","thiamine(1+) monophosphate",6
"HGNC:10332","RPL3",6
"HGNC:11768","TGFB2",6
"HGNC:18037","ARID2",6
"HGNC:18676","DDX42",6
"HGNC:25996","ALKBH5",6
"HGNC:30142","GDF15",6
"HGNC:3342","EN1",6
"HGNC:3373","EP300",6
"HGNC:3444","ERF",6
"HGNC:3495","ETV6",6
"HGNC:5427","IFNA6",6
"HGNC:9377","PRKAA2",6
"HGNC:975","BCAS2",6
"MeSH:D014024","Tissues",6
"CHEBI:138653+CHEMBL:CHEMBL2165191","(4<i>Z</i>,7<i>Z</i>,10<i>S</i>,11<i>E</i>,13<i>Z</i>,15<i>E</i>,17<i>S</i>,19<i>Z</i>)-10,17-dihydroxydocosahexaenoic acid + AZD-6482",5
"CHEBI:2659","aminophylline",5
"CHEBI:28398+CHEBI:75998+CHEBI:90943","butan-2-one + trametinib + osimertinib",5
"CHEBI:91238","calcium ammonium nitrate",5
"HGNC:10026","RLN1",5
"HGNC:11104","SMARCC1",5
"HGNC:11160","SNRPD3",5
"HGNC:11362","STAT1",5
"HGNC:13723","CTCF",5
"HGNC:13974","NELFE",5
"HGNC:14001","PRDM14",5
"HGNC:15463","PTDSS2",5
"HGNC:16039","ANGPTL4",5
"HGNC:20893","BCOR",5
"HGNC:2326","CPSF3",5
"HGNC:26633","SLFN11",5
"HGNC:270","PARP1",5
"HGNC:29931","GNL3",5
"HGNC:30935","YY1AP1",5
"HGNC:3467","ESR1",5
"CHEBI:140739+CHEBI:189865","Glu-Gly-Phe + C75",4
"CHEBI:17709","5'-adenylyl sulfate",4
"CHEBI:191932","acetyl fluoride",4
"CHEBI:27135","trinitrotoluene",4
"CHEBI:27561","oxirane",4
"CHEBI:28398","butan-2-one",4
"CHEBI:28940+CHEBI:33229","calciol + vitamin (role)",4
"CHEBI:31255","bekanamycin sulfate",4
"CHEBI:33699","messenger RNA",4
"CHEBI:42638","flufenamic acid",4
"CHEBI:45716","vorinostat",4
"CHEBI:53076","4-(ethoxymethylene)-2-phenyloxazol-5-one",4
"HGNC:11254","SPOP",4
"HGNC:11850","TLR4",4
"HGNC:11998","TP53",4
"HGNC:1628","CD14",4
"HGNC:16935","ATG7",4
"HGNC:17156","LY96",4
"HGNC:19102","RIGI",4
