"alias","agent_id","name","dict","n_gsm","n_studi_alias","C1_unita","C2_collisione","C3_non_attestata","C4_sigla"
"lps","CHEBI:16412","lps","chebi",341,54,FALSE,TRUE,FALSE,FALSE
"tumor","MeSH:D009369","Neoplasms","mesh",217,212,FALSE,FALSE,TRUE,FALSE
"pfoa","CHEBI:35549","perfluorooctanoic acid","chebi",150,0,FALSE,FALSE,FALSE,TRUE
"cancer","MeSH:D009369","Neoplasms","mesh",134,302,FALSE,FALSE,TRUE,FALSE
"pfos","CHEBI:39421","perfluorooctane-1-sulfonic acid","chebi",116,0,FALSE,FALSE,FALSE,TRUE
"dht","CHEBI:16330","17β-hydroxy-5α-androstan-3-one","chebi",106,35,FALSE,FALSE,FALSE,TRUE
"ml","HGNC:11795","THPO","immport",105,35,TRUE,TRUE,TRUE,TRUE
"ifn","HGNC:5417","IFNA1","immport",100,32,FALSE,FALSE,TRUE,TRUE
"in","HGNC:1681","CD44","hgnc",94,71,FALSE,TRUE,FALSE,TRUE
"tnfa","HGNC:11892","TNF","immport",94,3,FALSE,FALSE,FALSE,TRUE
"r1881","CHEBI:379896","17β-hydroxy-17-methylestra-4,9,11-trien-3-one","chebi",88,28,FALSE,TRUE,FALSE,FALSE
"imatinib","CHEBI:45783","imatinib","chebi",86,7,FALSE,TRUE,FALSE,FALSE
"tgfb","HGNC:11766","TGFB1","immport",76,14,FALSE,FALSE,FALSE,TRUE
"ifna","HGNC:5417","IFNA1","immport",62,2,FALSE,TRUE,FALSE,TRUE
"il4","HGNC:6014","IL4","immport",59,5,FALSE,TRUE,FALSE,FALSE
"pma","CHEBI:37537","phorbol 13-acetate 12-myristate","chebi",55,6,FALSE,FALSE,FALSE,TRUE
"erlotinib","CHEBI:114785","erlotinib","chebi",53,8,FALSE,TRUE,FALSE,FALSE
"lead","CHEBI:25016","lead atom","chebi",52,0,FALSE,FALSE,FALSE,TRUE
"il21","HGNC:6005","IL21","immport",51,3,FALSE,TRUE,FALSE,FALSE
"bpa","CHEBI:33216","bisphenol A","chebi",50,0,FALSE,TRUE,FALSE,TRUE
"saha","CHEBI:45716","vorinostat","chebi",45,1,FALSE,FALSE,FALSE,TRUE
"egf","HGNC:3229","EGF","immport",44,8,FALSE,TRUE,FALSE,FALSE
"il15","HGNC:5977","IL15","immport",44,6,FALSE,TRUE,FALSE,FALSE
"copd","MeSH:D029424","Pulmonary Disease, Chronic Obstructive","mesh",43,8,FALSE,TRUE,FALSE,TRUE
"estrogen","CHEBI:50114","estrogen","chebi",43,15,FALSE,TRUE,FALSE,FALSE
"actinomycin","CHEBI:15369","actinomycin","chebi",42,4,FALSE,TRUE,FALSE,FALSE
"h2o2","CHEBI:16240","hydrogen peroxide","chebi",42,9,FALSE,FALSE,FALSE,TRUE
"forskolin","CHEBI:42471","forskolin","chebi",41,1,FALSE,TRUE,FALSE,FALSE
"iaa","CHEBI:16411","indole-3-acetic acid","chebi",40,4,FALSE,FALSE,FALSE,TRUE
"etanercept","CHEBI:4875","etanercept","chebi",36,2,FALSE,TRUE,FALSE,FALSE
"lps","CHEBI:16412","lps-","chebi",36,54,FALSE,TRUE,FALSE,FALSE
"pfbs","CHEBI:132446","perfluorobutanesulfonic acid","chebi",36,0,FALSE,FALSE,FALSE,TRUE
"ifnb","HGNC:5434","IFNB1","immport",35,1,FALSE,FALSE,FALSE,TRUE
"vpa","CHEBI:39867","valproic acid","chebi",35,0,FALSE,FALSE,FALSE,TRUE
"actd","CHEBI:27666","actinomycin D","chebi",34,1,FALSE,FALSE,FALSE,TRUE
"qnz","CHEBI:232358","EVP4593","chebi",33,0,FALSE,FALSE,FALSE,TRUE
"tcdd","CHEBI:28119","2,3,7,8-tetrachlorodibenzodioxine","chebi",30,5,FALSE,TRUE,FALSE,TRUE
"etoh","CHEBI:16236","ethanol","chebi",29,20,FALSE,FALSE,FALSE,TRUE
"sag","CHEBI:138438","3-chloro-<em>N</em>-[<i>trans</i>-4-(methylamino)cyclohexyl]-<em>N</em>-[3-(pyridin-4-yl)benzyl]-1-benzothiophene-2-carboxamide","chebi",29,0,FALSE,TRUE,FALSE,TRUE
"il13","HGNC:5973","IL13","immport",28,1,FALSE,TRUE,FALSE,FALSE
"plab","HGNC:30142","GDF15","immport",27,0,FALSE,FALSE,FALSE,TRUE
"dha","CHEBI:16016","dihydroxyacetone","chebi",24,1,FALSE,FALSE,FALSE,TRUE
"dncb","CHEBI:34718","1-chloro-2,4-dinitrobenzene","chebi",24,0,FALSE,TRUE,FALSE,TRUE
"ser","CHEBI:17115","<small>L</small>-serine","chebi",23,1,FALSE,FALSE,FALSE,TRUE
"hgf","HGNC:6018","IL6","immport",22,2,FALSE,TRUE,FALSE,TRUE
"vegf","HGNC:12680","VEGFA","hgnc",22,2,FALSE,TRUE,FALSE,TRUE
"androgen","CHEBI:50113","androgen","chebi",21,11,FALSE,TRUE,FALSE,FALSE
"drb","CHEBI:49852","5,6-dichloro-1-β-<small>D</small>-ribofuranosyl-1<em>H</em>-benzimidazole","chebi",21,1,FALSE,TRUE,FALSE,TRUE
"apg","CHEBI:155879","Ala-Pro-Gly","chebi",20,0,FALSE,FALSE,FALSE,TRUE
"dbf","CHEBI:28145","dibenzofuran","chebi",20,0,FALSE,FALSE,FALSE,TRUE
"il1","HGNC:5991","IL1A","immport",20,3,FALSE,FALSE,FALSE,TRUE
"fgf2","HGNC:3676","FGF2","immport",19,1,FALSE,TRUE,FALSE,FALSE
"il11","HGNC:5966","IL11","immport",19,0,FALSE,TRUE,FALSE,FALSE
"lps","CHEBI:16412","lipopolysaccharide","chebi",19,54,FALSE,TRUE,TRUE,TRUE
"tgfbeta","HGNC:11766","TGFB1","immport",19,9,FALSE,TRUE,FALSE,FALSE
"tmz","CHEBI:72564","temozolomide","chebi",19,6,FALSE,FALSE,FALSE,TRUE
"tpa","CHEBI:15702","terephthalic acid","chebi",19,2,FALSE,FALSE,FALSE,TRUE
"5fu","CHEBI:80961","5-formyluracil","chebi",18,2,FALSE,TRUE,FALSE,TRUE
"il6","HGNC:6018","IL6","immport",18,2,FALSE,TRUE,FALSE,FALSE
"auxin","CHEBI:22676","auxin","chebi",17,4,FALSE,TRUE,FALSE,FALSE
"baff","HGNC:11929","TNFSF13B","immport",17,0,FALSE,FALSE,FALSE,TRUE
"gentamicin","CHEBI:17833","gentamycin","chebi",17,0,FALSE,TRUE,FALSE,FALSE
