"cluster_id","n_treated","n_ricostruiti","n_entita_distinte","entita","n_label_distinte","scarti","k","canonical_name","kind_effective_resolved","agent_id_resolved"
"group_L0_05dadd11",7,6,4,"STR:ha_yb | STR:hs_nrse_monocolon | STR:magi_ko | STR:mlph_ko",7,"controllo_non_valido,entita_costante",21,NA,"none","UNK"
"group_L0_07090368",2,1,1,"STR:non_lc",2,"",10,NA,"none","UNK"
"group_L0_09015fc7",2,1,1,"STR:nd_generation_mammospheres",2,"",16,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L0_17cd75fb",2,2,0,"",2,"no_delta,no_entity",9,NA,"none","UNK"
"group_L0_219e0854",4,2,0,"",4,"str_generico",5,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L0_22e204f1",2,2,0,"",2,"str_generico",7,NA,"none","UNK"
"group_L0_23706d15",1,1,0,"",1,"no_delta",17,NA,"vehicle_only","UNK"
"group_L0_24b927f1",4,4,0,"",4,"no_delta",6,NA,"none","UNK"
"group_L0_3257cac1",1,1,0,"",1,"no_delta",10,"Prostatic Neoplasms","disease_vs_normal","MeSH:D011471"
"group_L0_32a22efb",4,3,1,"STR:pccon",4,"str_generico",13,"colorectal cancer","disease_vs_normal","MeSH:D015179"
"group_L0_33bf997f",9,3,0,"",8,"no_delta,str_generico",6,NA,"none","UNK"
"group_L0_3eb481e6",9,2,1,"STR:acute_rejection",8,"str_generico",7,"hepatocellular carcinoma","environmental","MeSH:D006528"
"group_L0_423bfc89",3,3,1,"STR:fever_post_vaccination",3,"",6,"Mycobacterium tuberculosis","pathogen_or_aggregate_exposure","NCBITaxon:1773"
"group_L0_42a7a78c",17,2,1,"MeSH:D003922",11,"str_generico",5,"type 1 diabetes","disease_vs_normal","MeSH:D003922"
"group_L0_486ce7c2",2,1,0,"",2,"str_generico",10,NA,"vehicle_only","UNK"
"group_L0_4ae12e04",1,0,0,"",1,"",10,NA,"none","UNK"
"group_L0_4db86466",63,16,3,"STR:active | STR:moderate_stroke | STR:pregnant",63,"delta_multiclasse,str_generico",9,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L0_4ebea2ae",2,1,0,"",2,"str_generico",5,NA,"none","UNK"
"group_L0_537ca36c",4,2,0,"",4,"no_delta",11,NA,"none","UNK"
"group_L0_53bf630b",2,1,0,"",2,"riga_genetica_asimmetrica",15,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L0_5844a8da",39,4,1,"MeSH:D000086382",35,"str_generico",5,"Mycobacterium tuberculosis","pathogen_or_aggregate_exposure","NCBITaxon:1773"
"group_L0_59e2c58e",25,12,5,"COMBO:anti-pd-l1+tgf-beta bifunctional fusion protein | MeSH:D047928 | STR:active_tb | STR:acute_sci | STR:ltbi_progressor",25,"no_delta,riga_soggetto_diverso,riga_tempo_non_appaiato,str_generico",10,"Mycobacterium tuberculosis","pathogen_or_aggregate_exposure","NCBITaxon:1773"
"group_L0_656caa1f",4,1,1,"STR:tetrasomy_chromosome",4,"",10,"colorectal cancer","disease_vs_normal","MeSH:D015179"
"group_L0_687b3425",16,12,7,"MeSH:D003093 | MeSH:D015535 | STR:celiac_disease | STR:fibromyalgia_syndrome | STR:irritable_bowel_syndrome | STR:lung_cancer_small_carcinoma | STR:shock_fu",16,"riga_soggetto_diverso,str_generico",10,"cancer","disease_vs_normal","MeSH:D009369"
"group_L0_69f34e03",1,0,0,"",1,"",7,NA,"none","UNK"
"group_L0_6c41952f",28,22,7,"STR:chill | STR:dr_knockout | STR:fatigue | STR:fvr_initial_outbreak | STR:problems_inconclusive_ran_twice_new_required | STR:symptom_msk | STR:throat_initial_outbreak",23,"str_generico",5,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L0_7db146e3",8,4,1,"CHEBI:231601",8,"id_blacklist,no_delta,riga_genetica_asimmetrica",32,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L0_8f5fdfa4",3,2,2,"STR:pre_trained | STR:trained",3,"",6,NA,"environmental","UNK"
"group_L0_94e1d70e",4,4,2,"STR:advanced_alzheimer_s_disease | STR:alzheimer_s_disease_late_stage",3,"delta_multiclasse,no_delta",6,"Alzheimer's disease","disease_vs_normal","MeSH:D000544"
"group_L0_9574cf15",2,2,1,"STR:polya_mrna",2,"no_delta",8,NA,"none","UNK"
"group_L0_957cc181",2,2,0,"",2,"no_delta,no_entity",14,NA,"none","UNK"
"group_L0_9b04dddc",4,1,0,"",4,"str_generico",5,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L0_a110b3fa",38,12,4,"COMBO:02 sera+necrotic lysates | COMBO:necrotic lysates+sle 06 sera | COMBO:necrotic lysates+sle 22 sera | STR:sle_sera",30,"str_generico",6,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L0_a3dbd6fa",11,11,7,"STR:hook | STR:positive_group_iii_iii | STR:positive_group_iii_iv | STR:positive_group_iv_iii | STR:positive_group_iv_iv | STR:positive_na_iv | STR:severe_recovered",11,"entita_costante,str_generico",5,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L0_a99ba805",10,5,3,"STR:medulloblastoma_subgroup_shh | STR:second | STR:systemic",9,"entita_costante,no_delta",7,"cancer","disease_vs_normal","MeSH:D009369"
"group_L0_aa2bd6d4",1,1,1,"CHEBI:16330",1,"",26,NA,"vehicle_only","UNK"
"group_L0_ab18c3c5",9,9,1,"MeSH:D011471",4,"no_entity,str_generico",5,"prostate cancer","disease_vs_normal","MeSH:D011471"
"group_L0_af65b69b",6,4,1,"CHEBI:34756",6,"no_delta,str_generico",23,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L0_afa9f081",5,4,2,"STR:high_ar_expression | STR:therapeutic_sensitive",5,"str_generico",7,"Breast Neoplasms","disease_vs_normal","MeSH:D001943"
"group_L0_b0f613f5",12,5,1,"STR:ab_positive",12,"no_delta,str_generico",6,"Mycobacterium tuberculosis","pathogen_or_aggregate_exposure","NCBITaxon:1773"
"group_L0_bdc8e7e5",3,1,1,"STR:newborn",3,"",24,NA,"none","UNK"
"group_L0_c0a5e87f",17,10,1,"STR:active",17,"delta_multiclasse,entita_costante,riga_soggetto_diverso,str_generico",10,"cancer","disease_vs_normal","MeSH:D009369"
"group_L0_cdb1521a",5,4,0,"",5,"no_delta,str_generico",18,"Colorectal Neoplasms","disease_vs_normal","MeSH:D015179"
"group_L0_dea00883",8,8,3,"MeSH:D001943 | STR:nsln_negative | STR:tnbc",8,"no_delta,no_entity",7,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L0_ec83e8fd",8,2,2,"STR:adult_mixed_phenotype_acute_leukemia | STR:pretreatment",8,"",6,"acute myeloid leukemia","disease_vs_normal","MeSH:D015470"
"group_L0_f20b7e46",17,2,1,"MeSH:D001943",15,"",6,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L0_f20f6990",3,0,0,"",3,"",9,NA,"none","UNK"
"group_L0_f4823641",3,3,1,"COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0",3,"",10,NA,"vehicle_only","UNK"
