"ckey","entita","verso","k","n","verdetto","motivo"
"CHEBI:114785||gain||vehicle_untreated","CHEBI:114785","gain",7,23,"coerente",NA
"CHEBI:137113||gain||vehicle_untreated","CHEBI:137113","gain",24,87,"coerente",NA
"CHEBI:145431||gain||vehicle_untreated","CHEBI:145431","gain",3,12,"coerente",NA
"CHEBI:145535||gain||vehicle_untreated","CHEBI:145535","gain",3,20,"coerente",NA
"CHEBI:16240||gain||vehicle_untreated","CHEBI:16240","gain",5,13,"coerente",NA
"CHEBI:16330||gain||vehicle_untreated","CHEBI:16330","gain",19,58,"coerente",NA
"CHEBI:16412||gain||vehicle_untreated","CHEBI:16412","gain",26,110,"coerente",NA
"CHEBI:16469||gain||vehicle_untreated","CHEBI:16469","gain",12,50,"coerente",NA
"CHEBI:17823||gain||ethanol","CHEBI:17823","gain",3,44,"coerente",NA
"CHEBI:205761||gain||vehicle_untreated","CHEBI:205761","gain",3,18,"coerente",NA
"CHEBI:22984||gain||vehicle_untreated","CHEBI:22984","gain",3,10,"coerente",NA
"CHEBI:230500||gain||vehicle_untreated","CHEBI:230500","gain",7,7,"coerente",NA
"CHEBI:230508||gain||vehicle_untreated","CHEBI:230508","gain",3,5,"coerente",NA
"CHEBI:230905||gain||vehicle_untreated","CHEBI:230905","gain",4,7,"coerente",NA
"CHEBI:231324||gain||vehicle_untreated","CHEBI:231324","gain",3,7,"coerente",NA
"CHEBI:231598||gain||vehicle_untreated","CHEBI:231598","gain",5,18,"coerente",NA
"CHEBI:231601||gain||vehicle_untreated","CHEBI:231601","gain",3,15,"coerente",NA
"CHEBI:233362||gain||vehicle_untreated","CHEBI:233362","gain",5,10,"coerente",NA
"CHEBI:27899||gain||vehicle_untreated","CHEBI:27899","gain",18,75,"coerente",NA
"CHEBI:28119||gain||vehicle_untreated","CHEBI:28119","gain",3,8,"coerente",NA
"CHEBI:28748||gain||vehicle_untreated","CHEBI:28748","gain",17,34,"coerente",NA
"CHEBI:3139||gain||vehicle_untreated","CHEBI:3139","gain",5,39,"coerente",NA
"CHEBI:31638||gain||vehicle_untreated","CHEBI:31638","gain",13,70,"coerente",NA
"CHEBI:379896||gain||vehicle_untreated","CHEBI:379896","gain",19,151,"coerente",NA
"CHEBI:38940||gain||vehicle_untreated","CHEBI:38940","gain",8,46,"coerente",NA
"CHEBI:4167||loss||vehicle_untreated","CHEBI:4167","loss",3,11,"coerente",NA
"CHEBI:41774||gain||vehicle_untreated","CHEBI:41774","gain",4,20,"coerente",NA
"CHEBI:41879||gain||vehicle_untreated","CHEBI:41879","gain",6,18,"coerente",NA
"CHEBI:44616||gain||vehicle_untreated","CHEBI:44616","gain",3,6,"coerente",NA
"CHEBI:4551||gain||vehicle_untreated","CHEBI:4551","gain",3,11,"coerente",NA
"CHEBI:45783||gain||vehicle_untreated","CHEBI:45783","gain",6,24,"coerente",NA
"CHEBI:45863||gain||vehicle_untreated","CHEBI:45863","gain",5,9,"coerente",NA
"CHEBI:4672||gain||vehicle_untreated","CHEBI:4672","gain",6,13,"coerente",NA
"CHEBI:46741||gain||vehicle_untreated","CHEBI:46741","gain",3,20,"coerente",NA
"CHEBI:46742||gain||vehicle_untreated","CHEBI:46742","gain",4,12,"coerente",NA
"CHEBI:4911||gain||vehicle_untreated","CHEBI:4911","gain",4,11,"coerente",NA
