"study_id","treated_label","control_label","dtval","dcval","dclasses","canonical_name","ce2_id","ce2_name","ce2_cand","entity","new_entity","new_src","onc","dr","new_dr"
"GSE183620","UC Colon inflammation","UC Colon non-treated","inflammation","non-treated","drug","inflammatory bowel disease",NA,NA,NA,"STR:inflammation",NA,NA,FALSE,"ok","nome_ombrello"
"GSE179766","Normal naive CD5+ B cells cytokine stimulated","Normal naive CD5+ B cells unstimulated","cytokine stimulated","unstimulated","drug","cord blood",NA,NA,NA,"STR:cytokine",NA,NA,FALSE,"ok","nome_ombrello"
"GSE164285","Lesional NS_patient4","Healthy Control HC6","lesional","healthy control","disease","Atopic Dermatitis",NA,NA,NA,"STR:lesional",NA,NA,FALSE,"ok","nome_ombrello"
"GSE164285","Lesional NS_patient6","Healthy Control HC8","lesional","healthy control","disease","Atopic Dermatitis",NA,NA,NA,"STR:lesional",NA,NA,FALSE,"ok","nome_ombrello"
"GSE164285","Lesional NS_patient3.1","Healthy Control HC9","lesional","healthy control","disease","Atopic Dermatitis",NA,NA,NA,"STR:lesional",NA,NA,FALSE,"ok","nome_ombrello"
"GSE164285","Lesional NS_patient1","Healthy Control HC10","lesional","healthy control","disease","Atopic Dermatitis",NA,NA,NA,"STR:lesional",NA,NA,FALSE,"ok","nome_ombrello"
"GSE164285","Lesional NS_patient4","Healthy Control HC6","lesional","healthy control","disease","atopic dermatitis",NA,NA,NA,"STR:lesional",NA,NA,FALSE,"ok","nome_ombrello"
"GSE164285","Lesional NS_patient6","Healthy Control HC8","lesional","healthy control","disease","atopic dermatitis",NA,NA,NA,"STR:lesional",NA,NA,FALSE,"ok","nome_ombrello"
"GSE164285","Lesional NS_patient3.1","Healthy Control HC9","lesional","healthy control","disease","atopic dermatitis",NA,NA,NA,"STR:lesional",NA,NA,FALSE,"ok","nome_ombrello"
"GSE164285","Lesional NS_patient1","Healthy Control HC10","lesional","healthy control","disease","atopic dermatitis",NA,NA,NA,"STR:lesional",NA,NA,FALSE,"ok","nome_ombrello"
"GSE183620","UC Colon inflammation","UC Colon non-treated","inflammation","non-treated","drug","inflammatory bowel disease",NA,NA,NA,"STR:inflammation",NA,NA,FALSE,"ok","nome_ombrello"
"GSE179766","Normal naive CD5+ B cells cytokine stimulated","Normal naive CD5+ B cells unstimulated","cytokine stimulated","unstimulated","drug","cord blood",NA,NA,NA,"STR:cytokine",NA,NA,FALSE,"ok","nome_ombrello"
"GSE179766","Normal naive CD5+ B cells cytokine stimulated","Normal naive CD5+ B cells unstimulated","cytokine stimulated","unstimulated","drug","cord blood",NA,NA,NA,"STR:cytokine",NA,NA,FALSE,"ok","nome_ombrello"
