"study_id","treated_label","control_label","dr","new_dr","entity","new_entity","new_src"
"GSE157240","Other respiratory RNA virus infected patients","Healthy controls","ok","ok","NCBITaxon:3049954","COMBO:respiratory rna viruses parainfluenza virus+respiratory syncytial virus","COMBO"
"GSE202134","RBM39 siRNA + FLAG-RBM39","Ctrl siRNA","ok_combo","ok","COMBO:flag-rbm39+rbm39","COMBO:flag-rbm39+rbm39 sirna","COMBO"
"GSE202134","RBM39 siRNA + FLAG-RBM39 (replicate)","Ctrl siRNA","ok_combo","ok","COMBO:flag-rbm39+rbm39","COMBO:flag-rbm39+rbm39 sirna","COMBO"
"GSE60590","Trained (Post-training)","Untrained (Pre-training)","entita_costante","ok",NA,"NAME:training","anchor"
"GSE60833","Training Post-Training Period 1","Untrained Pre-Training Period 2","entita_costante","ok",NA,"NAME:training","anchor"
"GSE169030","Soybean 7S globulin 50 µg/mL","Control (no exposure)","ok","ok","STR:g_ml_soybean_s_globulin","NCBITaxon:3847","onto"
"GSE130595","siILF3 + poly(IC)","siMock + poly(IC)","ok","ok","CHEBI:84491","COMBO:poly ic+siilf3","COMBO"
"GSE231686","Normal 20% Healthy Donor Sera","Normal Untreated and Unstimulated","ok","ok","STR:sera_mg_ml_necrotic_lysates","COMBO:02 sera+necrotic lysates","COMBO"
"GSE231686","Normal 20% Patient Sera","Normal Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE205235","Neural progenitors with PARK2 genetic knockout and full-length copy of cDNA PARK2","Neural progenitors with PARK2 genetic knockout","ok_combo","ok","COMBO:full-length copy cdna park2 under minimal cmv+teto promoter","COMBO:full-length copy of cdna park2 under minimal cmv+teto promoter","COMBO"
"GSE158305","HBEC1_YAP_TAZ_knockdown","Control_siRNA_1","ok_combo","ok","COMBO:taz+yap","STR:yap_taz_sirna","STR"
"GSE169030","2S albumin Lupine 50 µg/mL","Control (no exposure)","ok","ok","STR:g_ml_s_albumin_lupine","CHEMBL:CHEMBL1201451","onto"
"GSE249870","HT-29 + TNF-α + 4-HDHA","HT-29 + vehicle control","ok_combo","ok","COMBO:4-hdha+tnf-","HGNC:11892","onto"
"GSE249870","HT-29 + TNF-α + 4-HDHA","HT-29 + vehicle control","ok_combo","ok","COMBO:4-hdha+tnf-","HGNC:11892","onto"
"GSE158305","HBEC2_YAP_TAZ_knockdown","Control_siRNA_1","ok_combo","ok","COMBO:taz+yap","STR:yap_taz_sirna","STR"
"GSE97412","HepG2 + siINO80#1 (liver cancer model)","HepG2 + NTG (transgene)","ok","ok","STR:siino","COMBO:cancer+siino80","COMBO"
"GSE97412","HepG2 + siINO80#2 (liver cancer model)","HepG2 + NTG (transgene)","ok","ok","STR:siino","COMBO:cancer+siino80","COMBO"
"GSE169030","Soybean 7S globulin 50 µg/mL (Donor 137)","Control (no exposure)","ok","ok","STR:g_ml_soybean_s_globulin","NCBITaxon:3847","onto"
"GSE231686","SLE 20% Healthy Donor Sera","SLE Untreated and Unstimulated","ok","ok","STR:sera_mg_ml_necrotic_lysates","COMBO:02 sera+necrotic lysates","COMBO"
"GSE231686","SLE 20% Patient Sera","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S43","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S47","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S45","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #22 sera + necrotic cell lysates S48","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 22 sera","COMBO"
"GSE225731","RA Bio + MTX/Steroid","RA untreated","riga_combinazione_non_vista","ok",NA,"COMBO:mtx+steroid","COMBO"
"GSE233529","Caco2 + no FBS and Complete media after","Caco2 + Complete media","ok_combo","ok","COMBO:complete media+fbs","STR:no_fbs_complete_media_after","STR"
"GSE146547","A549 cells transfected with siRNA pool against IGF2BP1 (lung cancer)","A549 cells transfected with Control siRNA","ok","ok","STR:sirna_pool_against_igf_bp","COMBO:cancer+igf2bp1","COMBO"
"GSE160091","MIT/ML324-treated","Vehicle-control","ok_combo","ok","COMBO:mit+ml324","CHEBI:746977","onto"
