"ckey","entita","verso","k","n","nome"
"NCBITaxon:2697049||gain||vehicle_untreated","NCBITaxon:2697049","gain",28,170,"sars-cov-2"
"HGNC:11766||gain||vehicle_untreated","HGNC:11766","gain",27,124,"TGFB1"
"CHEBI:16412||gain||vehicle_untreated","CHEBI:16412","gain",26,112,"lipopolysaccharide"
"CHEBI:137113||gain||vehicle_untreated","CHEBI:137113","gain",24,87,"JQ1"
"CHEBI:68534||gain||vehicle_untreated","CHEBI:68534","gain",21,108,"enzalutamide"
"CHEBI:16330||gain||vehicle_untreated","CHEBI:16330","gain",19,58,"17β-hydroxy-5α-androstan-3-one"
"CHEBI:379896||gain||vehicle_untreated","CHEBI:379896","gain",19,149,"17β-hydroxy-17-methylestra-4,9,11-trien-3-one"
"CHEBI:27899||gain||vehicle_untreated","CHEBI:27899","gain",18,75,"cisplatin"
"CHEBI:28748||gain||vehicle_untreated","CHEBI:28748","gain",17,34,"doxorubicin"
"CHEBI:31638||gain||vehicle_untreated","CHEBI:31638","gain",13,70,"fulvestrant"
"CHEBI:63637||gain||vehicle_untreated","CHEBI:63637","gain",13,125,"vemurafenib"
"HGNC:11892||gain||vehicle_untreated","HGNC:11892","gain",13,53,"TNF"
"MeSH:D003424||gain||vehicle_untreated","MeSH:D003424","gain",13,141,"Crohn Disease"
"CHEBI:16469||gain||vehicle_untreated","CHEBI:16469","gain",12,50,"17β-estradiol"
"STR:covid||gain||vehicle_untreated","STR:covid","gain",12,68,"Mycobacterium tuberculosis"
"CHEBI:85993||gain||vehicle_untreated","CHEBI:85993","gain",11,41,"palbociclib"
"HGNC:5438||gain||vehicle_untreated","HGNC:5438","gain",11,36,"IFNG"
"CHEBI:90943||gain||vehicle_untreated","CHEBI:90943","gain",10,60,"osimertinib"
"MeSH:D015179||gain||vehicle_untreated","MeSH:D015179","gain",10,74,"Colorectal Neoplasms"
"CHEBI:50924||gain||vehicle_untreated","CHEBI:50924","gain",9,43,"sorafenib"
"NAME:hypoxia||gain||normoxia","NAME:hypoxia","gain",9,28,"hypoxia"
"STR:hypoxia||gain||normoxia","STR:hypoxia","gain",9,32,"doxycycline"
"CHEBI:38940||gain||vehicle_untreated","CHEBI:38940","gain",8,46,"sunitinib"
"CHEBI:83766||gain||vehicle_untreated","CHEBI:83766","gain",8,20,"olaparib"
"MeSH:D003093||gain||vehicle_untreated","MeSH:D003093","gain",8,39,"Colitis, Ulcerative"
"MeSH:D006528||gain||vehicle_untreated","MeSH:D006528","gain",8,53,"Carcinoma, Hepatocellular"
"MeSH:D011225||gain||vehicle_untreated","MeSH:D011225","gain",8,36,"Pre-Eclampsia"
"NCBITaxon:11320||gain||vehicle_untreated","NCBITaxon:11320","gain",8,26,"influenza"
"STR:keloid||gain||vehicle_untreated","STR:keloid","gain",8,48,"Atopic Dermatitis"
"CHEBI:114785||gain||vehicle_untreated","CHEBI:114785","gain",7,23,"erlotinib"
"CHEBI:230500||gain||vehicle_untreated","CHEBI:230500","gain",7,7,"THZ1"
"CHEBI:49668||gain||vehicle_untreated","CHEBI:49668","gain",7,30,"gefitinib"
"CHEBI:84491||gain||vehicle_untreated","CHEBI:84491","gain",7,14,"poly(I:C)"
"HGNC:5973||gain||vehicle_untreated","HGNC:5973","gain",7,17,"IL13"
"NCBITaxon:10359||gain||vehicle_untreated","NCBITaxon:10359","gain",7,30,"cmv"
"NCBITaxon:11676||gain||vehicle_untreated","NCBITaxon:11676","gain",7,23,"hiv-1"
"STR:nash||gain||vehicle_untreated","STR:nash","gain",7,47,"hepatocellular carcinoma"
"STR:psoriasis||gain||vehicle_untreated","STR:psoriasis","gain",7,18,"Atopic Dermatitis"
