entita,gruppi,k_separati,k_se_fusi,causa
TGF-beta1,"HGNC:11766||vehicle_untreated (61); STR:tgfb (11); HGNC:11766||no treatment (3); STR:tgf_b (3)",78,fino a 78,"due scritture non risolte (TGFb/TGF-B) + due tipi di controllo che il gate tiene distinti (vehicle_untreated vs 'no treatment')"
nutlin-3a,"STR:nutlin_3a (10); CHEBI:46741 (6); CHEBI:46742 (5)",21,fino a 21,"la stessa molecola arriva come sigla non risolta e come DUE ID ChEBI diversi"
interferone alfa,"STR:ifna (5); HGNC:5423 IFNA2 (3); STR:interferon_alpha (3)",11,fino a 11,"tre scritture: sigla, ID del gene, nome esteso"
acido retinoico,"CHEBI:15367 (7); STR:atra (7)",14,fino a 14,"ATRA non risolve all'ID del composto"
U0126,"CHEBI:79091 (6); CHEBI:90693 (4)",10,--,"due ID ChEBI; ma il primo gruppo e comunque incoerente (inibitori diversi)"
glucosio,"CHEBI:4167 (5); CHEBI:17234 (3)",8,fino a 8,"due ID ChEBI per lo stesso zucchero"
TNF-alpha,"HGNC:11892 (38); CHEMBL:CHEMBL265582 (7)",45,fino a 45,"ID del gene e ID ChEMBL della proteina ricombinante"
DHT,"CHEBI:16330||vehicle_untreated (27); CHEBI:16330||ethanol (3)",30,fino a 30,"stesso ID e stesso verso: separa solo il tipo di controllo (etanolo e il veicolo del DHT)"
LPS,"CHEBI:16412||vehicle_untreated (41); CHEBI:16412||rpmi media (3)",44,fino a 44,"idem: 'RPMI media' e un controllo non trattato"
IFN-gamma,"HGNC:5438||vehicle_untreated (30); HGNC:5438||unstimulated (3)",33,fino a 33,"idem: 'unstimulated' e un non trattato"
calcitriolo,"CHEBI:17823||ethanol (3); STR:1_25_oh_2d3 (3)",6,fino a 6,"la notazione 1,25(OH)2D3 non risolve"
psoriasi,"STR:psoriasis (10); STR:psoriasis_vulgaris (4)",14,fino a 14,"forma generica e forma specifica della stessa diagnosi"
lupus,"MeSH:D008180 (6); STR:lupus (3)",9,fino a 9,"ID MeSH e sigla non risolta"
GM-CSF,"HGNC:2434 (3); CHEMBL:CHEMBL2107881 (3)",6,--,"ID del gene e ID ChEMBL; ma il primo gruppo e incoerente (M1/M0)"
COVID-19,"STR:covid_19 (12); STR:covid (3)",15,fino a 15,"conseguenza dichiarata della correzione 'le cifre restano nel nome' (2026-07-26)"
auxina,"CHEBI:16411 (4); CHEBI:22676 (3)",7,--,"due ID; ma entrambi i gruppi sono incoerenti (induttore degron)"
