"cluster_id","ckey","contrast_entity","contrast_direction","contrast_control_key","k","n_total","canonical_name","gia_letto"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","HGNC:11766","gain","vehicle_untreated",61,1055,"TGFB1",TRUE
"cgroup_L5_c548d053","CHEBI:16412||gain||vehicle_untreated","CHEBI:16412","gain","vehicle_untreated",41,590,"lipopolysaccharide",TRUE
"cgroup_L5_b71a25a2","CHEBI:137113||gain||vehicle_untreated","CHEBI:137113","gain","vehicle_untreated",39,399,"<small>D</small>-cycloserine(1+)",TRUE
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","HGNC:11892","gain","vehicle_untreated",38,327,"Recombinant Tumor Necrosis Factor-alpha (human)",TRUE
"cgroup_L5_871ae09e","NCBITaxon:2697049||gain||vehicle_untreated","NCBITaxon:2697049","gain","vehicle_untreated",38,3287,"sars-cov2",TRUE
"cgroup_L5_83f57274","STR:hypoxia||gain||normoxia","STR:hypoxia","gain","normoxia",37,353,"hypoxia",TRUE
"cgroup_L5_021e875e","CHEBI:27899||gain||vehicle_untreated","CHEBI:27899","gain","vehicle_untreated",30,327,"2,2',3,4',5,5'-Hexachloro-4-biphenylol",TRUE
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","CHEBI:50131","gain","vehicle_untreated",30,374,"2,3,4,5-Tetrachloro-4'-biphenylol",TRUE
"cgroup_L5_87c40ebb","HGNC:5438||gain||vehicle_untreated","HGNC:5438","gain","vehicle_untreated",30,253,"IFNG",TRUE
"cgroup_L5_c0d1d837","CHEBI:68534||gain||vehicle_untreated","CHEBI:68534","gain","vehicle_untreated",29,289,"enzalutamide",TRUE
"cgroup_L5_930c8dcf","CHEBI:16330||gain||vehicle_untreated","CHEBI:16330","gain","vehicle_untreated",27,217,"dihydrotestosterone",TRUE
"cgroup_L5_8a54ddd6","CHEBI:28748||gain||vehicle_untreated","CHEBI:28748","gain","vehicle_untreated",26,278,"doxorubicin",TRUE
"cgroup_L5_b6b8bc00","CHEBI:85993||gain||vehicle_untreated","CHEBI:85993","gain","vehicle_untreated",25,240,"PI(18:0/18:3(6Z,9Z,12Z))",TRUE
"cgroup_L5_03b38818","CHEBI:63637||gain||vehicle_untreated","CHEBI:63637","gain","vehicle_untreated",19,775,"sodium aurothiomalate",TRUE
"cgroup_L5_905be893","HGNC:5992||gain||vehicle_untreated","HGNC:5992","gain","vehicle_untreated",19,157,"polynucleotide",TRUE
"cgroup_L5_dde29fb4","CHEBI:16240||gain||vehicle_untreated","CHEBI:16240","gain","vehicle_untreated",18,130,"hydrogen peroxide",TRUE
"cgroup_L5_721184e6","CHEBI:230500||gain||vehicle_untreated","CHEBI:230500","gain","vehicle_untreated",18,154,"THZ1",TRUE
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","CHEBI:41879","gain","vehicle_untreated",17,139,"2<em>H</em>-azirine",TRUE
"cgroup_L5_6df6a50e","CHEBI:50924||gain||vehicle_untreated","CHEBI:50924","gain","vehicle_untreated",17,482,"<small>D</small>-homomethionine",TRUE
"cgroup_L5_c3ae78cd","MeSH:D003424||gain||vehicle_untreated","MeSH:D003424","gain","vehicle_untreated",16,894,"Crohn's Disease",TRUE
"cgroup_L5_a12414d4","CHEBI:16469||gain||vehicle_untreated","CHEBI:16469","gain","vehicle_untreated",15,253,"6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol",TRUE
"cgroup_L5_0e66597e","CHEBI:31638||gain||vehicle_untreated","CHEBI:31638","gain","vehicle_untreated",15,268,"fulvestrant",TRUE
"cgroup_L5_702a5dea","CHEBI:75998||gain||vehicle_untreated","CHEBI:75998","gain","vehicle_untreated",15,838,"3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime",FALSE
"cgroup_L5_c5e86fe9","CHEBI:83766||gain||vehicle_untreated","CHEBI:83766","gain","vehicle_untreated",15,140,"1-myristoyl-2-oleoylglycerol",TRUE
"cgroup_L5_aecd610f","STR:schizophrenia||gain||vehicle_untreated","STR:schizophrenia","gain","vehicle_untreated",15,519,"schizophrenia",TRUE
"cgroup_L5_be15b706","HGNC:5973||gain||vehicle_untreated","HGNC:5973","gain","vehicle_untreated",14,287,"IL5RA",TRUE
"cgroup_L5_7934174c","CHEBI:231598||gain||vehicle_untreated","CHEBI:231598","gain","vehicle_untreated",13,134,"EPZ6438",TRUE
