"cluster_id","tipo","t","c"
"cgroup_L5_aecd610f","donor","Schizophrenia (Donor 20)","Control (Donor 21)"
"cgroup_L5_aecd610f","donor","Schizophrenia (Donor 9)","Control (Donor 21)"
"cgroup_L5_c040a36d","donor","Renal Cell Carcinoma Cultures (Donor 80)","Healthy Kidney Cortex Tubule Cultures (Donor "
"cgroup_L5_387b0d1a","donor","Type 1 Diabetes donor 0089","Healthy donor 0131"
"cgroup_L5_387b0d1a","donor","Type 1 Diabetes donor 1","Healthy Control donor 2"
"cgroup_L5_cf34c533","passage","PAEC, passage 5, Nutlin-3 10 uM 24h","PAEC, passage 3, PBS"
"cgroup_L5_4b901bf1","donor","Psoriasis Case Donor 7301","Healthy Control Donor 7360"
"cgroup_L5_4b901bf1","donor","Psoriasis Case Donor 7304","Healthy Control Donor 7360"
"cgroup_L5_4b901bf1","donor","Psoriasis Case Donor 7314","Healthy Control Donor 7360"
"cgroup_L5_4b901bf1","donor","Psoriasis Case Donor 7300","Healthy Control Donor 6532"
"cgroup_L5_4b901bf1","donor","Psoriasis Case Donor 7300","Healthy Control Donor 7350"
"cgroup_L5_ff78d2a8","visit","Aspirin 81mg visit 2","Vehicle visit 1"
"cgroup_L5_ff78d2a8","visit","Aspirin 325mg visit 2","Vehicle visit 1"
"cgroup_L5_ff78d2a8","visit","Aspirin 81mg visit 3","Vehicle visit 4"
"cgroup_L5_ff78d2a8","visit","Aspirin 325mg visit 3","Vehicle visit 4"
"cgroup_L5_2e16719f","passage","Articular chondrocytes (ACh) - TGF-B1 - 7-day","Articular chondrocytes (ACh) - vehicle_only -"
"cgroup_L5_2e16719f","passage","Articular chondrocytes (ACh) - TGF-B1 - 3-day","Articular chondrocytes (ACh) - vehicle_only -"
"cgroup_L5_2e16719f","passage","Articular chondrocytes (ACh) - TGF-B1 - 7-day","Articular chondrocytes (ACh) - vehicle_only -"
"cgroup_L5_2e16719f","passage","Articular chondrocytes (ACh) - TGF-B1 - 21-da","Articular chondrocytes (ACh) - vehicle_only -"
"cgroup_L5_2e16719f","passage","Articular chondrocytes (ACh) - TGF-B1 - 1-day","Articular chondrocytes (ACh) - vehicle_only -"
"cgroup_L5_2e16719f","passage","Articular chondrocytes (ACh) - TGF-B1 - 3-day","Articular chondrocytes (ACh) - vehicle_only -"
"cgroup_L5_2e16719f","passage","Articular chondrocytes (ACh) - TGF-B1 - 1-day","Articular chondrocytes (ACh) - vehicle_only -"
"cgroup_L5_2e16719f","passage","Articular chondrocytes (ACh) - TGF-B1 - 7-day","Articular chondrocytes (ACh) - vehicle_only -"
"cgroup_L5_2e16719f","passage","Bone marrow stromal cell - TGF-B1 - 21-days -","Bone marrow stromal cell - vehicle_only - Pas"
"cgroup_L5_2e16719f","passage","Bone marrow stromal cell - TGF-B1 - 7-days - ","Bone marrow stromal cell - vehicle_only - Pas"
"cgroup_L5_2e16719f","passage","Bone marrow stromal cell - TGF-B1 - 1-day - P","Bone marrow stromal cell - vehicle_only - Pas"
"cgroup_L5_2e16719f","passage","Bone marrow stromal cell - TGF-B1 - 21-days -","Bone marrow stromal cell - vehicle_only - Pas"
"cgroup_L5_2e16719f","passage","Bone marrow stromal cell - TGF-B1 - 3-days - ","Bone marrow stromal cell - vehicle_only - Pas"
"cgroup_L5_2e16719f","passage","Bone marrow stromal cell - TGF-B1 - 1-day - P","Bone marrow stromal cell - vehicle_only - Pas"
"cgroup_L5_2e16719f","passage","UPCI-SCC-040 passage 13, TGF-β1 72h","UPCI-SCC-040 passage 12, no TGF-β1 treatment "
"cgroup_L5_2e16719f","passage","UPCI-SCC-040 passage 8, TGF-β1 48h","UPCI-SCC-040 passage 12, no TGF-β1 treatment "
"cgroup_L5_2e16719f","passage","UPCI-SCC-040 passage 13, TGF-β1 48h","UPCI-SCC-040 passage 12, no TGF-β1 treatment "
"cgroup_L5_4041e3af","donor","Healthy Donor 2 - GSKJ4","Healthy Donor 1 - Untreated"
"cgroup_L5_b0066299","donor","Keloid (Donor 1)","Normal (Donor 3)"
"cgroup_L5_729b276d","donor","Endothelial progenitor cells from donor 21 wi","Endothelial progenitor cells from donor 1 (he"
"cgroup_L5_83f57274","donor","Hypoxia (Donor 1)","Normoxia (Control, Donor 2)"
"cgroup_L5_83f57274","donor","Hypoxia (Donor 3)","Normoxia (Control, Donor 2)"
"cgroup_L5_bd19fe42","donor","Hepatocellular Cancer (Donor 2, TP2)","Normal Liver (Donor 9128)"
