"cluster_id","contrast_entity","label_nuova","label_fonte","canonical_name","k","direzione","controllo","divergente"
"cgroup_L5_2e16719f","HGNC:11766","TGFB1","hgnc","TGFB1",65,"gain","vehicle_untreated",FALSE
"cgroup_L5_c548d053","CHEBI:16412","lipopolysaccharide","chebi","lipopolysaccharide",50,"gain","vehicle_untreated",FALSE
"cgroup_L5_d9e23e09","HGNC:11892","TNF","hgnc","Recombinant Tumor Necrosis Factor-alpha (human)",41,"gain","vehicle_untreated",TRUE
"cgroup_L5_b71a25a2","CHEBI:137113","JQ1","chebi","<small>D</small>-cycloserine(1+)",41,"gain","vehicle_untreated",TRUE
"cgroup_L5_871ae09e","NCBITaxon:2697049","severeacuterespiratorysyndromecoronavirus2","ncbitaxon_normalized","sars-cov2",38,"gain","vehicle_untreated",TRUE
"cgroup_L5_83f57274","STR:hypoxia","hypoxia","str_literal","hypoxia",37,"gain","normoxia",FALSE
"cgroup_L5_87c40ebb","HGNC:5438","IFNG","hgnc","IFNG",35,"gain","vehicle_untreated",FALSE
"cgroup_L5_930c8dcf","CHEBI:16330","17β-hydroxy-5α-androstan-3-one","chebi","4-maleylacetoacetate",34,"gain","vehicle_untreated",TRUE
"cgroup_L5_a32e5eaa","CHEBI:50131","5-aza-2'-deoxycytidine","chebi","2,3,4,5-Tetrachloro-4'-biphenylol",31,"gain","vehicle_untreated",TRUE
"cgroup_L5_021e875e","CHEBI:27899","cisplatin","chebi","2,2',3,4',5,5'-Hexachloro-4-biphenylol",30,"gain","vehicle_untreated",TRUE
"cgroup_L5_c0d1d837","CHEBI:68534","enzalutamide","chebi","enzalutamide",29,"gain","vehicle_untreated",FALSE
"cgroup_L5_8a54ddd6","CHEBI:28748","doxorubicin","chebi","doxorubicin",27,"gain","vehicle_untreated",FALSE
"cgroup_L5_905be893","HGNC:5992","IL1B","hgnc","Interleukin-1beta",26,"gain","vehicle_untreated",TRUE
"cgroup_L5_f94b6180","CHEBI:379896","17β-hydroxy-17-methylestra-4,9,11-trien-3-one","chebi","dihydrotestosterone",26,"gain","vehicle_untreated",TRUE
"cgroup_L5_b6b8bc00","CHEBI:85993","palbociclib","chebi","PI(18:0/18:3(6Z,9Z,12Z))",26,"gain","vehicle_untreated",TRUE
"cgroup_L5_dde29fb4","CHEBI:16240","hydrogen peroxide","chebi","hydrogen peroxide",20,"gain","vehicle_untreated",FALSE
"cgroup_L5_eb5e1e65","CHEBI:41879","dexamethasone","chebi","2<em>H</em>-azirine",20,"gain","vehicle_untreated",TRUE
"cgroup_L5_03b38818","CHEBI:63637","vemurafenib","chebi","sodium aurothiomalate",20,"gain","vehicle_untreated",TRUE
"cgroup_L5_721184e6","CHEBI:230500","THZ1","chebi","THZ1",18,"gain","vehicle_untreated",FALSE
"cgroup_L5_6df6a50e","CHEBI:50924","sorafenib","chebi","<small>D</small>-homomethionine",17,"gain","vehicle_untreated",TRUE
"cgroup_L5_c3ae78cd","MeSH:D003424","Crohn Disease","mesh","Crohn's Disease",16,"gain","vehicle_untreated",TRUE
"cgroup_L5_1d96b9da","CHEBI:84491","poly(I:C)","chebi","poly(I:C)",16,"gain","vehicle_untreated",FALSE
"cgroup_L5_a12414d4","CHEBI:16469","17β-estradiol","chebi","6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol",16,"gain","vehicle_untreated",TRUE
"cgroup_L5_be15b706","HGNC:5973","IL13","hgnc","IL5RA",15,"gain","vehicle_untreated",TRUE
"cgroup_L5_aecd610f","STR:schizophrenia","schizophrenia","str_literal","schizophrenia",15,"gain","vehicle_untreated",FALSE
"cgroup_L5_0e66597e","CHEBI:31638","fulvestrant","chebi","fulvestrant",15,"gain","vehicle_untreated",FALSE
"cgroup_L5_c5e86fe9","CHEBI:83766","olaparib","chebi","1-myristoyl-2-oleoylglycerol",15,"gain","vehicle_untreated",TRUE
"cgroup_L5_702a5dea","CHEBI:75998","trametinib","chebi","3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime",15,"gain","vehicle_untreated",TRUE
"cgroup_L5_601ede7b","CHEBI:90943","osimertinib","chebi","osimertinib",14,"gain","vehicle_untreated",FALSE
"cgroup_L5_49d55bfd","HGNC:6014","IL4","hgnc","IL4",14,"gain","vehicle_untreated",FALSE
"cgroup_L5_889ec305","MeSH:D015179","Colorectal Neoplasms","mesh","colorectal cancer",13,"gain","vehicle_untreated",TRUE
"cgroup_L5_7934174c","CHEBI:231598","tazemetostat","chebi","EPZ6438",13,"gain","vehicle_untreated",TRUE
"cgroup_L5_535d97f6","CHEBI:45783","imatinib","chebi","imatinib",13,"gain","vehicle_untreated",FALSE
"cgroup_L5_f34ff8df","CHEBI:4911","etoposide","chebi","etoposide",13,"gain","vehicle_untreated",FALSE
"cgroup_L5_12228932","HGNC:3229","EGF","hgnc","SYPL1",12,"gain","vehicle_untreated",TRUE
"cgroup_L5_444e7fc2","NCBITaxon:10359","humanbetaherpesvirus5","ncbitaxon_normalized","influenza virus",12,"gain","vehicle_untreated",TRUE
"cgroup_L5_7805eee6","STR:covid_19","covid_19","str_literal","Mycobacterium tuberculosis",12,"gain","vehicle_untreated",TRUE
"cgroup_L5_81b706c4","CHEBI:45863","paclitaxel","chebi","thiirane",12,"gain","vehicle_untreated",TRUE
"cgroup_L5_2ec87595","CHEBI:6801","metformin","chebi","metformin",12,"gain","vehicle_untreated",FALSE
"cgroup_L5_33673560","STR:tgfb","tgfb","str_literal","TGFB1",11,"gain","vehicle_untreated",TRUE
"cgroup_L5_bd19fe42","MeSH:D006528","Carcinoma, Hepatocellular","mesh","Carcinoma, Hepatocellular",11,"gain","vehicle_untreated",FALSE
