"cluster_id","contrast_entity","canonical_name","k","label_id","n_alias","esito","alias_che_matcha","n_membri"
"cgroup_L5_444e7fc2","NCBITaxon:10359","influenza virus",12,"humanbetaherpesvirus5",4,"nessun nome trovato","",26
"cgroup_L5_79a73ac5","NCBITaxon:11320",NA,9,"influenzaavirus",3,"nessun nome trovato","",13
"cgroup_L5_b9c77320","NCBITaxon:11676","HIV-1",6,"humanimmunodeficiencyvirus1",6,"nessun nome trovato","",13
"cgroup_L5_7cc951b5","NCBITaxon:10298","hsv-1",5,"humanalphaherpesvirus1",8,"nessun nome trovato","",11
"cgroup_L5_debadb13","NCBITaxon:10407","hepatitis B virus",4,"hepatitisbvirus",4,"nessun nome trovato","",9
"cgroup_L5_c548d053","CHEBI:16412","lipopolysaccharide",50,"lipopolysaccharide",4,"SOLO SIGLA","lps",120
"cgroup_L5_930c8dcf","CHEBI:16330","4-maleylacetoacetate",34,"17β-hydroxy-5α-androstan-3-one",15,"SOLO SIGLA","dht/5α-dht",57
"cgroup_L5_dde29fb4","CHEBI:16240","hydrogen peroxide",20,"hydrogen peroxide",13,"SOLO SIGLA","h2o2",34
"cgroup_L5_721184e6","CHEBI:230500","THZ1",18,"THZ1",7,"SOLO SIGLA","thz-1/thz 1/thz1/THZ1",44
"cgroup_L5_be15b706","HGNC:5973","IL5RA",15,"IL13",9,"SOLO SIGLA","il-13/IL13",41
"cgroup_L5_49d55bfd","HGNC:6014","IL4",14,"IL4",7,"SOLO SIGLA","il-4/IL4",29
"cgroup_L5_12228932","HGNC:3229","SYPL1",12,"EGF",2,"SOLO SIGLA","EGF",29
"cgroup_L5_33673560","STR:tgfb","TGFB1",11,"tgfb",1,"SOLO SIGLA","tgfb",23
"cgroup_L5_a25d0964","HGNC:6018","Interleukin-6",10,"IL6",7,"SOLO SIGLA","il-6/IL6",26
"cgroup_L5_a8ff7b6d","STR:atra","spin probe",9,"atra",1,"SOLO SIGLA","atra",20
"cgroup_L5_31308596","CHEBI:37537","phorbol 13-acetate 12-myristate",8,"phorbol 13-acetate 12-myristate",11,"SOLO SIGLA","pma",9
"cgroup_L5_3824dc37","STR:nash","nonalcoholic steatohepatitis",7,"nash",1,"SOLO SIGLA","nash",9
"cgroup_L5_f956ef98","CHEBI:28119","2,3,7,8-Tetrachlorodibenzodioxin",7,"2,3,7,8-tetrachlorodibenzodioxine",11,"SOLO SIGLA","tcdd",19
"cgroup_L5_2ab433c8","HGNC:14900","IMPDH2",6,"IL22",12,"SOLO SIGLA","il-22/IL22",11
"cgroup_L5_7784bb43","STR:pcos","endometrial cancer",6,"pcos",1,"SOLO SIGLA","pcos",12
"cgroup_L5_3d8c29f4","HGNC:6001","Interleukin-2",6,"IL2",4,"SOLO SIGLA","il-2/IL2",12
"cgroup_L5_9bdf0dcb","STR:ifna","palmitate",6,"ifna",1,"SOLO SIGLA","ifna",12
"cgroup_L5_2d53def6","HGNC:6005","IL5",5,"IL21",4,"SOLO SIGLA","il-21/IL21",36
"cgroup_L5_9bb4734d","STR:ifnb","Interferon-beta",5,"ifnb",1,"SOLO SIGLA","ifnb",16
"cgroup_L5_522fa0c2","STR:sals","sals",5,"sals",1,"SOLO SIGLA","sals",17
"cgroup_L5_344e058f","HGNC:1071","Bone Morphogenetic Protein 4",5,"BMP4",3,"SOLO SIGLA","BMP4",12
"cgroup_L5_356eedd3","CHEBI:46024","trichostatin A",5,"trichostatin A",6,"SOLO SIGLA","tsa",7
"cgroup_L5_e294a3bc","CHEBI:49852","DRB",5,"5,6-dichloro-1-β-D-ribofuranosyl-1H-benzimidazole",12,"SOLO SIGLA","drb",7
"cgroup_L5_37ecd157","STR:vegf","but-1-ene-1,2,4-tricarboxylic acid",4,"vegf",1,"SOLO SIGLA","vegf",5
"cgroup_L5_d631ee89","HGNC:6011","IL3",4,"IL3",7,"SOLO SIGLA","il-3/IL3",5
"cgroup_L5_74daf1c9","STR:oscc","oral squamous cell carcinoma",4,"oscc",1,"SOLO SIGLA","oscc",6
"cgroup_L5_17b55386","STR:fshd","Facioscapulohumeral muscular dystrophy",4,"fshd",1,"SOLO SIGLA","fshd",19
"cgroup_L5_3de56a79","STR:pdac","pdac",4,"pdac",1,"SOLO SIGLA","pdac",4
"cgroup_L5_988d478d","STR:copd","ionizing radiation",4,"copd",1,"SOLO SIGLA","copd",5
"cgroup_L5_840b7e36","HGNC:1653","Corynebacterium acnes",4,"CD28",2,"SOLO SIGLA","CD28",6
"cgroup_L5_64fbeb97","CHEBI:102218","dimethyloxalylglycine",4,"dimethyloxalylglycine",7,"SOLO SIGLA","dmog",5
"cgroup_L5_3a58e5f5","CHEBI:15551","prostaglandin E<small><sub>2</sub></small>",4,"prostaglandin E2",33,"SOLO SIGLA","pge2",6
"cgroup_L5_5d1a5c5f","CHEBI:173109","RSL3",4,"RSL3",6,"SOLO SIGLA","rsl3/RSL3",6
"cgroup_L5_9f0ea111","CHEBI:230484","StemRegenin 1",4,"StemRegenin 1",4,"SOLO SIGLA","sr1",8
"cgroup_L5_8b65b3ff","CHEBI:233363","A-485",4,"A-485",5,"SOLO SIGLA","a-485/A-485",8
"cgroup_L5_a48d6990","CHEBI:25255","xylobiose",4,"methyl methanesulfonate",7,"SOLO SIGLA","mms",7
"cgroup_L5_4be9e90d","CHEBI:39421","perfluorooctane-1-sulfonic acid",4,"perfluorooctane-1-sulfonic acid",8,"SOLO SIGLA","pfos",37
"cgroup_L5_60d9a5bf","CHEBI:32588","Harringtonine",4,"potassium chloride",11,"SOLO SIGLA","[kcl]/kcl",6
"cgroup_L5_455fe91d","CHEBI:86193","DAPT",4,"DAPT",7,"SOLO SIGLA","dapt/DAPT",7
"cgroup_L5_64d858b5","STR:tgf_b","Met-tRNA<small><sup>Met</small></sup>",3,"tgf_b",1,"SOLO SIGLA","tgf_b",5
"cgroup_L5_d693cf88","HGNC:30743","IL25",3,"TSLP",2,"SOLO SIGLA","TSLP",7
"cgroup_L5_f25af0a2","HGNC:3676","ELAVL4",3,"FGF2",3,"SOLO SIGLA","FGF2",6
"cgroup_L5_76a64c08","STR:il17","IL17A",3,"il17",1,"SOLO SIGLA","il17",5
"cgroup_L5_79981eb2","COMBO:il-13+il-4","Interleukin-4",3,"il-13 + il-4",2,"SOLO SIGLA","il-13/il-4",4
"cgroup_L5_36b956de","STR:ptsd","acute myeloid leukemia",3,"ptsd",1,"SOLO SIGLA","ptsd",4
"cgroup_L5_aad8ed47","COMBO:taz+yap","YAP1",3,"taz + yap",2,"SOLO SIGLA","taz/yap",11
"cgroup_L5_1c583f9b","HGNC:11998","TP53",3,"TP53",4,"SOLO SIGLA","p53/TP53",4
"cgroup_L5_b9921e6e","HGNC:3430","HERC2P7",3,"ERBB2",11,"SOLO SIGLA","her-2/her2",3
"cgroup_L5_59d2b212","HGNC:6407","KRAS",3,"KRAS",5,"SOLO SIGLA","KRAS",3
"cgroup_L5_4290da61","CHEBI:73572","lipoteichoic acid",3,"Leu-Thr-Ala",7,"SOLO SIGLA","l-t-a/lta",12
"cgroup_L5_469db990","STR:nahs","hydrogen sulfide",3,"nahs",1,"SOLO SIGLA","nahs",5
"cgroup_L5_63180d66","CHEBI:138438",NA,3,"3-chloro-N-[trans-4-(methylamino)cyclohexyl]-N-[3-(pyridin-4-yl)benzyl]-1-benzothiophene-2-carboxamide",7,"SOLO SIGLA","sag",5
"cgroup_L5_2e16719f","HGNC:11766","TGFB1",65,"TGFB1",6,"nome per esteso","tgfbeta",149
"cgroup_L5_d9e23e09","HGNC:11892","Recombinant Tumor Necrosis Factor-alpha (human)",41,"TNF",6,"nome per esteso","tnf-alpha",88
"cgroup_L5_b71a25a2","CHEBI:137113","<small>D</small>-cycloserine(1+)",41,"JQ1",9,"nome per esteso","jq1 compound",88
"cgroup_L5_871ae09e","NCBITaxon:2697049","sars-cov2",38,"severeacuterespiratorysyndromecoronavirus2",7,"nome per esteso","sarscov2",103
"cgroup_L5_83f57274","STR:hypoxia","hypoxia",37,"hypoxia",1,"nome per esteso","hypoxia",79
"cgroup_L5_87c40ebb","HGNC:5438","IFNG",35,"IFNG",2,"nome per esteso","interferon gamma",79
"cgroup_L5_a32e5eaa","CHEBI:50131","2,3,4,5-Tetrachloro-4'-biphenylol",31,"5-aza-2'-deoxycytidine",6,"nome per esteso","decitabine",99
"cgroup_L5_021e875e","CHEBI:27899","2,2',3,4',5,5'-Hexachloro-4-biphenylol",30,"cisplatin",28,"nome per esteso","cisplatin",83
"cgroup_L5_c0d1d837","CHEBI:68534","enzalutamide",29,"enzalutamide",7,"nome per esteso","enzalutamide",63
"cgroup_L5_8a54ddd6","CHEBI:28748","doxorubicin",27,"doxorubicin",10,"nome per esteso","doxorubicin",54
"cgroup_L5_905be893","HGNC:5992","Interleukin-1beta",26,"IL1B",5,"nome per esteso","il1-beta",50
"cgroup_L5_f94b6180","CHEBI:379896","dihydrotestosterone",26,"17β-hydroxy-17-methylestra-4,9,11-trien-3-one",11,"nome per esteso","r1881",100
"cgroup_L5_b6b8bc00","CHEBI:85993","PI(18:0/18:3(6Z,9Z,12Z))",26,"palbociclib",10,"nome per esteso","palbociclib",67
"cgroup_L5_eb5e1e65","CHEBI:41879","2<em>H</em>-azirine",20,"dexamethasone",35,"nome per esteso","dexamethasone",46
"cgroup_L5_03b38818","CHEBI:63637","sodium aurothiomalate",20,"vemurafenib",17,"nome per esteso","vemurafenib",64
"cgroup_L5_6df6a50e","CHEBI:50924","<small>D</small>-homomethionine",17,"sorafenib",7,"nome per esteso","sorafenib",46
"cgroup_L5_c3ae78cd","MeSH:D003424","Crohn's Disease",16,"Crohn Disease",17,"nome per esteso","crohn's disease",98
"cgroup_L5_1d96b9da","CHEBI:84491","poly(I:C)",16,"poly(I:C)",23,"nome per esteso","poly ic",33
"cgroup_L5_a12414d4","CHEBI:16469","6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol",16,"17β-estradiol",11,"nome per esteso","beta-estradiol",44
"cgroup_L5_aecd610f","STR:schizophrenia","schizophrenia",15,"schizophrenia",1,"nome per esteso","schizophrenia",37
"cgroup_L5_0e66597e","CHEBI:31638","fulvestrant",15,"fulvestrant",8,"nome per esteso","fulvestrant",40
"cgroup_L5_c5e86fe9","CHEBI:83766","1-myristoyl-2-oleoylglycerol",15,"olaparib",7,"nome per esteso","olaparib",33
"cgroup_L5_702a5dea","CHEBI:75998","3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime",15,"trametinib",7,"nome per esteso","trametinibum",55
"cgroup_L5_601ede7b","CHEBI:90943","osimertinib",14,"osimertinib",9,"nome per esteso","osimertinib",48
"cgroup_L5_889ec305","MeSH:D015179","colorectal cancer",13,"Colorectal Neoplasms",16,"nome per esteso","colorectal carcinoma",33
"cgroup_L5_7934174c","CHEBI:231598","EPZ6438",13,"tazemetostat",6,"nome per esteso","tazemetostat",28
"cgroup_L5_535d97f6","CHEBI:45783","imatinib",13,"imatinib",6,"nome per esteso","imatinib",33
"cgroup_L5_f34ff8df","CHEBI:4911","etoposide",13,"etoposide",16,"nome per esteso","etoposide",34
"cgroup_L5_7805eee6","STR:covid_19","Mycobacterium tuberculosis",12,"covid_19",1,"nome per esteso","covid_19",31
"cgroup_L5_81b706c4","CHEBI:45863","thiirane",12,"paclitaxel",7,"nome per esteso","paclitaxel",31
"cgroup_L5_2ec87595","CHEBI:6801","metformin",12,"metformin",16,"nome per esteso","metformina",23
"cgroup_L5_bd19fe42","MeSH:D006528","Carcinoma, Hepatocellular",11,"Carcinoma, Hepatocellular",19,"nome per esteso","hepatocellular carcinoma",21
"cgroup_L5_85083e38","MeSH:D010300","Parkinson Disease",11,"Parkinson Disease",12,"nome per esteso","parkinson's disease",35
"cgroup_L5_29cb04f8","CHEBI:46345","5-fluorouracil",11,"5-fluorouracil",9,"nome per esteso","5-fluorouracil",22
"cgroup_L5_efced505","CHEBI:38940","3-(ethoxycarbonyl)psoralen",11,"sunitinib",6,"nome per esteso","sunitinib",39
"cgroup_L5_41f7b088","CHEBI:49668","acridone",11,"gefitinib",12,"nome per esteso","gefitinib",35
"cgroup_L5_3a0a595f","CHEBI:49375","dihexadecanoyl phosphatidic acid",11,"dasatinib (anhydrous)",11,"nome per esteso","dasatinib",35
"cgroup_L5_2987cdb6","CHEBI:114785","erlotinib",10,"erlotinib",6,"nome per esteso","erlotinib",40
"cgroup_L5_3f0cc1fe","MeSH:D003093","ulcerative colitis",10,"Colitis, Ulcerative",5,"nome per esteso","ulcerative colitis",46
"cgroup_L5_b0066299","STR:keloid","Friedreich's ataxia",10,"keloid",1,"nome per esteso","keloid",30
"cgroup_L5_4b901bf1","STR:psoriasis","psoriasis",10,"psoriasis",1,"nome per esteso","psoriasis",16
"cgroup_L5_79ce3bd1","CHEBI:3139","bleomycin A<small><sub>2</sub></small>",10,"bleomycin A2",7,"nome per esteso","bleomycin",19
"cgroup_L5_35d1be10","STR:nutlin_3a","anabolic androgenic steroid",10,"nutlin_3a",1,"nome per esteso","nutlin_3a",31
"cgroup_L5_b2affd22","MeSH:D011225","preeclampsia",9,"Pre-Eclampsia",35,"nome per esteso","preeclampsia",24
"cgroup_L5_12212e41","STR:multiple_sclerosis","multiple sclerosis",9,"multiple_sclerosis",1,"nome per esteso","multiple_sclerosis",23
"cgroup_L5_bb8cb388","STR:endometriosis",NA,9,"endometriosis",1,"nome per esteso","endometriosis",20
"cgroup_L5_46a3a103","STR:radiation","Radiation",9,"radiation",1,"nome per esteso","radiation",23
"cgroup_L5_479c6221","CHEBI:124921","GSK126",9,"GSK126",13,"nome per esteso","gsk 126",18
"cgroup_L5_004d293d","CHEBI:49603","erythritol",9,"lapatinib",7,"nome per esteso","lapatinib",31
"cgroup_L5_aa8c1d6d","CHEBI:230508","birabresib",9,"birabresib",5,"nome per esteso","birabresib",20
"cgroup_L5_a6fd82fa","CHEBI:44616","afimoxifene",9,"afimoxifene",5,"nome per esteso","4-hydroxytamoxifen",11
"cgroup_L5_b32ab7f6","HGNC:5981","SNORD13P3",8,"IL17A",6,"nome per esteso","il-17a",14
"cgroup_L5_1bbf4b9b","MeSH:D013274","gastric cancer",8,"Stomach Neoplasms",19,"nome per esteso","gastric cancers",16
"cgroup_L5_dc7451b1","CHEBI:230493","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA",8,"pinometostat",9,"nome per esteso","pinometostat",27
"cgroup_L5_089ccae5","CHEBI:52717","flavonol 3-<em>O</em>-[α-<small>L</small>-rhamnosyl-(1→6)-β-<small>D</small>-glucoside]s",8,"bortezomib",8,"nome per esteso","bortezomib",17
"cgroup_L5_c054e202","CHEBI:9168","benzbromarone",8,"sirolimus",10,"nome per esteso","(-)-rapamycin",17
"cgroup_L5_d7ad915e","CHEBI:39867","valproic acid",8,"valproic acid",18,"nome per esteso","valproic acid",15
"cgroup_L5_4753688f","STR:r5020","estrogen",8,"r5020",1,"nome per esteso","r5020",17
"cgroup_L5_8ac307e0","CHEBI:72317","2-decenal",8,"cabozantinib",8,"nome per esteso","cabozantinib",34
"cgroup_L5_17b35bdc","CHEBI:4672","EIF5A2",8,"docetaxel anhydrous",7,"nome per esteso","docetaxel",21
"cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","Tumor Necrosis Factor-alpha",7,"TNF-ALPHA",2,"nome per esteso","tnf-alpha",12
"cgroup_L5_63e69fdc","MeSH:D000544","Alzheimer Disease",7,"Alzheimer Disease",36,"nome per esteso","alzheimer's disease",20
"cgroup_L5_f29dd3b3","MeSH:D001172","Arthritis, Rheumatoid",7,"Arthritis, Rheumatoid",2,"nome per esteso","rheumatoid arthritis",8
"cgroup_L5_dd2a13de","STR:idiopathic_pulmonary_fibrosis","idiopathic pulmonary fibrosis",7,"idiopathic_pulmonary_fibrosis",1,"nome per esteso","idiopathic_pulmonary_fibrosis",16
"cgroup_L5_3ec58cd6","STR:obese","obese",7,"obese",1,"nome per esteso","obese",8
"cgroup_L5_df599af1","STR:sepsis","Sepsis",7,"sepsis",1,"nome per esteso","sepsis",18
"cgroup_L5_0dd60753","CHEBI:233362","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide",7,"Abemaciclib",6,"nome per esteso","abemaciclib",11
"cgroup_L5_b9e7806c","CHEBI:143122","THZ531",7,"THZ531",7,"nome per esteso","thz-531",18
"cgroup_L5_d800c4f2","CHEBI:45716","coformycin",7,"vorinostat",10,"nome per esteso","vorinostat",28
"cgroup_L5_37942548","CHEBI:15367","ethyl (<i>R</i>)-3-hydroxyhexanoate",7,"all-trans-retinoic acid",42,"nome per esteso","retinoic acid",28
"cgroup_L5_a8015c98","CHEBI:175901","gemcitabine",7,"gemcitabine",7,"nome per esteso","gemcitabine",12
"cgroup_L5_8958b27a","CHEBI:46741","Nutlin",7,"Nutlin",4,"nome per esteso","nutlin",14
"cgroup_L5_3be7454c","HGNC:5417","Interferon-alpha",6,"IFNA1",8,"nome per esteso","ifn-alpha",22
"cgroup_L5_3973fe03","HGNC:5991","Interleukin-1alpha",6,"IL1A",6,"nome per esteso","il1-alpha",9
"cgroup_L5_f832048f","MeSH:D001943","Breast Neoplasms",6,"Breast Neoplasms",38,"nome per esteso","breast cancer",16
"cgroup_L5_a69fcae5","MeSH:D008180","cancer",6,"Lupus Erythematosus, Systemic",6,"nome per esteso","systemic lupus erythematosus",14
"cgroup_L5_c4640631","MeSH:D011471","prostate cancer",6,"Prostatic Neoplasms",18,"nome per esteso","prostate cancer",34
"cgroup_L5_82f82010","STR:diabetic","diabetic",6,"diabetic",1,"nome per esteso","diabetic",6
"cgroup_L5_fa0ee5b4","STR:glioblastoma","glioblastoma",6,"glioblastoma",1,"nome per esteso","glioblastoma",36
"cgroup_L5_844de383","STR:sjogren_s_syndrome","sjogren's syndrome",6,"sjogren_s_syndrome",1,"nome per esteso","sjogren_s_syndrome",6
"cgroup_L5_dd2a1a58","STR:heart_failure","glucose",6,"heart_failure",1,"nome per esteso","heart_failure",11
"cgroup_L5_ee94648c","NCBITaxon:562","Escherichia coli",6,"escherichiacoli",7,"nome per esteso","escherichiacoli",7
"cgroup_L5_8c9339f5","NCBITaxon:64320","Zika virus",6,"zikavirus",1,"nome per esteso","zikavirus",17
"cgroup_L5_93068469","CHEBI:2038","5-azacytidine",6,"5-azacytidine",7,"nome per esteso","5-azacytidine",22
"cgroup_L5_d411c435","CHEBI:29699","tunicamycin",6,"tunicamycin",2,"nome per esteso","tunicamycin",12
"cgroup_L5_7b545f77","CHEBI:80630","calcium carbonate",6,"irinotecan",9,"nome per esteso","(+)-irinotecan",9
"cgroup_L5_d2c64672","CHEBI:61080","topiramate",6,"romidepsin",12,"nome per esteso","romidepsin",21
"cgroup_L5_548236b5","CHEBI:90227","(<i>S</i>)-2-hydroxyhexadecanoate",6,"selumetinib",11,"nome per esteso","selumetinib",7
"cgroup_L5_f97e665a","CHEBI:39112","Rhein",6,"bosutinib",6,"nome per esteso","bosutinib",32
"cgroup_L5_1e8a735e","CHEBI:9516","thapsigargin",6,"thapsigargin",6,"nome per esteso","thapsigargin",10
"cgroup_L5_828ae0cb","HGNC:11927","epoxyoctadecenoate",5,"TNFSF12",6,"nome per esteso","tweak",12
"cgroup_L5_2a225fda","STR:asthma",NA,5,"asthma",1,"nome per esteso","asthma",6
"cgroup_L5_a3c3e08c","MeSH:D008175","non-small cell lung carcinoma",5,"Lung Neoplasms",18,"nome per esteso","lung cancers",60
"cgroup_L5_c99ed4ee","MeSH:D010051","Ovarian Neoplasms",5,"Ovarian Neoplasms",18,"nome per esteso","ovarian cancers",10
"cgroup_L5_c040a36d","MeSH:D002292","Residual Volume",5,"Carcinoma, Renal Cell",47,"nome per esteso","clear cell renal cell carcinoma",17
"cgroup_L5_3fa847fe","STR:osteoarthritis","osteoarthritis",5,"osteoarthritis",1,"nome per esteso","osteoarthritis",5
"cgroup_L5_eba39954","MeSH:D000074285","(<i>S</i>)-nicotine",5,"Smokers",13,"nome per esteso","Smokers",14
"cgroup_L5_10344dfd","CHEBI:4167",NA,5,"D-glucopyranose",11,"nome per esteso","glucose",9
"cgroup_L5_a90d3d64","STR:sikras","KRAS",5,"sikras",1,"nome per esteso","sikras",14
"cgroup_L5_ff78d2a8","CHEBI:15365","acetylsalicylic acid",5,"acetylsalicylic acid",19,"nome per esteso","aspirin",8
"cgroup_L5_ef9b09df","CHEBI:167693","GSK343",5,"GSK343",6,"nome per esteso","gsk-343",8
"cgroup_L5_49e290ae","CHEBI:4031","glycine betaine",5,"cyclosporin A",17,"nome per esteso","cyclosporine",14
"cgroup_L5_b5db4aff","CHEBI:229764","selinexor",5,"selinexor",9,"nome per esteso","selinexor",18
"cgroup_L5_3a625868","CHEBI:231601","trastuzumab",5,"trastuzumab",5,"nome per esteso","trastuzumab",10
"cgroup_L5_2248a891","CHEBI:42471","glutamine",5,"forskolin",10,"nome per esteso","forskolin",20
"cgroup_L5_99d7941a","CHEBI:72564","morpholine",5,"temozolomide",23,"nome per esteso","temozolomide",9
"cgroup_L5_dcce160a","CHEBI:41977","daunorubicin",5,"daunorubicin",9,"nome per esteso","daunorubicin",5
"cgroup_L5_03d0ca7b","CHEBI:4551","digoxin",5,"digoxin",4,"nome per esteso","digoxin",15
"cgroup_L5_cf34c533","CHEBI:46742","Nutlin-3",5,"Nutlin-3",6,"nome per esteso","nutlin 3",8
"cgroup_L5_3eaa92c9","CHEBI:50122","rosiglitazone",5,"rosiglitazone",7,"nome per esteso","rosiglitazone",12
"cgroup_L5_3b461817","CHEBI:52172","flavanone",5,"nilotinib",6,"nome per esteso","nilotinib",20
"cgroup_L5_cbc935db","CHEBI:61076","belinostat",5,"belinostat",6,"nome per esteso","belinostat",14
"cgroup_L5_3439da02","CHEBI:68478","tolcapone",5,"everolimus",18,"nome per esteso","everolimus",11
"cgroup_L5_ae11259e","CHEBI:71200","tofacitinib",5,"tofacitinib",7,"nome per esteso","tofacitinib",6
"cgroup_L5_fd0c6a79","CHEBI:68647","6,7,4'-trihydroxyflavanone",5,"regorafenib",6,"nome per esteso","regorafenib",25
"cgroup_L5_a8d88150","CHEBI:85994","<em>N</em>-[(<i>Z</i>)-dodec-2-enoyl]morpholine",5,"lenvatinib",7,"nome per esteso","lenvatinib",8
"cgroup_L5_4041e3af","CHEBI:95077","GSK-J4",5,"GSK-J4",8,"nome per esteso","gskj4",13
"cgroup_L5_aa505132","CHEBI:85164","nintedanib",4,"nintedanib",6,"nome per esteso","nintedanib",6
"cgroup_L5_b0e8388e","HGNC:11768","TGFB2",4,"TGFB2",2,"nome per esteso","TGFB2",14
"cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","2-hydroxy-6-oxohexa-2,4-dienoic acid",4,"REGRAMOSTIM",9,"nome per esteso","gm-csf",8
"cgroup_L5_96c9f7bf","STR:bipolar_disorder",NA,4,"bipolar_disorder",1,"nome per esteso","bipolar_disorder",16
"cgroup_L5_6b7b8076","MeSH:D000077273","papillary thyroid carcinoma",4,"Thyroid Cancer, Papillary",20,"nome per esteso","papillary thyroid carcinomas",11
"cgroup_L5_387b0d1a","MeSH:D003922","type 1 diabetes",4,"Diabetes Mellitus, Type 1",28,"nome per esteso","type 1 diabetes mellitus",4
"cgroup_L5_a739837c","STR:adenoma","pituitary adenoma",4,"adenoma",1,"nome per esteso","adenoma",15
"cgroup_L5_964c6389","MeSH:D006816","neurodevelopmental disorder",4,"Huntington Disease",25,"nome per esteso","huntington's disease",39
"cgroup_L5_37b0b276","STR:osteosarcoma","osteosarcoma",4,"osteosarcoma",1,"nome per esteso","osteosarcoma",6
"cgroup_L5_81c08752","MeSH:D012008","pediatric b-cell acute lymphoblastic leukemias",4,"Recurrence",6,"nome per esteso","relapses",11
"cgroup_L5_5801e974","STR:psoriasis_vulgaris","psoriasis vulgaris",4,"psoriasis_vulgaris",1,"nome per esteso","psoriasis_vulgaris",6
"cgroup_L5_ff04c7c1","CHEBI:4167","colon cancer",4,"D-glucopyranose",11,"nome per esteso","glucose",6
"cgroup_L5_eedd08cb","STR:sirna_pool_against_igf2bp1","IGF2BP1",4,"sirna_pool_against_igf2bp1",1,"nome per esteso","sirna_pool_against_igf2bp1",5
