"cluster_id","contrast_entity","canonical_name","k_censito","k_eff","superato"
"cgroup_L5_2e16719f","HGNC:11766","TGFB1",65,49,TRUE
"cgroup_L5_c548d053","CHEBI:16412","lipopolysaccharide",50,35,TRUE
"cgroup_L5_d9e23e09","HGNC:11892","Recombinant Tumor Necrosis Factor-alpha (human)",41,32,TRUE
"cgroup_L5_b71a25a2","CHEBI:137113","<small>D</small>-cycloserine(1+)",41,24,TRUE
"cgroup_L5_871ae09e","NCBITaxon:2697049","sars-cov2",38,33,TRUE
"cgroup_L5_83f57274","STR:hypoxia","hypoxia",37,25,TRUE
"cgroup_L5_87c40ebb","HGNC:5438","IFNG",35,19,TRUE
"cgroup_L5_930c8dcf","CHEBI:16330","4-maleylacetoacetate",34,23,TRUE
"cgroup_L5_a32e5eaa","CHEBI:50131","2,3,4,5-Tetrachloro-4'-biphenylol",31,14,TRUE
"cgroup_L5_021e875e","CHEBI:27899","2,2',3,4',5,5'-Hexachloro-4-biphenylol",30,17,TRUE
"cgroup_L5_c0d1d837","CHEBI:68534","enzalutamide",29,19,TRUE
"cgroup_L5_8a54ddd6","CHEBI:28748","doxorubicin",27,14,TRUE
"cgroup_L5_905be893","HGNC:5992","Interleukin-1beta",26,17,TRUE
"cgroup_L5_f94b6180","CHEBI:379896","dihydrotestosterone",26,22,TRUE
"cgroup_L5_b6b8bc00","CHEBI:85993","PI(18:0/18:3(6Z,9Z,12Z))",26,15,TRUE
"cgroup_L5_dde29fb4","CHEBI:16240","hydrogen peroxide",20,8,TRUE
"cgroup_L5_eb5e1e65","CHEBI:41879","2<em>H</em>-azirine",20,13,TRUE
"cgroup_L5_03b38818","CHEBI:63637","sodium aurothiomalate",20,8,TRUE
"cgroup_L5_721184e6","CHEBI:230500","THZ1",18,11,TRUE
"cgroup_L5_6df6a50e","CHEBI:50924","<small>D</small>-homomethionine",17,13,TRUE
"cgroup_L5_c3ae78cd","MeSH:D003424","Crohn's Disease",16,10,TRUE
"cgroup_L5_1d96b9da","CHEBI:84491","poly(I:C)",16,10,TRUE
"cgroup_L5_a12414d4","CHEBI:16469","6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol",16,10,TRUE
"cgroup_L5_be15b706","HGNC:5973","IL5RA",15,12,TRUE
"cgroup_L5_aecd610f","STR:schizophrenia","schizophrenia",15,14,TRUE
"cgroup_L5_0e66597e","CHEBI:31638","fulvestrant",15,12,TRUE
"cgroup_L5_c5e86fe9","CHEBI:83766","1-myristoyl-2-oleoylglycerol",15,7,TRUE
