"cluster_id","record_id","entita_gruppo","entita_nominate","nomina_la_propria","etichette"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_3f0cc1fe","GSE102746__GSE102746__ulcerative_colitis_vs_normal","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis CTd-155 Normal NL-156"
"cgroup_L5_387b0d1a","GSE106148__GSE106148__Type_I_diabetes_vs_non-diabetic_control","MeSH:D003922","STR:diabetic",FALSE,"Type I diabetes Non-diabetic control"
"cgroup_L5_1d96b9da","GSE106885__GSE106885__grp_asthma_polyic_vs_grp_asthma_sham","CHEBI:84491","STR:asthma",TRUE,"Asthma human bronchial epithelium Poly I:C Asthma human bronchial epithelium Sham (culture media)"
"cgroup_L5_cf34c533","GSE108406__GSE108406__grp_0005_vs_grp_0007","CHEBI:46742","CHEBI:46741",TRUE,"Nutlin-3 Control"
"cgroup_L5_35d1be10","GSE111009__GSE111009__grp_0002_vs_grp_0001","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"MCF10A_Nutlin3A_5uM MCF10A_DMSO"
"cgroup_L5_35d1be10","GSE111009__GSE111009__grp_0003_vs_grp_0001","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"MCF10A_Nutlin3A_5uM_rep MCF10A_DMSO"
"cgroup_L5_35d1be10","GSE111009__GSE111009__grp_0005_vs_grp_0004","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"MCF10A_p53shRNA_Nutlin3A_5uM MCF10A_p53shRNA_DMSO"
"cgroup_L5_35d1be10","GSE111009__GSE111009__grp_0006_vs_grp_0001","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"MCF10A_p63shRNA_Nutlin3A_5uM MCF10A_DMSO"
"cgroup_L5_35d1be10","GSE111009__GSE111009__grp_0007_vs_grp_0001","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"MCF10A_p63shRNA_Nutlin3A_5uM_rep MCF10A_DMSO"
"cgroup_L5_35d1be10","GSE111009__GSE111009__grp_0009_vs_grp_0008","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"Skin_Fibroblast_Nutlin3A_5uM_1h Skin_Fibroblast_DMSO"
"cgroup_L5_35d1be10","GSE111009__GSE111009__grp_0010_vs_grp_0008","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"Skin_Fibroblast_Nutlin3A_5uM_3h Skin_Fibroblast_DMSO"
"cgroup_L5_35d1be10","GSE111009__GSE111009__grp_0011_vs_grp_0008","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"Skin_Fibroblast_Nutlin3A_5uM_2h Skin_Fibroblast_DMSO"
"cgroup_L5_3f0cc1fe","GSE112057__GSE112057__Ulcerative_Colitis_1_vs_Healthy_Control","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis (Female) Healthy Control"
"cgroup_L5_3f0cc1fe","GSE112057__GSE112057__Ulcerative_Colitis_2_vs_Healthy_Control","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis (Male) Healthy Control"
"cgroup_L5_03d0ca7b","GSE112202__GSE112202__grp_0005_vs_grp_0006","CHEBI:4551","MeSH:D000077273",TRUE,"Papillary thyroid cancer + Digoxin Papillary thyroid cancer + None"
"cgroup_L5_03d0ca7b","GSE112202__GSE112202__grp_0011_vs_grp_0012","CHEBI:4551","MeSH:D000077273",TRUE,"Follicular-variant papillary thyroid cancer + Digoxin Follicular-variant papillary thyroid cancer + None"
"cgroup_L5_03d0ca7b","GSE112202__GSE112202__grp_0014_vs_grp_0013","CHEBI:4551","MeSH:D000077273",TRUE,"Papillary thyroid cancer (TERT mutant) + Digoxin Papillary thyroid cancer (TERT mutant)"
"cgroup_L5_03d0ca7b","GSE112202__GSE112202__grp_0014_vs_grp_0015","CHEBI:4551","MeSH:D000077273",TRUE,"Papillary thyroid cancer (TERT mutant) + Digoxin Papillary thyroid cancer (TERT mutant) + None"
"cgroup_L5_3f0cc1fe","GSE123141__GSE123141__grp_0007_vs_grp_0012","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis, Never Smoked Normal Control, Never Smoked"
"cgroup_L5_3f0cc1fe","GSE123141__GSE123141__grp_0009_vs_grp_0012","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis, Systemic Immunosuppression, Never Smoked Normal Control, Never Smoked"
"cgroup_L5_9bb4734d","GSE126409__GSE126409__grp_0003_vs_grp_0007","STR:ifnb","HGNC:6018",FALSE,"Celiac IFNb 24h Celiac Control"
"cgroup_L5_9bb4734d","GSE126409__GSE126409__grp_0023_vs_grp_0026","STR:ifnb","HGNC:6018",FALSE,"Healthy IFNb 24h Healthy Vehicle Control"
"cgroup_L5_3be7454c","GSE126517__GSE126517__grp_0005_vs_grp_0001","HGNC:5417","MeSH:D001943 STR:r5020",TRUE,"T47D breast cancer cells treated with R5020 for 6 hours and IFN-alpha for 18 hours T47D breast cancer cells tr"
"cgroup_L5_4753688f","GSE126517__GSE126517__grp_0006_vs_grp_0001","STR:r5020","MeSH:D001943",TRUE,"T47D breast cancer cells treated with R5020 for 6 hours and water for 18 hours T47D breast cancer cells treate"
"cgroup_L5_4753688f","GSE126517__GSE126517__grp_0007_vs_grp_0001","STR:r5020","MeSH:D001943",TRUE,"T47D breast cancer cells treated with R5020 for 6 hours and water for 18 hours T47D breast cancer cells treate"
"cgroup_L5_3be7454c","GSE126517__GSE126517__grp_0008_vs_grp_0001","HGNC:5417","MeSH:D001943 STR:r5020",TRUE,"T47D breast cancer cells treated with R5020 for 6 hours and IFN-alpha for 18 hours T47D breast cancer cells tr"
"cgroup_L5_3be7454c","GSE126517__GSE126517__grp_0009_vs_grp_0001","HGNC:5417","MeSH:D001943 STR:r5020",TRUE,"T47D breast cancer cells treated with R5020 for 6 hours and IFN-alpha for 18 hours T47D breast cancer cells tr"
"cgroup_L5_35d1be10","GSE135870__GSE135870__grp_0005_vs_grp_0002","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"HCT116_Nutlin-3a HCT116_bivalent_peptide_DMSO"
"cgroup_L5_35d1be10","GSE137297__GSE137297__grp_0002_vs_grp_0001","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"HCT116 + Nutlin-3A HCT116 + DMSO"
"cgroup_L5_35d1be10","GSE137297__GSE137297__grp_0006_vs_grp_0005","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"HCT116 + Nutlin-3A HCT116 + DMSO"
"cgroup_L5_35d1be10","GSE137297__GSE137297__grp_0007_vs_grp_0003","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"HCT116 (disease model) + Nutlin-3A HCT116 (disease model) + DMSO"
"cgroup_L5_35d1be10","GSE137297__GSE137297__grp_0009_vs_grp_0008","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"HCT116 + Nutlin-3A HCT116 + DMSO"
"cgroup_L5_35d1be10","GSE137297__GSE137297__grp_0010_vs_grp_0004","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"HCT116 + Nutlin-3A HCT116 + DMSO"
"cgroup_L5_3f0cc1fe","GSE137344__GSE137344__grp_UlcerativeColitis_1_vs_grp_HealthyControl","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis (Case) Healthy Control"
"cgroup_L5_3f0cc1fe","GSE137344__GSE137344__grp_UlcerativeColitis_2_vs_grp_HealthyControl","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis (Case) Healthy Control"
"cgroup_L5_3f0cc1fe","GSE137344__GSE137344__grp_UlcerativeColitis_3_vs_grp_HealthyControl","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis (Case) Healthy Control"
"cgroup_L5_3f0cc1fe","GSE137344__GSE137344__grp_UlcerativeColitis_4_vs_grp_HealthyControl","MeSH:D003093","NCBITaxon:562",TRUE,"Ulcerative Colitis (Case) Healthy Control"
"cgroup_L5_702a5dea","GSE138780__GSE138780__grp_0030_vs_grp_0029","CHEBI:75998","MeSH:D001943",FALSE,"Triple-Negative Breast Cancer Cell Line, 30nM_Tram, 24h Triple-Negative Breast Cancer Cell Line, DMSO"
"cgroup_L5_35d1be10","GSE139003__GSE139003__Nutlin-3a_6h_vs_DMSO","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"Nutlin-3a 6h DMSO"
"cgroup_L5_35d1be10","GSE139003__GSE139003__Nutlin-3a_9h_vs_DMSO","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"Nutlin-3a 9h DMSO"
"cgroup_L5_35d1be10","GSE139003__GSE139003__Nutlin-3a_12h_vs_DMSO","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"Nutlin-3a 12h DMSO"
"cgroup_L5_cf34c533","GSE139862__GSE139862__Nutlin-3_10uM_24h_passage3_vs_DMSO","CHEBI:46742","CHEBI:46741",TRUE,"PAEC, passage 3, Nutlin-3 10 uM 24h PAEC, passage 3, DMSO"
"cgroup_L5_cf34c533","GSE139862__GSE139862__Nutlin-3_10uM_24h_passage5_vs_PBS","CHEBI:46742","CHEBI:46741",TRUE,"PAEC, passage 5, Nutlin-3 10 uM 24h PAEC, passage 3, PBS"
"cgroup_L5_2e16719f","GSE139963__GSE139963__grp_0002_vs_grp_0003","HGNC:11766","STR:hypoxia",TRUE,"Hypoxia + TGF-β1 PBS (Vehicle Control)"
"cgroup_L5_2e16719f","GSE145746__GSE145746__grp_0002_vs_grp_0004","HGNC:11766","STR:diabetic",TRUE,"Non-Diabetic Donors - TGF-β1 Non-Diabetic Donors - Untreated"
"cgroup_L5_2e16719f","GSE145746__GSE145746__grp_0005_vs_grp_0001","HGNC:11766","STR:diabetic",TRUE,"Diabetic Donors - TGF-β1 Diabetic Donors - No Treatment"
"cgroup_L5_eedd08cb","GSE146547__GSE146547__grp_0003_vs_grp_0002","STR:sirna_pool_against_igf2bp1","MeSH:D008175",TRUE,"A549 cells transfected with siRNA pool against IGF2BP1 (lung cancer) A549 cells transfected with Control siRNA"
"cgroup_L5_dde29fb4","GSE147012__GSE147012__grp_0001_vs_grp_0002","CHEBI:16240","CHEBI:15367",FALSE,"H2O2-treated Retinal Epithelium Cells (Replicate 1) Untreated Retinal Epithelium Cells (Replicates 1-2)"
"cgroup_L5_dde29fb4","GSE147012__GSE147012__grp_0003_vs_grp_0002","CHEBI:16240","CHEBI:15367",FALSE,"H2O2-treated Retinal Epithelium Cells (Replicate 2) Untreated Retinal Epithelium Cells (Replicates 1-2)"
"cgroup_L5_35d1be10","GSE147699__GSE147699__grp_0002_vs_grp_0001","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"MCF10A WTp53 cDNA insert Nutlin-3a MCF10A WTp53 cDNA insert DMSO"
"cgroup_L5_35d1be10","GSE147699__GSE147699__grp_0004_vs_grp_0003","STR:nutlin_3a","CHEBI:46741 CHEBI:46742",TRUE,"MCF10A full length p53 tethered to full length p53 cDNA followed IRES expressed mCherry followed by SV40 polyA"
