"ckey","stato","k_v13","k_v14"
"HGNC:11766||gain||vehicle_untreated","CAMBIATO",65,78
"STR:hypoxia||gain||normoxia","CAMBIATO",37,33
"MeSH:D015179||gain||vehicle_untreated","CAMBIATO",13,15
"MeSH:D010300||gain||vehicle_untreated","CAMBIATO",11,12
"HGNC:5981||gain||vehicle_untreated","CAMBIATO",8,12
"MeSH:D005909||gain||vehicle_untreated","CAMBIATO",3,7
"CHEBI:2038||gain||vehicle_untreated","CAMBIATO",6,7
"MeSH:D011471||gain||vehicle_untreated","CAMBIATO",6,7
"CHEBI:46024||gain||vehicle_untreated","CAMBIATO",5,6
"CHEBI:88249||gain||vehicle_untreated","CAMBIATO",4,6
"MeSH:D006816||gain||vehicle_untreated","CAMBIATO",4,6
"STR:endometriosis||gain||vehicle_untreated","CAMBIATO",9,6
"CHEBI:95083||gain||vehicle_untreated","CAMBIATO",3,6
"CHEBI:15551||gain||vehicle_untreated","CAMBIATO",4,5
"CHEBI:230484||gain||vehicle_untreated","CAMBIATO",4,5
"MeSH:D008175||gain||vehicle_untreated","CAMBIATO",5,5
"STR:schizophrenia||gain||vehicle_untreated","CAMBIATO",15,5
"CHEMBL:CHEMBL2177390||gain||vehicle_untreated","CAMBIATO",4,5
"STR:sepsis||gain||vehicle_untreated","CAMBIATO",7,3
"CHEBI:16412||gain||vehicle_untreated","IDENTICO",50,50
"CHEBI:137113||gain||vehicle_untreated","IDENTICO",41,41
"HGNC:11892||gain||vehicle_untreated","IDENTICO",41,41
"NCBITaxon:2697049||gain||vehicle_untreated","IDENTICO",38,38
"HGNC:5438||gain||vehicle_untreated","IDENTICO",35,35
"CHEBI:16330||gain||vehicle_untreated","IDENTICO",34,34
"CHEBI:50131||gain||vehicle_untreated","IDENTICO",31,31
"CHEBI:27899||gain||vehicle_untreated","IDENTICO",30,30
"CHEBI:68534||gain||vehicle_untreated","IDENTICO",29,29
"CHEBI:28748||gain||vehicle_untreated","IDENTICO",27,27
"HGNC:5992||gain||vehicle_untreated","IDENTICO",26,26
"CHEBI:85993||gain||vehicle_untreated","IDENTICO",26,26
"CHEBI:379896||gain||vehicle_untreated","IDENTICO",26,26
"CHEBI:63637||gain||vehicle_untreated","IDENTICO",20,20
"CHEBI:16240||gain||vehicle_untreated","IDENTICO",20,20
"CHEBI:41879||gain||vehicle_untreated","IDENTICO",20,20
"CHEBI:230500||gain||vehicle_untreated","IDENTICO",18,18
"CHEBI:50924||gain||vehicle_untreated","IDENTICO",17,17
"CHEBI:84491||gain||vehicle_untreated","IDENTICO",16,16
"CHEBI:16469||gain||vehicle_untreated","IDENTICO",16,16
"MeSH:D003424||gain||vehicle_untreated","IDENTICO",16,16
"CHEBI:31638||gain||vehicle_untreated","IDENTICO",15,15
"CHEBI:75998||gain||vehicle_untreated","IDENTICO",15,15
"HGNC:5973||gain||vehicle_untreated","IDENTICO",15,15
"CHEBI:83766||gain||vehicle_untreated","IDENTICO",15,15
"HGNC:6014||gain||vehicle_untreated","IDENTICO",14,14
"CHEBI:90943||gain||vehicle_untreated","IDENTICO",14,14
"CHEBI:45783||gain||vehicle_untreated","IDENTICO",13,13
"CHEBI:231598||gain||vehicle_untreated","IDENTICO",13,13
"CHEBI:4911||gain||vehicle_untreated","IDENTICO",13,13
"HGNC:3229||gain||vehicle_untreated","IDENTICO",12,12
"CHEBI:6801||gain||vehicle_untreated","IDENTICO",12,12
"NCBITaxon:10359||gain||vehicle_untreated","IDENTICO",12,12
"CHEBI:45863||gain||vehicle_untreated","IDENTICO",12,12
"CHEBI:46345||gain||vehicle_untreated","IDENTICO",11,11
"CHEBI:49375||gain||vehicle_untreated","IDENTICO",11,11
"CHEBI:49668||gain||vehicle_untreated","IDENTICO",11,11
"MeSH:D006528||gain||vehicle_untreated","IDENTICO",11,11
"CHEBI:38940||gain||vehicle_untreated","IDENTICO",11,11
"CHEBI:114785||gain||vehicle_untreated","IDENTICO",10,10
"STR:nutlin_3a||gain||vehicle_untreated","IDENTICO",10,10
"MeSH:D003093||gain||vehicle_untreated","IDENTICO",10,10
"CHEBI:3139||gain||vehicle_untreated","IDENTICO",10,10
"HGNC:6018||gain||vehicle_untreated","IDENTICO",10,10
"CHEBI:49603||gain||vehicle_untreated","IDENTICO",9,9
"STR:radiation||gain||vehicle_untreated","IDENTICO",9,9
"CHEBI:124921||gain||vehicle_untreated","IDENTICO",9,9
"NCBITaxon:11320||gain||vehicle_untreated","IDENTICO",9,9
"CHEBI:44616||gain||vehicle_untreated","IDENTICO",9,9
"STR:atra||gain||vehicle_untreated","IDENTICO",9,9
"CHEBI:230508||gain||vehicle_untreated","IDENTICO",9,9
"MeSH:D011225||gain||vehicle_untreated","IDENTICO",9,9
"CHEBI:52717||gain||vehicle_untreated","IDENTICO",8,8
"CHEBI:4672||gain||vehicle_untreated","IDENTICO",8,8
"MeSH:D013274||gain||vehicle_untreated","IDENTICO",8,8
"CHEBI:37537||gain||vehicle_untreated","IDENTICO",8,8
"CHEBI:72317||gain||vehicle_untreated","IDENTICO",8,8
"CHEBI:9168||gain||vehicle_untreated","IDENTICO",8,8
"CHEBI:39867||gain||vehicle_untreated","IDENTICO",8,8
"CHEBI:230493||gain||vehicle_untreated","IDENTICO",8,8
"CHEBI:233362||gain||vehicle_untreated","IDENTICO",7,7
"CHEBI:15367||gain||vehicle_untreated","IDENTICO",7,7
"STR:nash||gain||vehicle_untreated","IDENTICO",7,7
"STR:obese||gain||vehicle_untreated","IDENTICO",7,7
"CHEMBL:CHEMBL265582||gain||vehicle_untreated","IDENTICO",7,7
"MeSH:D000544||gain||vehicle_untreated","IDENTICO",7,7
"CHEBI:46741||gain||vehicle_untreated","IDENTICO",7,7
"CHEBI:175901||gain||vehicle_untreated","IDENTICO",7,7
"CHEBI:143122||gain||vehicle_untreated","IDENTICO",7,7
"CHEBI:45716||gain||vehicle_untreated","IDENTICO",7,7
"MeSH:D001172||gain||vehicle_untreated","IDENTICO",7,7
"CHEBI:28119||gain||vehicle_untreated","IDENTICO",7,7
"CHEBI:9516||gain||vehicle_untreated","IDENTICO",6,6
"HGNC:14900||gain||vehicle_untreated","IDENTICO",6,6
"HGNC:5991||gain||vehicle_untreated","IDENTICO",6,6
"HGNC:5417||gain||vehicle_untreated","IDENTICO",6,6
"HGNC:6001||gain||vehicle_untreated","IDENTICO",6,6
"CHEBI:90227||gain||vehicle_untreated","IDENTICO",6,6
"STR:pcos||gain||vehicle_untreated","IDENTICO",6,6
"CHEBI:80630||gain||vehicle_untreated","IDENTICO",6,6
"STR:diabetic||gain||vehicle_untreated","IDENTICO",6,6
"NCBITaxon:64320||gain||vehicle_untreated","IDENTICO",6,6
"STR:ifna||gain||vehicle_untreated","IDENTICO",6,6
"MeSH:D008180||gain||vehicle_untreated","IDENTICO",6,6
"NCBITaxon:11676||gain||vehicle_untreated","IDENTICO",6,6
"CHEBI:61080||gain||vehicle_untreated","IDENTICO",6,6
"CHEBI:29699||gain||vehicle_untreated","IDENTICO",6,6
"NCBITaxon:562||gain||vehicle_untreated","IDENTICO",6,6
"MeSH:D001943||gain||vehicle_untreated","IDENTICO",6,6
"CHEBI:39112||gain||vehicle_untreated","IDENTICO",6,6
"CHEBI:4551||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:42471||gain||vehicle_untreated","IDENTICO",5,5
"HGNC:6005||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:68478||gain||vehicle_untreated","IDENTICO",5,5
"HGNC:1071||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:231601||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:52172||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:50122||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:95077||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:4031||gain||vehicle_untreated","IDENTICO",5,5
"STR:sals||gain||vehicle_untreated","IDENTICO",5,5
"NCBITaxon:10298||gain||vehicle_untreated","IDENTICO",5,5
"HGNC:11927||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:72564||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:85994||gain||vehicle_untreated","IDENTICO",5,5
"STR:sikras||gain||sicontrol","IDENTICO",5,5
"CHEBI:71200||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:229764||gain||vehicle_untreated","IDENTICO",5,5
"MeSH:D002292||gain||vehicle_untreated","IDENTICO",5,5
"MeSH:D010051||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:61076||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:46742||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:41977||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:49852||gain||vehicle_untreated","IDENTICO",5,5
"MeSH:D000074285||gain||non smoker","IDENTICO",5,5
"CHEBI:167693||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:68647||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:15365||gain||vehicle_untreated","IDENTICO",5,5
"CHEBI:78543||gain||vehicle_untreated","IDENTICO",4,4
"STR:fshd||gain||vehicle_untreated","IDENTICO",4,4
"STR:rbm4_knockdown||block||vehicle_untreated","IDENTICO",4,4
"CHEBI:145372||gain||vehicle_untreated","IDENTICO",4,4
"MeSH:D003922||gain||vehicle_untreated","IDENTICO",4,4
"STR:pdac||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:231324||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:86193||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:39421||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:29073||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:67271||gain||vehicle_untreated","IDENTICO",4,4
"STR:psoriasis_vulgaris||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:65347||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:44185||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:173109||gain||vehicle_untreated","IDENTICO",4,4
"CHEMBL:CHEMBL1201576||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:32588||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:4026||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:102218||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:68747||gain||vehicle_untreated","IDENTICO",4,4
"MeSH:D000077273||gain||vehicle_untreated","IDENTICO",4,4
"STR:oscc||gain||vehicle_untreated","IDENTICO",4,4
"STR:jib_04||gain||vehicle_untreated","IDENTICO",4,4
"MeSH:D012008||gain||diagnosis","IDENTICO",4,4
"CHEBI:76612||gain||vehicle_untreated","IDENTICO",4,4
"HGNC:1653||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:233363||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:16796||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:145431||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:75045||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:232752||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:61390||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:25255||gain||vehicle_untreated","IDENTICO",4,4
"NCBITaxon:1280||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:85164||gain||vehicle_untreated","IDENTICO",4,4
"CHEBI:90693||gain||vehicle_untreated","IDENTICO",4,4
"HGNC:11768||gain||vehicle_untreated","IDENTICO",4,4
"CHEMBL:CHEMBL1201577||gain||vehicle_untreated","IDENTICO",4,4
