TOKEN                          ID                     membri  NOME CHE L'ID PROMETTE                      esempio di etichetta trattata
----------------------------------------------------------------------------------------------------------------------------------------------------------------
STR:hypoxia                    MeSH:D000860             182  Hypoxia                                     DIPG cells under hypoxia
STR:tgfb                       HGNC:11766                69  TGFB1                                       HIBEC P4-6 TGFb stimulated
STR:covid_19                   MeSH:D000086382           61  COVID-19                                    COVID-19 Lung
STR:schizophrenia              MeSH:D012559              57  Schizophrenia                               Cyto Schizophrenia
STR:glioblastoma               MeSH:D005909              40  Glioblastoma                                GBM SuR10
STR:ifnb                       HGNC:5434                 33  IFNB1                                       MDM IFNb 6h donor 3
STR:keloid                     MeSH:D007627              31  Keloid                                      Keloid fibroblast
STR:multiple_sclerosis         MeSH:D009103              31  Multiple Sclerosis                          Multiple Sclerosis Patient C1
STR:x_ray                      MeSH:D014965              29  X-Rays                                      Cervical carcinoma cells (X-ray irradiated)
STR:msa_p                      HGNC:7413                 27  MTAP                                        MSA_P
STR:vtp50469                   CHEBI:232861              26  VTP-50469                                   CD45+ VTP50469
STR:myotonic_dystrophy         MeSH:D009223              26  Myotonic Dystrophy                          Myotonic Dystrophy (DM1)
STR:heat_shock                 MeSH:D018869              26  Heat-Shock Response                         MCF7 cells treated with heat shock for 30 minutes
STR:biliary_atresia            MeSH:D001656              25  Biliary Atresia                             B168c_Biliary_Atresia
STR:radiation                  MeSH:D011827              25  Radiation                                   Mitotic post-PGCC (radiation)
STR:r5020                      CHEBI:73390               24  promegestone                                T47D breast cancer cells treated with R5020 for 6 hours and 
STR:dtag13                     CHEBI:234353              22  dTAG-13                                     dTAG13-treated colorectal adenocarcinoma cells for 12 hours
STR:psoriasis                  MeSH:D011565              20  Psoriasis                                   Psoriasis Skin-derived MSC Passage 5
STR:hepatoblastoma             MeSH:D018197              20  Hepatoblastoma                              Hepatoblastoma Tumor
STR:il_27                      MeSH:D064094              20  Interleukin-27                              Th-1 cells treated with IL-27 for 1 hour
STR:asthma                     MeSH:D001249              19  Asthma                                      Atopic, Asthma Perturbation
STR:cystic_fibrosis            MeSH:D003550              19  Cystic Fibrosis                             CFHBE Cystic Fibrosis
STR:1_25_oh_2d3                MeSH:D002117              18  Calcitriol                                  THP-1, 1,25(OH)2D3
STR:smoking                    MeSH:D012907              18  Smoking                                     COPD smoker, basal cells, smoking, BMP4 study, M0
STR:sepsis                     MeSH:D018805              18  Sepsis                                      Sepsis
STR:idiopathic_pulmonary_fibro MeSH:D054990              18  Idiopathic Pulmonary Fibrosis               DHLF-IPF(P2)
STR:4oht                       CHEBI:44616               17  afimoxifene                                 4OHT
STR:tgf_b                      HGNC:11766                17  TGFB1                                       TGF-B 24H
STR:bipolar_disorder           MeSH:D001714              17  Bipolar Disorder                            Bipolar Disorder - Differentiation
STR:prostate_cancer            MeSH:D011471              17  Prostatic Neoplasms                         P509T primary prostate cancer
STR:sp_2509                    CHEBI:176335              16  SP2509                                      A673 cells treated with SP-2509
STR:adenoma                    MeSH:D000236              16  Adenoma                                     Pituitary cells from Adenoma patients
STR:plx51107                   CHEMBL:CHEMBL4521078      15  PLX-51107                                   BETI-resistant 92.1 + PLX51107
STR:kw2449                     CHEMBL:CHEMBL1908397      14  KW-2449                                     KW2449-treated AsPC-1 cells
STR:vegf                       HGNC:12680                13  VEGFA                                       VEGF 1hr
STR:nfia                       HGNC:7784                 13  NFIA                                        hPSC-derived astrocytes + NFIA
STR:heart_failure              MeSH:D006333              12  Heart Failure                               Heart Failure Case
STR:pla_b                      HGNC:30142                11  GDF15                                       Pla-B 41°C
STR:copd                       HGNC:649                  11  ARCN1                                       COPD Bronchial Epithelium (Donor 1)
STR:alcoholusedisorder         MeSH:D000437              11  Alcoholism                                  AlcoholUseDisorder, 102 gram/day
STR:contact_inhibition         MeSH:D003260              11  Contact Inhibition                          Contact Inhibited Human Dermal Fibroblasts
STR:hypertension               MeSH:D006973              11  Hypertension                                Neutrophils from patient A5 with hypertension
STR:interferon_alpha           MeSH:D016898              11  Interferon-alpha                            Healthy B cells stimulated with interferon-alpha for 24 hour
STR:kshv                       MeSH:D019288              11  Herpesvirus 8, Human                        KSHV infected Human glioma stem like cells
STR:a485                       CHEBI:233363              10  A-485                                       iPSCs treated with A485
STR:exosc8                     HGNC:17035                10  EXOSC8                                      EXOSC8-/- Fibroblast derived iNPCs (Replicate 1)
STR:huntington_s_disease       MeSH:D006816              10  Huntington Disease                          Huntington's Disease - Prefrontal Cortex
STR:klinefelter_syndrome       MeSH:D007713              10  Klinefelter Syndrome                        Adult KS 1
