"da","a","nome","Freq"
"STR:msa_p","HGNC:7413","MTAP",27
"STR:r5020","CHEBI:73390","promegestone",24
"STR:il_27","MeSH:D064094","Interleukin-27",20
"STR:1_25_oh_2d3","MeSH:D002117","Calcitriol",18
"STR:4oht","CHEBI:44616","afimoxifene",17
"STR:prostate_cancer","MeSH:D011471","Prostatic Neoplasms",17
"STR:pla_b","HGNC:30142","GDF15",11
"STR:copd","HGNC:649","ARCN1",11
"STR:alcoholusedisorder","MeSH:D000437","Alcoholism",11
"STR:kshv","MeSH:D019288","Herpesvirus 8, Human",11
"STR:huntington_s_disease","MeSH:D006816","Huntington Disease",10
"STR:nets","HGNC:15464","SPINK5",9
"STR:fshd2","HGNC:29090","SMCHD1",9
"STR:colon_cancer","MeSH:D003110","Colonic Neoplasms",9
"STR:pneumococcus","MeSH:D013296","Streptococcus pneumoniae",9
"STR:cpd1","CHEMBL:CHEMBL4297626","NIDUFEXOR",8
"STR:hcov_oc43","MeSH:D028962","Coronavirus OC43, Human",8
"STR:arac","CHEBI:28680","cytarabine",7
"STR:pd325901","CHEBI:88249","PD 0325901",7
"STR:chmi","HGNC:17005","CNMD",7
"STR:mid_49","HGNC:17920","MIEF2",7
"STR:r837","CHEBI:36704","imiquimod",6
"STR:zikv","MeSH:D000071244","Zika Virus",6
"STR:extra_intestinal_pathogenic_e_coli","MeSH:D000072282","Extraintestinal Pathogenic Escherichia coli",6
"STR:kerosine","MeSH:D007648","Kerosene",6
"STR:tcells","MeSH:D013601","T-Lymphocytes",6
"STR:mibg","MeSH:D019797","3-Iodobenzylguanidine",6
"STR:hcov_229e","MeSH:D028941","Coronavirus 229E, Human",6
"STR:e_cig","MeSH:D066300","Electronic Nicotine Delivery Systems",6
"STR:ms275","CHEBI:132082","entinostat",5
"STR:ose127","CHEMBL:CHEMBL4650498","LUSVERTIKIMAB",5
"STR:mos2","HGNC:30677","GPKOW",5
"STR:trisomy_21","MeSH:D004314","Down Syndrome",5
"STR:parasitic_infection","MeSH:D010272","Parasitic Diseases",5
"STR:ionizing_radiation","MeSH:D011839","Radiation, Ionizing",5
"STR:ici_182_780","CHEBI:31638","fulvestrant",4
"STR:pcb52","CHEBI:34206","2,2',5,5'-tetrachlorobiphenyl",4
"STR:a771726","CHEBI:68540","teriflunomide",4
"STR:pdgfbb","CHEMBL:CHEMBL1201556","BECAPLERMIN",4
"STR:vitamin_d","CHEMBL:CHEMBL1536","ERGOCALCIFEROL",4
"STR:gdc0068","CHEMBL:CHEMBL2177390","IPATASERTIB",4
"STR:pd901","CHEMBL:CHEMBL507361","MIRDAMETINIB",4
"STR:boca","HGNC:13520","MESD",4
"STR:cadasil","HGNC:7883","NOTCH3",4
"STR:ctip","HGNC:9891","RBBP8",4
"STR:ctla_4ig","MeSH:D000069594","Abatacept",4
"STR:cervical_cancer","MeSH:D002583","Uterine Cervical Neoplasms",4
"STR:parkinson_s_disease","MeSH:D010300","Parkinson Disease",4
"STR:ptsd","MeSH:D013313","Stress Disorders, Post-Traumatic",4
"STR:microgravity","MeSH:D014893","Weightlessness",4
"STR:heat_stress","MeSH:D018869","Heat-Shock Response",4
"STR:senv","MeSH:D022783","Torque teno virus",4
"STR:walnut","MeSH:D031324","Juglans",4
"STR:cbp30","MeSH:D037502","Galectin 3",4
"STR:act_d","CHEBI:27666","actinomycin D",3
"STR:light","CHEBI:30212","photon",3
"STR:pcb126","CHEBI:34317","3,3',4,4',5-pentachlorobiphenyl",3
"STR:blast","CHEBI:81783","tricyclazole",3
"STR:bc2059","CHEMBL:CHEMBL3601411","TEGAVIVINT",3
"STR:pen221","CHEMBL:CHEMBL4650335","NENDRATAREOTIDE UZATANSINE",3
"STR:glp_17_36","CHEMBL:CHEMBL5095267","BEINAGLUTIDE",3
"STR:mir_1","HGNC:13745","FSD1",3
"STR:eto2","HGNC:1537","CBFA2T3",3
"STR:dia4","HGNC:2874","NQO1",3
"STR:dia2","HGNC:2877","DIAPH2",3
"STR:nrf3","HGNC:7783","NFE2L3",3
"STR:recoverin","HGNC:9937","RCVRN",3
"STR:interferon_alpha_a","MeSH:D000077190","Interferon alpha-2",3
"STR:5_aza_dc","MeSH:D000077209","Decitabine",3
"STR:5aza_dc","MeSH:D000077209","Decitabine",3
"STR:ifn_lambda","MeSH:D000095022","Interferon Lambda",3
"STR:azacytidine","MeSH:D001374","Azacitidine",3
"STR:replicative_senescence","MeSH:D016922","Cellular Senescence",3
"STR:conditioned_media","MeSH:D017077","Culture Media, Conditioned",3
"STR:tsp1","MeSH:D019700","Thrombospondin 1",3
"STR:haart","MeSH:D023241","Antiretroviral Therapy, Highly Active",3
"STR:radiochemotherapy","MeSH:D059248","Chemoradiotherapy",3
"STR:hbi8000","CHEBI:135918","chidamide",2
"STR:spms","CHEBI:140399","specialised pro-resolving mediator",2
"STR:clof","CHEBI:30127","fluorochlorane oxide",2
"STR:atri","CHEBI:35930","α-D-GalpNAc-(1→3)-[α-L-Fucp-(1→2)]-D-Galp",2
"STR:bde99","CHEBI:81582","2,4-dibromophenyl 2,4,5-tribromophenyl ether",2
"STR:bay_11_7082","CHEBI:85928","(E)-3-tosylacrylonitrile",2
"STR:betahydroxybutyrate","CHEMBL:CHEMBL1162496","3-HYDROXYBUTYRIC ACID, (+/-)-",2
"STR:anti_cd3","CHEMBL:CHEMBL1201608","MUROMONAB-CD3",2
"STR:cpd10","CHEMBL:CHEMBL203665","RELACATIB",2
"STR:mcsf","CHEMBL:CHEMBL2108239","CILMOSTIM",2
"STR:mk8931","CHEMBL:CHEMBL3301601","VERUBECESTAT",2
"STR:bvd523","CHEMBL:CHEMBL3590106","ULIXERTINIB",2
"STR:cpg1018","CHEMBL:CHEMBL4297680","1018 ISS",2
"STR:tak981","CHEMBL:CHEMBL5095044","SUBASUMSTAT",2
"STR:shot","HGNC:10854","SHOX2",2
"STR:spink3","HGNC:11244","SPINK1",2
"STR:mda5","HGNC:18873","IFIH1",2
"STR:damage","HGNC:24934","MAGEE1",2
"STR:jmjd3","HGNC:29012","KDM6B",2
"STR:dro1","HGNC:30649","CCDC80",2
"STR:microrna_489","HGNC:32074","MIR489",2
"STR:microrna_668","HGNC:33135","MIR668",2
"STR:cd23","HGNC:3612","FCER2",2
"STR:afgf","HGNC:3665","FGF1",2
"STR:sbma","HGNC:644","AR",2
"STR:mll1","HGNC:7132","KMT2A",2
"STR:hesc","MeSH:D000066449","Human Embryonic Stem Cells",2
"STR:vaper","MeSH:D000074285","Smokers",2
"STR:antinuclear_antibody","MeSH:D000974","Antibodies, Antinuclear",2
"STR:lynch_syndrome","MeSH:D003123","Colorectal Neoplasms, Hereditary Nonpolyposis",2
"STR:type2_diabetes","MeSH:D003924","Diabetes Mellitus, Type 2",2
"STR:trisomy21","MeSH:D004314","Down Syndrome",2
"STR:gerd","MeSH:D005764","Gastroesophageal Reflux",2
"STR:igg1","MeSH:D007074","Immunoglobulin G",2
"STR:lats","MeSH:D008135","Long-Acting Thyroid Stimulator",2
"STR:ifn_i","MeSH:D009018","Morocco",2
"STR:polya_mrna","MeSH:D012333","RNA, Messenger",2
"STR:tetralogy_fallot","MeSH:D013771","Tetralogy of Fallot",2
"STR:colorectal_cancer","MeSH:D015179","Colorectal Neoplasms",2
"STR:proliferative_vitreoretinopathy","MeSH:D018630","Vitreoretinopathy, Proliferative",2
"STR:il_12","MeSH:D018664","Interleukin-12",2
"STR:cbp_30","MeSH:D037502","Galectin 3",2
"STR:e_coli_k12","MeSH:D048168","Escherichia coli K12",2
"STR:h9n2_virus","MeSH:D053127","Influenza A Virus, H9N2 Subtype",2
"STR:ehec","MeSH:D054324","Enterohemorrhagic Escherichia coli",2
"STR:cigarette","MeSH:D062789","Tobacco Products",2
"STR:il27","MeSH:D064094","Interleukin-27",2
"STR:e_cigarette","MeSH:D066300","Electronic Nicotine Delivery Systems",2
"STR:pge_2","CHEBI:15551","prostaglandin E2",1
"STR:h2o2","CHEBI:16240","hydrogen peroxide",1
"STR:cb839","CHEBI:231605","telaglenastat",1
"STR:a83_01","CHEBI:233322","3-(6-methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazole-1-carbothioamide",1
"STR:fht1015","CHEBI:233326","CID 139371523",1
"STR:wy14643","CHEBI:32509","pirinixic acid",1
"STR:bz_atp","CHEBI:34316","3'-O-(4-Benzoyl)benzoyl ATP",1
"STR:4hpp","CHEBI:40279","allopurinol",1
"STR:peg10","CHEBI:46550","decaethylene glycol",1
"STR:t_bhp","CHEBI:64090","tert-butyl hydroperoxide",1
"STR:5asa","CHEBI:6775","mesalamine",1
"STR:mg132","CHEBI:75142","N-benzyloxycarbonyl-L-leucyl-L-leucyl-L-leucinal",1
"STR:compoundc","CHEBI:78510","dorsomorphin",1
"STR:pbde47","CHEBI:81584","2,2',4,4'-Tetrabromodiphenyl ether",1
"STR:cal101","CHEBI:82701","idelalisib",1
"STR:sns032","CHEBI:91399","N-(5-{[(5-tert-butyl-1,3-oxazol-2-yl)methyl]sulfanyl}-1,3-thiazol-2-yl)piperidine-4-carboxamide",1
"STR:araa","CHEMBL:CHEMBL1090","VIDARABINE",1
"STR:rtpa","CHEMBL:CHEMBL1201593","ALTEPLASE",1
"STR:rela","CHEMBL:CHEMBL1233","CARISOPRODOL",1
"STR:vitamind","CHEMBL:CHEMBL1536","ERGOCALCIFEROL",1
"STR:ms40","CHEMBL:CHEMBL2059073","SULISOBENZONE",1
"STR:cdb4124","CHEMBL:CHEMBL2105694","TELAPRISTONE ACETATE",1
"STR:r568","CHEMBL:CHEMBL2107572","TECALCET HYDROCHLORIDE",1
"STR:anti_il_4","CHEMBL:CHEMBL2108119","PASCOLIZUMAB",1
"STR:gdc0349","CHEMBL:CHEMBL2331680","RG-7603",1
"STR:cb1954","CHEMBL:CHEMBL23330","TRETAZICAR",1
"STR:cart19","CHEMBL:CHEMBL3301574","TISAGENLECLEUCEL",1
