"da","a","Freq"
"STR:hypoxia","MeSH:D000860",182
"STR:tgfb","HGNC:11766",69
"STR:covid_19","MeSH:D000086382",61
"STR:schizophrenia","MeSH:D012559",57
"STR:glioblastoma","MeSH:D005909",40
"STR:ifnb","HGNC:5434",33
"STR:keloid","MeSH:D007627",31
"STR:multiple_sclerosis","MeSH:D009103",31
"STR:x_ray","MeSH:D014965",29
"STR:vtp50469","CHEBI:232861",26
"STR:myotonic_dystrophy","MeSH:D009223",26
"STR:heat_shock","MeSH:D018869",26
"STR:biliary_atresia","MeSH:D001656",25
"STR:radiation","MeSH:D011827",25
"STR:r5020","CHEBI:73390",24
"STR:dtag13","CHEBI:234353",22
"STR:psoriasis","MeSH:D011565",20
"STR:hepatoblastoma","MeSH:D018197",20
"STR:il_27","MeSH:D064094",20
"STR:asthma","MeSH:D001249",19
"STR:cystic_fibrosis","MeSH:D003550",19
"STR:1_25_oh_2d3","MeSH:D002117",18
"STR:smoking","MeSH:D012907",18
"STR:sepsis","MeSH:D018805",18
"STR:idiopathic_pulmonary_fibrosis","MeSH:D054990",18
"STR:4oht","CHEBI:44616",17
"STR:tgf_b","HGNC:11766",17
"STR:bipolar_disorder","MeSH:D001714",17
"STR:prostate_cancer","MeSH:D011471",17
"STR:sp_2509","CHEBI:176335",16
"STR:adenoma","MeSH:D000236",16
"STR:plx51107","CHEMBL:CHEMBL4521078",15
"STR:kw2449","CHEMBL:CHEMBL1908397",14
"STR:vegf","HGNC:12680",13
"STR:nfia","HGNC:7784",13
"STR:heart_failure","MeSH:D006333",12
"STR:alcoholusedisorder","MeSH:D000437",11
"STR:contact_inhibition","MeSH:D003260",11
"STR:hypertension","MeSH:D006973",11
"STR:interferon_alpha","MeSH:D016898",11
"STR:kshv","MeSH:D019288",11
"STR:a485","CHEBI:233363",10
"STR:exosc8","HGNC:17035",10
"STR:huntington_s_disease","MeSH:D006816",10
"STR:klinefelter_syndrome","MeSH:D007713",10
"STR:melanoma","MeSH:D008545",10
"STR:retinoblastoma","MeSH:D012175",10
"STR:rhinitis","MeSH:D012220",10
"STR:exosc9","HGNC:9137",9
"STR:colon_cancer","MeSH:D003110",9
"STR:endometriosis","MeSH:D004715",9
"STR:pneumococcus","MeSH:D013296",9
"STR:tuberculosis","MeSH:D014376",9
"STR:nvp2","CHEBI:230487",8
"STR:gw3965","CHEBI:79995",8
"STR:arginine","CHEMBL:CHEMBL1485",8
"STR:dkk1","HGNC:2891",8
"STR:fgf23","HGNC:3680",8
"STR:il17","HGNC:5981",8
"STR:medulloblastoma","MeSH:D008527",8
"STR:rhinovirus","MeSH:D012229",8
"STR:hcov_oc43","MeSH:D028962",8
"STR:arac","CHEBI:28680",7
"STR:trichostatina","CHEBI:46024",7
"STR:activin_a","CHEBI:81351",7
"STR:pd325901","CHEBI:88249",7
"STR:leucine","CHEMBL:CHEMBL291962",7
"STR:il23","HGNC:15488",7
"STR:igf2bp3","HGNC:28868",7
"STR:esat","HGNC:3463",7
"STR:gata6","HGNC:4174",7
"STR:osteoarthritis","MeSH:D010003",7
"STR:radiotherapy","MeSH:D011878",7
"STR:osteosarcoma","MeSH:D012516",7
"STR:starvation","MeSH:D013217",7
"STR:suicide","MeSH:D013405",7
"STR:cholangiocarcinoma","MeSH:D018281",7
"STR:sarcopenia","MeSH:D055948",7
"STR:r837","CHEBI:36704",6
"STR:ibrd9","CHEBI:747477",6
"STR:ibet151","CHEBI:95083",6
"STR:rny5","HGNC:10248",6
"STR:bdnf","HGNC:1033",6
"STR:kat6a","HGNC:13013",6
"STR:nlgn1","HGNC:14291",6
