"grp","entita","k_censito_off","k_censito_on","k_poolato_off","k_poolato_on"
"MeSH:D000860||gain||normoxia","MeSH:D000860",0,67,0,50
"MeSH:D012559||gain||vehicle_untreated","MeSH:D012559",0,24,0,23
"HGNC:11766||gain||vehicle_untreated","HGNC:11766",93,118,69,87
"MeSH:D000860||gain||vehicle_untreated","MeSH:D000860",0,25,0,14
"MeSH:D018869||gain||vehicle_untreated","MeSH:D018869",0,16,0,13
"MeSH:D000086382||gain||vehicle_untreated","MeSH:D000086382",1,15,1,11
"CHEBI:73390||gain||vehicle_untreated","CHEBI:73390",1,12,0,9
"MeSH:D009103||gain||vehicle_untreated","MeSH:D009103",0,10,0,9
"MeSH:D011565||gain||vehicle_untreated","MeSH:D011565",0,10,0,9
"MeSH:D011827||gain||vehicle_untreated","MeSH:D011827",0,10,0,9
"CHEBI:232861||gain||vehicle_untreated","CHEBI:232861",2,10,2,10
"CHEBI:234353||gain||vehicle_untreated","CHEBI:234353",0,8,0,7
"HGNC:5434||gain||vehicle_untreated","HGNC:5434",15,26,9,16
"CHEBI:233363||gain||vehicle_untreated","CHEBI:233363",7,13,6,11
"CHEBI:79995||gain||vehicle_untreated","CHEBI:79995",0,5,0,5
"MeSH:D001714||gain||vehicle_untreated","MeSH:D001714",0,5,0,5
"MeSH:D003550||gain||vehicle_untreated","MeSH:D003550",0,7,0,5
"MeSH:D004715||gain||vehicle_untreated","MeSH:D004715",0,6,0,5
"MeSH:D006333||gain||vehicle_untreated","MeSH:D006333",0,6,0,5
"MeSH:D012859||gain||vehicle_untreated","MeSH:D012859",0,6,0,5
"MeSH:D019288||gain||vehicle_untreated","MeSH:D019288",0,6,0,5
"HGNC:12680||gain||vehicle_untreated","HGNC:12680",5,12,2,6
"HGNC:5981||gain||vehicle_untreated","HGNC:5981",12,17,9,13
"MeSH:D001249||gain||vehicle_untreated","MeSH:D001249",0,5,0,4
"MeSH:D007627||gain||vehicle_untreated","MeSH:D007627",0,10,0,4
"MeSH:D014376||gain||vehicle_untreated","MeSH:D014376",0,5,0,4
"MeSH:D016898||gain||vehicle_untreated","MeSH:D016898",0,5,0,4
"MeSH:D018805||gain||vehicle_untreated","MeSH:D018805",0,6,0,4
"MeSH:D054990||gain||vehicle_untreated","MeSH:D054990",0,8,0,4
"MeSH:D055948||gain||vehicle_untreated","MeSH:D055948",0,4,0,4
"CHEBI:132082||gain||vehicle_untreated","CHEBI:132082",8,12,5,8
"CHEBI:176335||gain||vehicle_untreated","CHEBI:176335",3,7,2,5
"CHEBI:44616||gain||vehicle_untreated","CHEBI:44616",18,21,13,16
"CHEBI:68540||gain||vehicle_untreated","CHEBI:68540",1,4,1,4
"MeSH:D000071244||gain||vehicle_untreated","MeSH:D000071244",0,4,0,3
"MeSH:D000077209||gain||vehicle_untreated","MeSH:D000077209",0,3,0,3
"MeSH:D000095022||gain||vehicle_untreated","MeSH:D000095022",0,3,0,3
"MeSH:D000236||gain||vehicle_untreated","MeSH:D000236",0,4,0,3
"MeSH:D003260||block||vehicle_untreated","MeSH:D003260",0,3,0,3
"MeSH:D007640||gain||vehicle_untreated","MeSH:D007640",0,3,0,3
"MeSH:D008579||gain||vehicle_untreated","MeSH:D008579",0,3,0,3
"MeSH:D009101||gain||vehicle_untreated_liquid","MeSH:D009101",0,4,0,3
"MeSH:D010003||gain||vehicle_untreated","MeSH:D010003",0,5,0,3
"MeSH:D011878||gain||vehicle_untreated","MeSH:D011878",0,6,0,3
"MeSH:D012229||gain||vehicle_untreated","MeSH:D012229",0,4,0,3
"MeSH:D013217||loss||vehicle_untreated","MeSH:D013217",0,4,0,3
"MeSH:D017077||gain||vehicle_untreated","MeSH:D017077",0,3,0,3
"MeSH:D018197||gain||vehicle_untreated","MeSH:D018197",0,5,0,3
"MeSH:D064094||gain||vehicle_untreated","MeSH:D064094",0,3,0,3
"NCBITaxon:114727||gain||vehicle_untreated","NCBITaxon:114727",0,3,0,3
"CHEBI:233323||gain||vehicle_untreated","CHEBI:233323",0,2,0,2
"CHEBI:28680||gain||vehicle_untreated","CHEBI:28680",12,14,5,7
"CHEBI:64645||gain||vehicle_untreated","CHEBI:64645",2,4,2,4
"CHEBI:747477||gain||vehicle_untreated","CHEBI:747477",2,4,2,4
"CHEBI:79999||gain||vehicle_untreated","CHEBI:79999",0,2,0,2
"CHEBI:84327||gain||vehicle_untreated","CHEBI:84327",5,8,4,6
"CHEMBL:CHEMBL1201556||gain||vehicle_untreated","CHEMBL:CHEMBL1201556",2,4,1,3
"CHEMBL:CHEMBL1908397||gain||vehicle_untreated","CHEMBL:CHEMBL1908397",2,4,2,4
"CHEMBL:CHEMBL406050||gain||vehicle_untreated","CHEMBL:CHEMBL406050",0,2,0,2
"CHEMBL:CHEMBL507361||gain||vehicle_untreated","CHEMBL:CHEMBL507361",0,2,0,2
"HGNC:11998||gain||vehicle_untreated","HGNC:11998",6,8,1,3
"HGNC:2891||gain||vehicle_untreated","HGNC:2891",0,2,0,2
"HGNC:31528||gain||vehicle_untreated","HGNC:31528",0,2,0,2
"HGNC:3262||gain||vehicle_untreated","HGNC:3262",0,2,0,2
