"cluster_id","label_paper","gene","rango","n_geni","logFC","k","I2","FDR"
"cgroup_L5_930c8dcf","DHT (dihydrotestosterone) -- AR agonist","KLK3",420,19186,2.26707723818898,14,99.8715799015102,7.21285191715033e-06
"cgroup_L5_930c8dcf","DHT (dihydrotestosterone) -- AR agonist","TMPRSS2",161,19186,1.78028283973267,19,99.7058001807322,6.49172147724354e-08
"cgroup_L5_930c8dcf","DHT (dihydrotestosterone) -- AR agonist","FKBP5",152,19186,2.32173879393534,23,99.8772092953456,5.35250426234758e-08
"cgroup_L5_930c8dcf","DHT (dihydrotestosterone) -- AR agonist","NKX3-1",484,19186,1.36843796916377,23,99.8632288762118,1.28012166454018e-05
"cgroup_L5_c0d1d837","Enzalutamide -- AR antagonist","KLK3",196,18452,-1.59987238717332,15,99.9127193064691,0.000306022298567628
"cgroup_L5_c0d1d837","Enzalutamide -- AR antagonist","TMPRSS2",1009,18452,-0.921993186385833,18,99.769048130578,0.0075071571734259
"cgroup_L5_c0d1d837","Enzalutamide -- AR antagonist","FKBP5",576,18452,-1.22319860918617,19,99.8486799564285,0.00315071261374071
"cgroup_L5_c0d1d837","Enzalutamide -- AR antagonist","NKX3-1",179,18452,-1.23938831603535,19,99.8475471359413,0.000256807705639128
"cgroup_L5_2e16719f","TGF-beta1","SERPINE1",128,19410,2.43314482901224,49,99.8690621134935,7.34946512274427e-14
"cgroup_L5_2e16719f","TGF-beta1","CCN2",120,19410,1.79482087597062,49,99.7289066429929,4.42818097632745e-14
"cgroup_L5_2e16719f","TGF-beta1","SMAD7",77,19410,1.38519324279093,49,99.2517355315698,1.95871813828987e-15
"cgroup_L5_2e16719f","TGF-beta1","JUNB",83,19410,1.23384714423868,48,99.1056771183234,6.00707039282988e-15
"cgroup_L5_2e16719f","TGF-beta1","TGFBI",26,19410,2.00157148901468,49,99.7726722322974,4.05837337393923e-19
"cgroup_L5_2e16719f","TGF-beta1","COL1A1",649,19410,1.68388401766001,49,99.7971504054033,9.09088327848482e-09
"cgroup_L5_c548d053","LPS (lipopolysaccharide)","TNF",429,19728,3.73480799084216,20,97.8725361955966,3.88436277438871e-06
"cgroup_L5_c548d053","LPS (lipopolysaccharide)","IL6",43,19728,4.66588877632776,33,99.5900074660036,5.69245357854538e-10
"cgroup_L5_c548d053","LPS (lipopolysaccharide)","IL1B",14,19728,4.47645119124646,33,99.7101759000937,5.07373535021249e-13
"cgroup_L5_c548d053","LPS (lipopolysaccharide)","CXCL8",6,19728,3.55630495236305,35,99.4483989649171,2.6193579994877e-15
"cgroup_L5_c548d053","LPS (lipopolysaccharide)","CCL2",178,19728,2.27833742761022,34,99.3873881241295,1.93127269214494e-07
"cgroup_L5_c548d053","LPS (lipopolysaccharide)","NFKBIA",19,19728,1.84879613677233,35,99.3322891187866,3.45540567784399e-12
"cgroup_L5_871ae09e","SARS-CoV-2 infection","IFIT1",62,20718,2.20400238471643,32,99.7201665965982,7.16475757015069e-05
"cgroup_L5_871ae09e","SARS-CoV-2 infection","ISG15",53,20718,1.66800250814513,33,99.2888024930825,5.03384422151518e-05
"cgroup_L5_871ae09e","SARS-CoV-2 infection","IFIT3",114,20718,1.63728683241911,33,99.7162820715762,0.000512922496614787
"cgroup_L5_871ae09e","SARS-CoV-2 infection","CXCL10",119,20718,3.46900274987831,24,98.5765784354043,0.000662134901494349
"cgroup_L5_871ae09e","SARS-CoV-2 infection","OAS1",471,20718,1.31861258536437,33,99.7407448697308,0.00726814684196511
"cgroup_L5_871ae09e","SARS-CoV-2 infection","MX1",96,20718,1.89541123888562,33,99.726601878109,0.000386057699127933
"cgroup_L5_87c40ebb","IFN-gamma","GBP1",16,18824,5.9683745698437,19,99.4923248025774,7.22048531740839e-52
"cgroup_L5_87c40ebb","IFN-gamma","CXCL9",20,18824,11.1701441630299,14,94.1412566149606,1.63468401058034e-43
"cgroup_L5_87c40ebb","IFN-gamma","CXCL10",91,18824,8.9287802078557,15,98.0848998996673,4.7628906958117e-21
"cgroup_L5_87c40ebb","IFN-gamma","STAT1",10,18824,2.90427897888846,19,99.52910370504,6.49069641464142e-82
"cgroup_L5_87c40ebb","IFN-gamma","IDO1",34,18824,9.75935516100615,16,97.7849796591834,4.28691717163489e-29
"cgroup_L5_87c40ebb","IFN-gamma","GBP5",60,18824,8.57272845751822,19,98.6514027995852,1.10615171287826e-24
