"gene","logFC_dht","logFC_enza","segno_opposto"
"PGC",4.63008020555051,-3.03914917456974,TRUE
"SLC38A4",4.14698700364549,-4.23158490213535,TRUE
"UGT2B28",3.87286449476539,-2.24801998566045,TRUE
"CHRNA2",3.72295157992881,-2.58053233388577,TRUE
"ENSG00000289746",2.92256701812988,-2.31459769089741,TRUE
"HPGD",2.89341704300427,-2.31059821051853,TRUE
"CCDC141",2.85888157953107,-2.24674433655338,TRUE
"ST6GALNAC1",2.68980616538916,-2.45545467046852,TRUE
"ALPK2",2.57885990564373,-2.42911615132017,TRUE
"TUBA3E",2.51116544371677,-1.97089402397765,TRUE
"PLA2G5",2.36717809336838,-2.76114050537448,TRUE
"KLK2",2.27926132202595,-1.97074008955448,TRUE
"MOGAT2",2.2688531774037,-1.38929228897829,TRUE
"NNMT",1.90140057068057,-2.06741323076849,TRUE
"PCED1B",-1.46280621028378,1.31313475276587,TRUE
