"gene_symbol","gene_id","logFC_pool_dht","logFC_pool_enza","FDR_BH_within_cluster_dht","FDR_BH_within_cluster_enza","k_effective_dht","k_effective_enza"
"SEMA3F","ENSG00000001617",-0.353328544136568,0.278833219224035,0.00197665271057285,0.0152095527515323,23,19
"LASP1","ENSG00000002834",-0.275661443791416,0.378133190573096,0.00458520916075059,0.00781038839147808,23,19
"KLHL13","ENSG00000003096",-0.433569395094776,0.426015294496488,0.000649846057824864,0.0258686366341262,22,17
"NDUFAB1","ENSG00000004779",0.100670072756664,-0.0911235828634774,0.0344503530912512,0.048053817678819,23,19
"SLC25A13","ENSG00000004864",0.255360031426268,-0.213165441374104,0.00195051743491703,0.0160530581672914,23,19
"THSD7A","ENSG00000005108",1.89503722567352,-1.14852992431808,0.000307530400428348,0.0343831723695513,15,11
"REXO5","ENSG00000005189",0.32967575964015,-0.394025280508265,0.0239693066879639,0.0298318642021034,23,19
"CIAPIN1","ENSG00000005194",0.0668597605742067,-0.133984055726671,0.0322715338355287,0.0196645491400139,23,19
"GCFC2","ENSG00000005436",0.29644271891429,-0.265076243838309,0.000122166033190675,0.00534129014575122,23,19
"CROT","ENSG00000005469",0.765573818046107,-0.428209199959134,5.29125384669372e-06,0.012963428526277,23,18
"MYCBP2","ENSG00000005810",0.354452548555421,-0.383942653393567,0.00028464153942851,0.0265711823169622,23,19
"PDK2","ENSG00000005882",-0.239580420465281,0.208978113444071,0.000563720335938683,0.00101764996884988,22,18
"CACNA1G","ENSG00000006283",-0.839570228886849,1.12839684212217,6.24862058716269e-07,0.0399369822581334,19,14
"DBF4","ENSG00000006634",0.306844049141079,-0.473018365599647,0.00127740418332318,0.044559351597117,23,19
"GTF2IRD1","ENSG00000006704",-0.206525146761566,0.180481340380749,0.00379703664782279,0.0185155111753728,23,19
"CRAMP1","ENSG00000007545",0.205868617555923,-0.0906744243703163,0.0236743324504539,0.00709554133650765,23,19
"DLEC1","ENSG00000008226",0.300777529973705,-0.649971007917005,0.0403994302536683,1.56898042436622e-08,18,13
"SS18L2","ENSG00000008324",0.191800559007,-0.165259244093267,8.79186793859074e-05,0.0219731194441504,23,19
"ZNF200","ENSG00000010539",0.131264547841981,-0.127366860116248,2.92500448041364e-06,0.0270793006530565,23,19
"HFE","ENSG00000010704",-0.332431076477823,0.452193785266259,0.00119848764358518,0.0479022485532053,20,14
"QPCTL","ENSG00000011478",0.281954282244134,-0.166458863586837,0.00401281163265781,0.0259371008513966,23,19
"CEP68","ENSG00000011523",-0.343307942421935,0.158876416891864,0.00173383720624411,0.0222019981463776,23,19
"GABRA3","ENSG00000011677",-0.402568847357526,0.450563674115361,2.10504863017525e-05,0.00324797890576569,20,17
"ERCC1","ENSG00000012061",-0.184967738336839,0.147498635883945,0.000395625213905187,0.0432997992955376,23,19
"ELOVL5","ENSG00000012660",1.06859503684912,-0.605480120760224,1.52752044736462e-06,0.0305862081290054,23,19
"CALCOCO1","ENSG00000012822",-0.207803922591875,0.368595098687226,0.0114839839838777,0.001983005975675,23,19
"UBR7","ENSG00000012963",0.141618015503229,-0.158739305729911,0.0211055506646766,0.00945972196336872,23,19
"ACP3","ENSG00000014257",-0.601157762787296,0.568266296843813,0.0144757945479149,0.00652353875250294,21,17
"WWTR1","ENSG00000018408",0.873084027003577,-1.00120531127112,0.000113662596673604,0.0377731858143582,22,19
"PHLDB1","ENSG00000019144",-0.315528908142381,0.125902518884644,4.08175918844334e-06,0.0123837180121213,23,19
"SNAI2","ENSG00000019549",2.38287086836614,-1.86627343027456,0.00011844552625751,0.0295399569580537,17,13
"ADGRA2","ENSG00000020181",-0.5673781889672,0.90509139424421,0.00183791240338922,0.0146969247747199,20,16
"PLEKHB1","ENSG00000021300",-0.313274920102242,0.366816976590576,3.22505514097222e-09,0.0271947449243588,21,18
"GLRX2","ENSG00000023572",0.572280536600167,-0.414114443255329,4.31993512498087e-10,0.00147229574240798,23,19
"SNAPC1","ENSG00000023608",0.346009047823811,-0.147598283680621,1.29512277601697e-06,0.0195223678986282,23,19
"DEPDC1","ENSG00000024526",0.25863048526866,-0.748604123796246,0.0463671264010485,0.0490495005592185,23,19
"RRAGD","ENSG00000025039",0.213434612625338,0.208203160302616,0.00174278079923912,0.0258119722997409,23,18
"IKZF2","ENSG00000030419",-0.309339297838718,0.228442517087593,0.0103852167985995,0.0462870433356956,22,18
"RNF19A","ENSG00000034677",-0.293658477137463,0.425894885827535,0.000332948564220117,0.000642111662018095,23,19
"DAPK2","ENSG00000035664",-0.630720806244309,0.635720307578091,2.70763038371626e-06,0.0153388970444264,23,19
"NSMAF","ENSG00000035681",0.326775662082467,-0.202994266601631,0.00607256841088654,0.0301709319378388,23,19
"TIMP2","ENSG00000035862",-0.546822168594398,0.610252388521197,2.81204295221965e-08,0.00666043319642053,22,18
"RPL26L1","ENSG00000037241",0.106932811863063,-0.122454857191454,0.0033242428369524,0.0335892125163665,23,19
"NSUN2","ENSG00000037474",0.155907920673403,-0.201097789257583,0.000103760835452075,0.00170511572095762,23,19
"HOXC8","ENSG00000037965",-0.537464085576226,0.604897595618022,0.00866778662917285,0.0397489639628645,20,17
"CAPG","ENSG00000042493",-0.308211233705839,0.526512365197913,0.019689322770972,0.000525831291710009,22,18
"ZIC2","ENSG00000043355",-0.646675191117758,0.477844879019053,0.00748184169016333,0.0364509266421259,22,18
"TRIT1","ENSG00000043514",0.172293068482333,-0.227903221971724,1.79366207493492e-05,0.0293972828138049,23,19
"ADRB1","ENSG00000043591",0.839724080496076,-0.377054672165228,1.54376022266342e-06,0.0260907082206524,21,18
"LTBP1","ENSG00000049323",-0.584425661222181,0.347689305737727,6.27896779561606e-06,0.0155105642632651,23,19
"ARID1B","ENSG00000049618",-0.175504894909769,0.124952274468498,0.000152522248901801,0.0169445019153116,23,19
"CLPTM1L","ENSG00000049656",0.140137747778493,-0.127821539150546,0.0102414812848102,0.000874737847613099,23,19
"MCUR1","ENSG00000050393",0.0717185593798124,0.0778462118028848,0.0365500125443566,0.0256064342250185,23,19
"COL23A1","ENSG00000050767",0.611855942103614,-0.517985172691245,0.0237477573679098,0.00215081527481126,15,13
"HEBP2","ENSG00000051620",0.415943354933993,-0.326222851126393,0.00029311536377395,0.0254712757908211,23,19
"MPHOSPH9","ENSG00000051825",0.511170961967002,-0.47554634626349,0.00218302473369766,0.0077691922820946,23,19
"ALX4","ENSG00000052850",-0.720819549835241,0.437320538332964,0.00039000777025877,0.0406753591366528,19,15
"TBC1D22A","ENSG00000054611",-0.13520347044069,0.142704371507442,0.00578389751895251,0.000223529227841315,23,19
"ATP9A","ENSG00000054793",-0.173653251049322,0.296304605851533,0.00104252430013822,0.00666043319642053,23,19
"FAM168A","ENSG00000054965",-0.114843124112375,0.195352225095112,0.00501068352097682,0.016122621513956,23,19
"CYFIP2","ENSG00000055163",-0.352599903918135,0.237491752132622,9.57152863356638e-05,0.000544302939180935,23,19
"YIPF1","ENSG00000058799",0.366506650773381,-0.205374007357958,0.0177504353065295,0.00877665005259704,23,19
"DNAJC25","ENSG00000059769",0.28291412127975,-0.173083733735419,2.67453472791135e-08,0.00740807011677019,23,19
"SLC2A3","ENSG00000059804",3.0957352773076,-1.59847911779001,0.000106843209358422,0.00571797981198408,16,14
"PTPRU","ENSG00000060656",-0.265165844516233,0.212653687514675,0.00411056697459158,0.010616934542845,23,19
"SNRNP40","ENSG00000060688",0.135081372682152,-0.229074552733415,0.0416294287522989,0.0131945973003141,23,19
"DGAT2","ENSG00000062282",-0.434613885489053,0.19679662066498,0.000301338513273751,0.0374318264156673,22,19
"ELMO2","ENSG00000062598",0.251343091887977,-0.148426628554734,0.000789000978961009,0.0385076753785732,23,19
"CA11","ENSG00000063180",-0.482861751348035,0.438663301685245,5.20325905428975e-05,0.00701165088161663,23,19
"ZNF275","ENSG00000063587",0.210689758980856,-0.115620506637558,0.000902026580950946,0.00153936134766177,23,19
