"cluster_id","n_geni_sig","k_reale_med","k_kish_med","quota_top1_med","quota_top2_med","label_paper","perdita_pct"
"cgroup_L5_2e16719f",7233,48,45.1,2.6,5.1,"TGF-beta1",6
"cgroup_L5_c548d053",6883,34,31.8,3.8,7.5,"LPS (lipopolysaccharide)",6
"cgroup_L5_871ae09e",1801,33,29.2,3.9,7.9,"SARS-CoV-2 infection",12
"cgroup_L5_b71a25a2",9501,24,22.8,5,9.9,"JQ1 (BET bromodomain inhibitor)",5
"cgroup_L5_930c8dcf",4875,23,20.9,6.1,12,"DHT (dihydrotestosterone) -- AR agonist",9
"cgroup_L5_87c40ebb",3222,19,17.1,7,13.9,"IFN-gamma",10
"cgroup_L5_c0d1d837",3498,19,17.4,7,14,"Enzalutamide -- AR antagonist",8
"cgroup_L5_85083e38",976,9,1.8,73.2,84.8,"Parkinson disease vs normal",80
"cgroup_L5_bd19fe42",72,5,3,47.9,76.2,"Hepatocellular carcinoma vs normal",40
"cgroup_L5_3973fe03",947,4,1.9,67.2,90.1,"IL1A -- DECLARED INCOHERENT",52
"cgroup_L5_3be7454c",992,3,2.2,53.8,89,"IFNA1 -- DECLARED INCOHERENT",27
"cgroup_L5_5d97d5b1",251,3,1.7,71.9,96,"antigen (umbrella class) -- DECLARED INCOHERENT",43
