"cluster_id","n_geni_sig","k_reale_med","k_kish_med","quota_top1_med","contrast_entity","contrast_entity_label","k_effective","n_sig","I2_med","coherence_verdict","frazione_efficace","dominato"
"cgroup_L5_004d293d",1050,5,2.24507564538825,0.616320982013632,"CHEBI:49603","lapatinib",5,1050,67.5190349945899,"coherent",0.44901512907765,TRUE
"cgroup_L5_00fd9348",1413,3,1.42857040350008,0.818954340405468,"CHEBI:8499","propranolol",3,1413,80.9830729046538,"coherent",0.476190134500028,TRUE
"cgroup_L5_021e875e",1018,17,16.0953839198789,0.0687184608966935,"CHEBI:27899","cisplatin",17,1018,96.4406750553064,"coherent",0.946787289404639,FALSE
"cgroup_L5_034592d9",1539,3,1.50853935537484,0.797275953086632,"NCBITaxon:1282","Staphylococcus epidermidis",3,1539,64.9260265978409,"coherent",0.502846451791612,TRUE
"cgroup_L5_03b38818",947,7,4.01075661568277,0.361568779810329,"CHEBI:63637","vemurafenib",8,947,81.6483135113253,"coherent",0.572965230811824,FALSE
"cgroup_L5_03d0ca7b",766,3,1.25382567165822,0.888123266271056,"CHEBI:4551","digoxin",3,766,66.0726281297742,"coherent",0.417941890552741,TRUE
"cgroup_L5_05322ba1",4270,3,2.07019261921039,0.573898719600799,"CHEBI:71019","omacetaxine",3,4270,92.3598674680171,"coherent",0.690064206403462,TRUE
"cgroup_L5_089ccae5",1978,5,3.62280061333751,0.365550597515613,"CHEBI:52717","bortezomib",5,1978,86.9685551621463,"coherent",0.724560122667501,FALSE
"cgroup_L5_0e66597e",2515,12,11.1656464101693,0.10384237941961,"CHEBI:31638","fulvestrant",12,2515,84.7181486617163,"coherent",0.930470534180779,FALSE
"cgroup_L5_10344dfd",2326,4,2.70420307933714,0.497103696266889,"CHEBI:4167","D-glucopyranose",4,2326,74.9556290970232,"coherent",0.676050769834285,FALSE
"cgroup_L5_12212e41",606,5,1.79967914204758,0.719532195812725,"STR:multiple_sclerosis","multiple sclerosis",8,606,61.0856292776837,"coherent",0.359935828409517,TRUE
"cgroup_L5_12228932",1161,5,3.88939576435427,0.332208720488087,"HGNC:3229","EGF",5,1161,90.3832141800306,"coherent",0.777879152870854,FALSE
"cgroup_L5_16525349",471,4,2.07466720583839,0.6130277524932,"CHEBI:78543","ponatinib",4,471,47.8566109206891,"coherent",0.518666801459596,TRUE
"cgroup_L5_17b35bdc",1465,4,2.03785021629203,0.609381456730465,"CHEBI:4672","docetaxel",4,1465,85.2352922331186,"coherent",0.509462554073007,TRUE
"cgroup_L5_17b55386",1078,4,2.58207129920044,0.502966826201893,"STR:fshd","fshd",4,1078,83.1358865976169,"coherent",0.64551782480011,TRUE
"cgroup_L5_1bbf4b9b",177,6,2.84221249960426,0.499874024642163,"MeSH:D013274","Stomach Neoplasms",6,177,35.2645288857458,"coherent",0.473702083267377,FALSE
"cgroup_L5_1d96b9da",268,4,2.11795209521677,0.543339658226581,"CHEBI:84491","poly(I:C)",10,268,83.5782862184395,"coherent",0.529488023804191,TRUE
"cgroup_L5_1e8a735e",2676,3,2.42054217712483,0.535176479020111,"CHEBI:9516","thapsigargin",3,2676,76.6359094379226,"coherent",0.806847392374945,TRUE
"cgroup_L5_2248a891",610,3,1.36330336499188,0.846541111439749,"CHEBI:42471","forskolin",3,610,31.4802468760705,"coherent",0.454434454997292,TRUE
"cgroup_L5_24ae0579",3040,2,1.37373664577723,0.840758578414303,"CHEBI:47898","4'-epidoxorubicin",3,3040,89.3873907347549,"coherent",0.686868322888615,TRUE
"cgroup_L5_28bee975",3706,3,2.64200419541602,0.447629117338627,"CHEMBL:CHEMBL3987016","MIVEBRESIB",3,3706,89.3664776934542,"coherent",0.880668065138672,FALSE
"cgroup_L5_2987cdb6",2479,7,5.91532909086212,0.198616967318781,"CHEBI:114785","erlotinib",7,2479,94.7661104065802,"coherent",0.845047012980303,FALSE
"cgroup_L5_29cb04f8",1410,6,3.86071335474139,0.346159317949824,"CHEBI:46345","5-fluorouracil",6,1410,89.14823570421,"coherent",0.643452225790232,FALSE
"cgroup_L5_2a225fda",77,4,2.08702399507103,0.582460170467251,"STR:asthma","asthma",4,77,22.3429651067231,"coherent",0.521755998767758,TRUE
"cgroup_L5_2ab433c8",1121,6,3.23933946853316,0.427877756322911,"HGNC:14900","IL22",6,1121,64.6308522729775,"coherent",0.539889911422193,FALSE
"cgroup_L5_2d53def6",181,3,1.96346802967647,0.62471253606777,"HGNC:6005","IL21",3,181,13.9929341848807,"coherent",0.654489343225491,TRUE
"cgroup_L5_2e16719f",7233,48,45.0533089089112,0.0255406313972837,"HGNC:11766","TGFB1",49,7233,94.1623857922488,"coherent",0.938610602268982,FALSE
"cgroup_L5_2ec87595",334,6,3.1653609017801,0.450056679179854,"CHEBI:6801","metformin",8,334,74.2463410930845,"coherent",0.527560150296684,FALSE
"cgroup_L5_31308596",989,4,1.95050018899075,0.659255120869563,"CHEBI:37537","PMA (phorbol 12-myristate 13-acetate)",5,989,74.8195199971435,"coherent",0.487625047247688,TRUE
"cgroup_L5_33673560",2386,9,7.88601198867696,0.156574858579285,"STR:tgfb","tgfb",9,2386,84.823553853195,"coherent",0.87622355429744,FALSE
