"cluster_id","k_studies","k_kish","quota_top1","frazione_efficace","dominato","studio_dominante","n_geni"
"cgroup_L5_004d293d",5,2.24507564538825,0.616320982013632,0.44901512907765,TRUE,"GSE89127",1050
"cgroup_L5_00fd9348",3,1.42857040350008,0.818954340405468,0.476190134500028,TRUE,"GSE228234",1413
"cgroup_L5_021e875e",17,16.0953839198789,0.0687184608966935,0.946787289404639,FALSE,"GSE223839",1018
"cgroup_L5_034592d9",3,1.50853935537484,0.797275953086632,0.502846451791612,TRUE,"GSE173902",1539
"cgroup_L5_03b38818",7,4.01075661568277,0.361568779810329,0.572965230811824,FALSE,"GSE64741",947
"cgroup_L5_03d0ca7b",3,1.25382567165822,0.888123266271056,0.417941890552741,TRUE,"GSE262030",766
"cgroup_L5_05322ba1",3,2.07019261921039,0.573898719600799,0.690064206403462,TRUE,"GSE193897",4270
"cgroup_L5_089ccae5",5,3.62280061333751,0.365550597515613,0.724560122667501,FALSE,"GSE217421",1978
"cgroup_L5_0e66597e",12,11.1656464101693,0.10384237941961,0.930470534180779,FALSE,"GSE214052",2515
"cgroup_L5_10344dfd",4,2.70420307933714,0.497103696266889,0.676050769834285,FALSE,"GSE179347",2326
"cgroup_L5_12212e41",5,1.79967914204758,0.719532195812725,0.359935828409517,TRUE,"GSE138614",606
"cgroup_L5_12228932",5,3.88939576435427,0.332208720488087,0.777879152870854,FALSE,"GSE152409",1161
"cgroup_L5_16525349",4,2.07466720583839,0.6130277524932,0.518666801459596,TRUE,"GSE95079",471
"cgroup_L5_17b35bdc",4,2.03785021629203,0.609381456730465,0.509462554073007,TRUE,"GSE162285",1465
"cgroup_L5_17b55386",4,2.58207129920044,0.502966826201893,0.64551782480011,TRUE,"GSE123468",1078
"cgroup_L5_1bbf4b9b",6,2.84221249960426,0.499874024642163,0.473702083267377,FALSE,"GSE184336",177
"cgroup_L5_1d96b9da",4,2.11795209521677,0.543339658226581,0.529488023804191,TRUE,"GSE189706",268
"cgroup_L5_1e8a735e",3,2.42054217712483,0.535176479020111,0.806847392374945,TRUE,"GSE129942",2676
"cgroup_L5_2248a891",3,1.36330336499188,0.846541111439749,0.454434454997292,TRUE,"GSE202436",610
"cgroup_L5_24ae0579",2,1.37373664577723,0.840758578414303,0.686868322888615,TRUE,"GSE216137",3040
"cgroup_L5_28bee975",3,2.64200419541602,0.447629117338627,0.880668065138672,FALSE,"GSE208774",3706
"cgroup_L5_2987cdb6",7,5.91532909086212,0.198616967318781,0.845047012980303,FALSE,"GSE249721",2479
"cgroup_L5_29cb04f8",6,3.86071335474139,0.346159317949824,0.643452225790232,FALSE,"GSE157300",1410
"cgroup_L5_2a225fda",4,2.08702399507103,0.582460170467251,0.521755998767758,TRUE,"GSE201955",77
"cgroup_L5_2ab433c8",6,3.23933946853316,0.427877756322911,0.539889911422193,FALSE,"GSE149262",1121
"cgroup_L5_2d53def6",3,1.96346802967647,0.62471253606777,0.654489343225491,TRUE,"GSE120904",181
"cgroup_L5_2e16719f",48,45.0533089089112,0.0255406313972837,0.938610602268982,FALSE,"GSE155832",7233
"cgroup_L5_2ec87595",6,3.1653609017801,0.450056679179854,0.527560150296684,FALSE,"GSE207122",334
"cgroup_L5_31308596",4,1.95050018899075,0.659255120869563,0.487625047247688,TRUE,"GSE252575",989
"cgroup_L5_33673560",9,7.88601198867696,0.156574858579285,0.87622355429744,FALSE,"GSE232640",2386
