"gene","k","zeri_pct","R2_studio_pre","R2_studio","R2_trattamento","cluster"
"AFP",5,40.2,0.73,0.73,0.05,"DHT (dihydrotestosterone) -- AR agonist"
"COL22A1",2,67,0.63,0.63,0,"DHT (dihydrotestosterone) -- AR agonist"
"KRT72",6,65.4,0.37,0.37,0.13,"DHT (dihydrotestosterone) -- AR agonist"
"UCHL3",23,0,0.78,0.01,0.22,"DHT (dihydrotestosterone) -- AR agonist"
"RIMBP2",2,49.2,0.98,0.98,0.01,"DHT (dihydrotestosterone) -- AR agonist"
"PGC",17,26.3,0.52,0.02,0.49,"DHT (dihydrotestosterone) -- AR agonist"
"PSG9",3,53.6,0.64,0.64,0.01,"DHT (dihydrotestosterone) -- AR agonist"
"TBL1Y",17,22.9,0.89,0.89,0,"DHT (dihydrotestosterone) -- AR agonist"
"SLC25A33",23,0,0.91,0.03,0.51,"DHT (dihydrotestosterone) -- AR agonist"
"NSG2",2,38,0.92,0.92,0.01,"DHT (dihydrotestosterone) -- AR agonist"
"HOXC12",18,28.5,0.95,0.95,0.01,"DHT (dihydrotestosterone) -- AR agonist"
"CSGALNACT2",23,0,0.86,0.01,0.18,"DHT (dihydrotestosterone) -- AR agonist"
"PIGZ",23,0,0.83,0.01,0.29,"DHT (dihydrotestosterone) -- AR agonist"
"ADAM2",4,60.9,0.87,0.87,0.01,"DHT (dihydrotestosterone) -- AR agonist"
"ETF1",23,0,0.89,0.01,0.18,"DHT (dihydrotestosterone) -- AR agonist"
"RBP5",18,5,0.82,0.01,0.24,"DHT (dihydrotestosterone) -- AR agonist"
"RBP5",18,5,0.82,0.01,0.24,"DHT (dihydrotestosterone) -- AR agonist"
"DSG4",2,67,0.64,0.64,0.01,"DHT (dihydrotestosterone) -- AR agonist"
"COPS3",23,0,0.87,0.01,0.14,"DHT (dihydrotestosterone) -- AR agonist"
"PIK3R6",4,50.3,0.61,0.61,0.02,"DHT (dihydrotestosterone) -- AR agonist"
"GOT1",23,0,0.67,0.02,0.28,"DHT (dihydrotestosterone) -- AR agonist"
"ENSG00000276418",18,14,0.71,0.01,0.33,"DHT (dihydrotestosterone) -- AR agonist"
"SSBP3",23,0,0.9,0.02,0.4,"DHT (dihydrotestosterone) -- AR agonist"
"TRIM10",2,90.5,0.34,0.34,0.05,"DHT (dihydrotestosterone) -- AR agonist"
"BFAR",23,0,0.79,0.01,0.11,"DHT (dihydrotestosterone) -- AR agonist"
"ENSG00000278384",23,0,0.88,0.01,0.13,"DHT (dihydrotestosterone) -- AR agonist"
"ERMAP",23,0,0.68,0.02,0.35,"DHT (dihydrotestosterone) -- AR agonist"
"MAP2K1",23,0,0.93,0.02,0.3,"DHT (dihydrotestosterone) -- AR agonist"
"ZNF596",23,0,0.68,0.01,0.18,"DHT (dihydrotestosterone) -- AR agonist"
"INSL5",4,53.6,0.87,0.87,0.02,"DHT (dihydrotestosterone) -- AR agonist"
"COL22A1",2,64.1,0.69,0.69,0.01,"Enzalutamide -- AR antagonist"
"OR5B12",3,70.1,0.36,0.36,0.19,"Enzalutamide -- AR antagonist"
"ORM2",2,35.9,0.3,0.3,0.06,"Enzalutamide -- AR antagonist"
"TMEM132C",2,85,0.34,0.34,0.01,"Enzalutamide -- AR antagonist"
"CYP3A43",5,17.4,0.36,0.36,0.04,"Enzalutamide -- AR antagonist"
"USP27X",18,0,0.71,0,0.07,"Enzalutamide -- AR antagonist"
"ADGRL4",2,25.7,0.31,0,0.16,"Enzalutamide -- AR antagonist"
"ALPK2",10,15,0.5,0.01,0.33,"Enzalutamide -- AR antagonist"
