"cluster_id","k_max","n_sig","sig_k2","sig_k_lt_half","sig_k_full","tau2_zero_k2","n_k2","pct_sig_k2","pct_sig_k_lt_half","pct_sig_k_full","label_paper"
"cgroup_L5_2e16719f",49,7233,82,722,3448,289,619,1.1,10,47.7,"TGF-beta1"
"cgroup_L5_c548d053",35,6883,50,511,2938,231,512,0.7,7.4,42.7,"LPS (lipopolysaccharide)"
"cgroup_L5_871ae09e",33,1801,26,250,995,258,456,1.4,13.9,55.2,"SARS-CoV-2 infection"
"cgroup_L5_b71a25a2",24,9501,216,1438,5265,179,743,2.3,15.1,55.4,"JQ1 (BET bromodomain inhibitor)"
"cgroup_L5_930c8dcf",23,4875,54,470,3174,337,691,1.1,9.6,65.1,"DHT (dihydrotestosterone) -- AR agonist"
"cgroup_L5_87c40ebb",19,3222,103,479,1817,286,717,3.2,14.9,56.4,"IFN-gamma"
"cgroup_L5_c0d1d837",19,3498,36,216,2492,262,606,1,6.2,71.2,"Enzalutamide -- AR antagonist"
"cgroup_L5_85083e38",10,976,58,101,219,399,765,5.9,10.3,22.4,"Parkinson disease vs normal"
"cgroup_L5_bd19fe42",9,72,12,35,19,274,513,16.7,48.6,26.4,"Hepatocellular carcinoma vs normal"
"cgroup_L5_3973fe03",4,947,131,0,619,1102,2208,13.8,0,65.4,"IL1A -- DECLARED INCOHERENT"
"cgroup_L5_3be7454c",3,992,155,0,837,919,2105,15.6,0,84.4,"IFNA1 -- DECLARED INCOHERENT"
"cgroup_L5_5d97d5b1",3,251,89,0,162,1132,2361,35.5,0,64.5,"antigen (umbrella class) -- DECLARED INCOHERENT"
