"cluster_id","materiale_misto","n_studi_model","n_studi_primary","n_studi_unknown"
"cgroup_L5_004d293d",FALSE,1,0,4
"cgroup_L5_00fd9348",FALSE,0,0,3
"cgroup_L5_021e875e",FALSE,5,0,12
"cgroup_L5_034592d9",FALSE,0,0,3
"cgroup_L5_03b38818",FALSE,2,0,6
"cgroup_L5_03d0ca7b",FALSE,0,1,2
"cgroup_L5_05322ba1",FALSE,0,0,3
"cgroup_L5_089ccae5",FALSE,1,0,4
"cgroup_L5_0e66597e",FALSE,1,0,11
"cgroup_L5_10344dfd",FALSE,1,0,3
"cgroup_L5_12212e41",TRUE,2,2,4
"cgroup_L5_12228932",FALSE,0,0,5
"cgroup_L5_16525349",TRUE,1,1,2
"cgroup_L5_17b35bdc",FALSE,1,0,3
"cgroup_L5_17b55386",FALSE,0,1,3
"cgroup_L5_1bbf4b9b",TRUE,1,5,0
"cgroup_L5_1d96b9da",FALSE,5,0,5
"cgroup_L5_1e8a735e",FALSE,0,0,3
"cgroup_L5_2248a891",TRUE,1,1,1
"cgroup_L5_24ae0579",FALSE,0,0,3
"cgroup_L5_28bee975",FALSE,1,0,2
"cgroup_L5_2987cdb6",FALSE,1,0,6
"cgroup_L5_29cb04f8",FALSE,2,0,4
"cgroup_L5_2a225fda",FALSE,0,1,3
"cgroup_L5_2ab433c8",FALSE,2,0,4
"cgroup_L5_2d53def6",FALSE,2,0,1
"cgroup_L5_2e16719f",TRUE,10,3,36
"cgroup_L5_2ec87595",TRUE,3,1,4
"cgroup_L5_31308596",FALSE,1,0,4
"cgroup_L5_33673560",TRUE,1,1,7
"cgroup_L5_3370a794",FALSE,0,0,4
"cgroup_L5_3439da02",TRUE,1,1,2
"cgroup_L5_344e058f",FALSE,1,0,2
"cgroup_L5_356eedd3",FALSE,0,0,3
"cgroup_L5_35d1be10",FALSE,0,1,7
"cgroup_L5_37942548",FALSE,2,0,2
"cgroup_L5_37ecd157",FALSE,0,1,3
"cgroup_L5_3824dc37",TRUE,1,1,4
"cgroup_L5_387b0d1a",FALSE,0,2,1
"cgroup_L5_3973fe03",FALSE,0,1,3
"cgroup_L5_3a0a595f",TRUE,2,1,7
"cgroup_L5_3a58e5f5",FALSE,1,0,2
"cgroup_L5_3a625868",FALSE,0,1,3
"cgroup_L5_3b461817",FALSE,1,0,3
"cgroup_L5_3be7454c",FALSE,1,0,2
"cgroup_L5_3d8c29f4",FALSE,3,0,1
"cgroup_L5_3de56a79",FALSE,0,2,1
"cgroup_L5_3eaa92c9",FALSE,2,0,3
"cgroup_L5_3ec58cd6",FALSE,1,0,6
"cgroup_L5_3f0cc1fe",FALSE,0,1,3
"cgroup_L5_3fa847fe",FALSE,0,1,2
"cgroup_L5_4041e3af",TRUE,2,1,2
"cgroup_L5_41f7b088",FALSE,4,0,3
"cgroup_L5_444e7fc2",FALSE,4,0,5
"cgroup_L5_455fe91d",FALSE,0,1,2
"cgroup_L5_469db990",FALSE,0,0,3
"cgroup_L5_46a3a103",FALSE,1,0,6
"cgroup_L5_4753688f",FALSE,2,0,5
"cgroup_L5_479c6221",FALSE,1,0,4
"cgroup_L5_49d55bfd",TRUE,1,1,8
"cgroup_L5_49e290ae",FALSE,0,0,3
"cgroup_L5_4b901bf1",TRUE,2,5,2
"cgroup_L5_4be9e90d",FALSE,1,0,3
"cgroup_L5_4d535f25",FALSE,2,0,1
"cgroup_L5_4f4d9051",FALSE,0,1,5
"cgroup_L5_516200d1",FALSE,0,0,3
"cgroup_L5_522fa0c2",FALSE,0,2,2
"cgroup_L5_523e64b9",FALSE,1,0,2
"cgroup_L5_535d97f6",FALSE,1,0,8
"cgroup_L5_5927750b",FALSE,1,0,3
"cgroup_L5_5929f298",FALSE,1,0,2
"cgroup_L5_5b9a08fb",FALSE,0,0,3
"cgroup_L5_5d97d5b1",FALSE,1,0,2
"cgroup_L5_5e0c0fae",FALSE,0,1,3
"cgroup_L5_601ede7b",TRUE,2,2,6
"cgroup_L5_63e69fdc",FALSE,0,3,3
"cgroup_L5_6b7b8076",FALSE,0,3,0
"cgroup_L5_6df6a50e",FALSE,4,0,9
"cgroup_L5_6ee86f02",TRUE,1,1,1
"cgroup_L5_702a5dea",TRUE,2,1,6
"cgroup_L5_721184e6",FALSE,3,0,8
"cgroup_L5_729b276d",TRUE,1,2,0
"cgroup_L5_74daf1c9",FALSE,0,4,0
"cgroup_L5_7784bb43",TRUE,1,2,3
"cgroup_L5_7805eee6",TRUE,1,2,4
"cgroup_L5_7934174c",FALSE,2,0,7
"cgroup_L5_79a73ac5",TRUE,1,1,5
