"cluster_id","study_id","motivo","quota_med","label_paper","quota_pct"
"cgroup_L5_85083e38","GSE181029","modello cellulare (neuroni/progenitori da iPSC, PARK2) dove gli altri sono cervello post-mortem",0.733676063973739,"Parkinson disease vs normal",73.4
"cgroup_L5_85083e38","GSE90469","neuroni dopaminergici derivati da paziente in coltura, non tessuto",0.007495149030619,"Parkinson disease vs normal",0.7
"cgroup_L5_bd19fe42","GSE120663","PBMC (sangue) dove gli altri sono tessuto epatico",0.277395390463565,"Hepatocellular carcinoma vs normal",27.7
"cgroup_L5_bd19fe42","GSE77509","un solo controllo ('Adjacent Normal #3') per tumori di pazienti diversi; include PVTT (trombo portale)",0.397047950096306,"Hepatocellular carcinoma vs normal",39.7
"cgroup_L5_871ae09e","GSE169241","cuore di paziente COVID contro macrofago da cellule ES: materiale diverso (gia' dichiarato 2026-07-30)",0.0240311457083491,"SARS-CoV-2 infection",2.4
"cgroup_L5_871ae09e","GSE151803","'COVID-19 Lung' contro 'hESC Mock': materiale diverso fra i bracci",0.022973002150707,"SARS-CoV-2 infection",2.3
"cgroup_L5_c0d1d837","GSE225481","LAPC4_ENZA e LNCaP_ENZA contro VCaP_DMSO: linea cellulare diversa (gia' dichiarato 2026-07-30)",0.0639508142300735,"Enzalutamide -- AR antagonist",6.4
"cgroup_L5_2e16719f","GSE210984","trattato = MSC derivate da iPSC, controllo = MSC primarie: fonte cellulare diversa",0.0190036607509193,"TGF-beta1",1.9
"cgroup_L5_2e16719f","GSE161176","Passage 24 contro Passage 6 (gia' dichiarato 2026-07-30)",0.0243588696119511,"TGF-beta1",2.4
"cgroup_L5_2e16719f","GSE97358","un confronto (Chinese) contro (Malay) (gia' dichiarato 2026-07-30)",0.0249445554227822,"TGF-beta1",2.5
"cgroup_L5_b71a25a2","GSE78801","DIPG 'pons' contro DIPG 'brain': sede anatomica diversa fra i bracci",0.0475802176602632,"JQ1 (BET bromodomain inhibitor)",4.8
"cgroup_L5_930c8dcf","GSE130247","'DHT and ENZ' = DHT + antagonista, dentro il gruppo dell'agonista",0.042476302292,"DHT (dihydrotestosterone) -- AR agonist",4.2
"cgroup_L5_930c8dcf","GSE99626","'E2 and DHT' = estradiolo + DHT, combinazione non catturata",0.0514665930851357,"DHT (dihydrotestosterone) -- AR agonist",5.1
"cgroup_L5_87c40ebb","GSE124939","IFNg control_4 e control_5 confrontati contro control_1: soggetto diverso",0.0481995590767482,"IFN-gamma",4.8
