"cluster_id","contrast_entity","contrast_direction","contrast_control_key","k","anchor_sbagliato","cambia_in_v15"
"cgroup_L5_f97e50de","CHEBI:64310","gain","vehicle_untreated",11,"CHEBI:5516",FALSE
"cgroup_L5_3b91a21d","MeSH:D009362","gain","vehicle_untreated",8,"MeSH:D015179",FALSE
"cgroup_L5_8b61f50b","CHEBI:41774","gain","vehicle_untreated",7,"CHEBI:44616",FALSE
"cgroup_L5_c860712d","STR:cystic_fibrosis","gain","vehicle_untreated",7,"UNK",FALSE
"cgroup_L5_ba4af011","STR:irradiation","gain","vehicle_untreated",7,"STR:radiation",FALSE
"cgroup_L5_90db4e34","CHEBI:17347","gain","vehicle_untreated",6,"CHEBI:68534",FALSE
"cgroup_L5_165b7913","CHEMBL:CHEMBL2108494","gain","vehicle_untreated",5,"HGNC:5438",FALSE
"cgroup_L5_ff45f67e","COMBO:ionomycin+pma","gain","vehicle_untreated",5,"CHEBI:37537",FALSE
"cgroup_L5_c13b1103","MeSH:D065626","gain","vehicle_untreated",5,"MeSH:D065626",FALSE
"cgroup_L5_538960a6","NCBITaxon:1773","gain","vehicle_untreated",5,"NCBITaxon:1773",FALSE
"cgroup_L5_cfad03a8","STR:hepatoblastoma","gain","vehicle_untreated",5,"UNK",FALSE
"cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771","gain","vehicle_untreated",4,"UNK",FALSE
"cgroup_L5_fea19ca0","HGNC:5434","gain","vehicle_untreated",4,"MeSH:D016899",FALSE
"cgroup_L5_bd40f34f","HGNC:5977","gain","vehicle_untreated",4,"HGNC:6016",FALSE
"cgroup_L5_545a48c6","MeSH:D000077192","gain","vehicle_untreated",4,"MeSH:D002289",FALSE
"cgroup_L5_e25d67cf","NCBITaxon:12814","gain","vehicle_untreated",4,"UNK",FALSE
"cgroup_L5_f51ff620","STR:asthmatic","gain","vehicle_untreated",4,"UNK",FALSE
"cgroup_L5_304e1195","STR:pathogen_or_aggregate_exposure","gain","vehicle_untreated",4,"UNK",FALSE
"cgroup_L5_a747a14e","STR:pm2_5","gain","vehicle_untreated",4,"UNK",FALSE
"cgroup_L5_d5e39a5d","STR:sarcopenia","gain","vehicle_untreated",4,"UNK",FALSE
"cgroup_L5_56d531e8","CHEBI:17154","gain","vehicle_untreated",3,"CHEBI:15378",FALSE
"cgroup_L5_f9769fd6","CHEBI:230495","gain","vehicle_untreated",3,"CHEBI:123456",FALSE
"cgroup_L5_84b52570","CHEBI:231344","gain","vehicle_untreated",3,"CHEBI:134201",FALSE
"cgroup_L5_b3ccf1c1","CHEBI:49960","gain","vehicle_untreated",3,"CHEBI:5070",FALSE
"cgroup_L5_dcfcec80","CHEBI:78432","gain","vehicle_untreated",3,"CHEBI:123456",FALSE
"cgroup_L5_203dc31a","CHEBI:91091","gain","vehicle_untreated",3,"CHEBI:78105",FALSE
"cgroup_L5_f2481870","CHEMBL:CHEMBL2022968","gain","vehicle_untreated",3,"CHEBI:145372",FALSE
"cgroup_L5_855ca642","COMBO:hydrogen+peroxide","gain","vehicle_untreated",3,"CHEBI:16240",FALSE
"cgroup_L5_574b5d0e","HGNC:1100","gain","wild type",3,"MeSH:D001943",FALSE
"cgroup_L5_bff799ca","HGNC:1101","gain","wild type",3,"MeSH:D001943",FALSE
"cgroup_L5_7a9d880a","MeSH:D000077195","gain","vehicle_untreated",3,"MeSH:D000077195",FALSE
"cgroup_L5_6d58c751","MeSH:D008113","gain","vehicle_untreated",3,"MeSH:D006528",FALSE
"cgroup_L5_36a11112","MeSH:D015535","gain","vehicle_untreated",3,"MeSH:D054198",FALSE
"cgroup_L5_bfeacf75","MeSH:D016889","gain","vehicle_untreated",3,"MeSH:D016889",FALSE
"cgroup_L5_38c9104c","NCBITaxon:32644","gain","vehicle_untreated",3,"MeSH:D054198",FALSE
"cgroup_L5_d5e79c9e","STR:diseased","gain","vehicle_untreated",3,"UNK",FALSE
"cgroup_L5_4399f313","STR:epilepsy","gain","vehicle_untreated",3,"UNK",FALSE
"cgroup_L5_cacf5d1a","STR:f_nucleatum","gain","vehicle_untreated",3,"NCBITaxon:851",FALSE
"cgroup_L5_4def5638","STR:fshd1","gain","vehicle_untreated",3,"MeSH:D020391",FALSE
"cgroup_L5_1556072e","STR:interferon_alpha","gain","vehicle_untreated",3,"MeSH:D016898",FALSE
"cgroup_L5_522e9ebd","STR:keratoconus","gain","vehicle_untreated",3,"UNK",FALSE
"cgroup_L5_d6fad784","STR:myotonic_dystrophy_type_1","gain","vehicle_untreated",3,"UNK",FALSE
"cgroup_L5_67e7722b","STR:osteogenic_differentiation","gain","vehicle_untreated",3,"UNK",FALSE
"cgroup_L5_6e9f3913","STR:ovarian_tumor","gain","vehicle_untreated",3,"MeSH:D010051",FALSE
"cgroup_L5_16aef109","STR:p16ink4a_positive_expression","gain","p ink a negative expression",3,"MeSH:D015179",FALSE
"cgroup_L5_067df4a3","STR:radiotherapy","gain","vehicle_untreated",3,"UNK",FALSE
"cgroup_L5_af8f3547","STR:rhinovirus","gain","vehicle_untreated",3,"UNK",FALSE
"cgroup_L5_9de3f0ea","STR:tb_positive","gain","tb negative",3,"NCBITaxon:1773",FALSE
"cgroup_L5_6ce4ac22","STR:tuberculosis","gain","vehicle_untreated",3,"NCBITaxon:1773",FALSE
