"study","ent_off","ent_on","tl","cl"
"GSE125577","STR:tgfb","HGNC:11766","HIBEC P4-6 TGFb stimulated","HIBEC P4-6 Vehicle Control"
"GSE125577","STR:tgfb","HGNC:11766","Primary HIBEC TGFb stimulated","HIBEC P4-6 Vehicle Control"
"GSE130348","STR:tgf_b","HGNC:11766","TGF-B 24H","Untreated"
"GSE130348","STR:tgf_b","HGNC:11766","TGF-B 48H","Untreated"
"GSE137779","STR:tgfb","HGNC:11766","TGFB","Control"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 10d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 6d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 4d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 2d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 24d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 4d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 4d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 4d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 2d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 6d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 8d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 10d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 2d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 4d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 10d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 2d","Untreated"
"GSE145850","STR:tgfb","HGNC:11766","TGFB 4d withdrawn","Untreated"
"GSE147045","STR:il17","HGNC:5981","Intestinal Epithelial Cells (IEC) treated with IL17","Intestinal Epithelial Cells (IEC) treated with Medium"
"GSE147045","STR:il17","HGNC:5981","Intestinal Epithelial Cells (IEC) treated with IL17","Intestinal Epithelial Cells (IEC) treated with Medium"
"GSE148248","STR:tgfb","HGNC:11766","HPAC + TGFb","HPAC + vehicle"
"GSE148248","STR:tgfb","HGNC:11766","PANC0327 + TGFb","PANC0327 + vehicle"
"GSE148248","STR:tgfb","HGNC:11766","PANC1 + TGFb","PANC1 + vehicle"
"GSE148248","STR:tgfb","HGNC:11766","PATU8902 + TGFb","PATU8902 + vehicle"
"GSE152250","STR:tgfb","HGNC:11766","Stellate Cells, TGFb, 24h","Stellate Cells, 24h, CTRL"
"GSE152250","STR:tgfb","HGNC:11766","Stellate Cells, TGFb, 48h","Stellate Cells, 48h, CTRL"
"GSE152250","STR:tgfb","HGNC:11766","Stellate Cells, TGFB, 6h","Stellate Cells, 6h, CTRL"
"GSE152438","STR:il17","HGNC:5981","IL17 stimulated","Control delayed"
"GSE152438","STR:il17","HGNC:5981","IL17 stimulated","Normal control"
"GSE152438","STR:il17","HGNC:5981","IL17 stimulated","Control delayed"
"GSE152438","STR:il17","HGNC:5981","IL17 stimulated","Normal control"
"GSE158542","STR:tgf_b","HGNC:11766","NHLF1 TGF-B","NHLF1 Vehicle Control"
"GSE158542","STR:tgf_b","HGNC:11766","NHLF2 TGF-B","NHLF2 Vehicle Control"
"GSE160990","STR:tgfb","HGNC:11766","TGFB","No Treatment"
"GSE168639","STR:tgfb","HGNC:11766","CAFs + TGFB","NFs + Control"
"GSE168639","STR:tgfb","HGNC:11766","CAFs + TGFB + 1% BDDGE scaffold","NFs + Control"
"GSE178518","STR:tgfb","HGNC:11766","Vehicle A + TGFb","Vehicle A"
"GSE178714","STR:tgfb","HGNC:11766","Wild-type, TGFB, 1h","Wild-type, untreated, 1h"
"GSE178714","STR:tgfb","HGNC:11766","Wild-type, TGFB, 24h","Wild-type, untreated, 24h"
"GSE178714","STR:tgfb","HGNC:11766","SMAD2/SMAD3 KO, TGFB, 1h","SMAD2/SMAD3 KO, untreated, 1h"
"GSE178714","STR:tgfb","HGNC:11766","SMAD2/SMAD3 KO, TGFB, 24h","SMAD2/SMAD3 KO, untreated, 24h"
"GSE178714","STR:tgfb","HGNC:11766","SMAD2/SMAD3 KO, TGFB, 1h","SMAD2/SMAD3 KO, untreated, 1h"
"GSE178714","STR:tgfb","HGNC:11766","SMAD2/SMAD3 KO, TGFB, 24h","SMAD2/SMAD3 KO, untreated, 24h"
"GSE182371","STR:tgf_b","HGNC:11766","Fibroblast TGF-B anti-Ig-G antibody","Fibroblast untreated"
"GSE182371","STR:tgf_b","HGNC:11766","Fibroblast TGF-B","Fibroblast untreated"
"GSE182372","STR:tgf_b","HGNC:11766","fibroblast TGF-B","fibroblast untreated"
"GSE182957","STR:il17","HGNC:5981","IL17","Bronchial epithelial cells differentiated on porous membrane under air-liquid interface condition"
"GSE185200","STR:il17","HGNC:5981","IL17","Untreated Control"
"GSE198683","STR:il_17","HGNC:5981","IL-17 (DonorID 3)","Control"
"GSE198683","STR:il_17","HGNC:5981","IL-17 (DonorID 4)","Control"
"GSE198683","STR:il_17","HGNC:5981","IL-17 (DonorID 1)","Control"
"GSE199154","STR:tgfb","HGNC:11766","TGFb 100 nM 16h DIV63","PBS 100 nM 16h DIV63"
"GSE199154","STR:tgfb","HGNC:11766","TGFb 100 nM 96h DIV63","PBS 100 nM 96h DIV63"
