"ckey","motivo"
"NCBITaxon:11320||gain||vehicle_untreated","resta incoerente sul poolato: GSE113210 ('influenza at AV' => 'Control CV') e' sorveglianza clinica indicata con sigle di visita, ed e' fra i 7 studi poolati. Il rapporto peggiora da 1 su 9 a 1 su 7 perche' sono caduti due studi sperimentali (GSE134817, GSE162632)"
"HGNC:5991||gain||vehicle_untreated","PEGGIORATO dal pooling: i due studi IL-1alfa veri (GSE120784, GSE142706) sono caduti e restano dentro entrambi gli IL-1beta (GSE155141; GSE205853, che e' per giunta IFN-gamma+IL-1beta). Sui 4 studi poolati, 2 misurano un'altra citochina"
"HGNC:5417||gain||vehicle_untreated","RITRATTATO il 2026-07-30 (il verdetto precedente era stato dato su un'etichetta TRONCATA a 58 caratteri). Il testo intero di GSE126517 e' 'R5020 for 6 hours AND IFN-alpha for 18 hours' contro 'EtOH for 6 hours and water for 18 hours': l'interferone c'e' davvero, ma il confronto misura la COMBINAZIONE R5020+IFN-alfa contro doppio veicolo, mentre gli altri due studi poolati misurano IFN-alfa da solo. Resta incoerente per combinazione non catturata (categoria nota), NON perche' misuri un'altra entita'. Lo stesso studio compare correttamente nel gruppo STR:r5020 col braccio R5020 puro"
"CHEBI:59132||gain||vehicle_untreated","invariato (stesso insieme di membri, provato): tre contrasti diversi sotto un'entita' che e' una classe-ombrello ('antigen') — DCVC nefrotossico (GSE154339, dove 'SV40 T antigen' e' il tipo cellulare), 'HHC treated' (GSE179987) e stimolazione antigenica di cellule T CD8+ (GSE229026)"
"STR:adenoma||gain||vehicle_untreated","resta incoerente sul poolato: e' caduto GSE77635 (adenoma del colon) ma restano insieme adenoma ipofisario (GSE208107) e adenoma del colon (GSE72820), piu' GSE222298 la cui sede non e' deducibile dalle etichette"
"HGNC:6011||gain||vehicle_untreated","PEGGIORATO dal pooling: e' caduto uno studio di IL-3 vera (GSE110041) mentre resta GSE93620, dove 'iL3' sono le larve infettive di stadio 3 del nematode A. ceylanicum. Sui 3 studi poolati, 1 non e' l'interleuchina"
"MeSH:D009362||gain||vehicle_untreated","entita' che e' una classe: 'Neoplasm Metastasis' mescola tumori primari diversi (colon->fegato, ovaio->omento) e un membro che confronta stadi (M1 vs M0), non malattia vs sano; due membri isolano solo cellule endoteliali"
"CHEMBL:CHEMBL2108494||gain||vehicle_untreated","entita' che e' una classe: l'ID ChEMBL e' 'INTERFERON' generico e il gruppo mescola IFN-gamma e IFN-alfa, che hanno recettori e vie diverse (tipo II contro tipo I)"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","due membri su quattro sono difettosi: uno e' etichettato 'attivate IN ASSENZA di IL-10' ma classificato come braccio trattato; l'altro confronta una cellula differenziata trattata contro una non differenziata (due cose insieme)"
"MeSH:D000077192||gain||vehicle_untreated","clinico contro sperimentale: due studi su tessuto di paziente, uno su linee immortalizzate; e un membro usa la stessa linea tumorale come proprio 'controllo normale'"
"NCBITaxon:12814||gain||vehicle_untreated","clinico contro sperimentale: pazienti RSV a visita acuta contro convalescente, insieme a infezioni in vitro su colture (A549, H292, HBEC, NHBE)"
"STR:asthmatic||gain||vehicle_untreated","materiali incompatibili: lo stesso studio contribuisce sia epitelio nasale sia sangue periferico allo stesso gruppo asma-vs-normale"
"STR:pathogen_or_aggregate_exposure||gain||vehicle_untreated","l'entita' e' il NOME DELLA CATEGORIA, non una cosa: sotto finiscono tessuto mammario esposto, tumore testa-collo HPV+, S. epidermidis su CD34+, neuroblastoma con RNA virale"
"MeSH:D008113||gain||vehicle_untreated","il controllo non e' un controllo: un membro confronta tessuto di epatocarcinoma contro HepG2, che e' una linea cellulare di epatocarcinoma, non tessuto sano"
"MeSH:D016889||gain||vehicle_untreated","tre materiali biologici diversi sotto la stessa entita': monociti circolanti, macrofagi infiltranti il tumore, e tessuto in blocco"
"NCBITaxon:32644||gain||vehicle_untreated","l'entita' e' il segnaposto 'unidentified' (NCBITaxon:32644) e i membri lo confermano: tre interventi scollegati, etichette degeneri"
"STR:diseased||gain||vehicle_untreated","'diseased' e' una classe, non una malattia: tessuto malato non specificato, fibrosi polmonare, valvola aortica"
"STR:fshd1||gain||vehicle_untreated","clinico contro sperimentale: biopsie muscolari di pazienti FSHD1 insieme a mioblasti coltivati e fibre da hIPS, dove il gene causale DUX4 e' notoriamente meno stabile"
"STR:myotonic_dystrophy_type_1||gain||vehicle_untreated","il controllo non e' un controllo: 'DM1 digitorum/bicipite/deltoide/diaframma' confrontati tutti contro 'quadricipite di controllo' — cambiano insieme malattia e sede anatomica"
"STR:osteogenic_differentiation||gain||vehicle_untreated","tre disegni diversi: un vero prima/dopo, un confronto fra due tipi cellulari distinti, e uno che cambia insieme origine cellulare e stato di differenziazione"
