"cluster_id","gene","logFC_pool","k_pooled","n_studi_con_il_gene","n_concordi","frazione_concorde"
"cgroup_L5_930c8dcf","KLK3",2.26707723818898,14,14,13,0.928571428571429
"cgroup_L5_930c8dcf","TMPRSS2",1.78028283973267,19,19,17,0.894736842105263
"cgroup_L5_930c8dcf","FKBP5",2.32173879393534,23,23,21,0.91304347826087
"cgroup_L5_930c8dcf","NKX3-1",1.36843796916377,23,23,20,0.869565217391304
"cgroup_L5_c0d1d837","KLK3",-1.59987238717332,15,15,13,0.866666666666667
"cgroup_L5_c0d1d837","TMPRSS2",-0.921993186385833,18,18,13,0.722222222222222
"cgroup_L5_c0d1d837","FKBP5",-1.22319860918617,19,19,16,0.842105263157895
"cgroup_L5_c0d1d837","NKX3-1",-1.23938831603535,19,19,16,0.842105263157895
"cgroup_L5_2e16719f","SERPINE1",2.42942450791329,59,59,55,0.932203389830508
"cgroup_L5_2e16719f","CCN2",1.6901291772309,59,59,53,0.898305084745763
"cgroup_L5_2e16719f","SMAD7",1.4139703593602,59,59,54,0.915254237288136
"cgroup_L5_2e16719f","JUNB",1.2184998175086,58,58,50,0.862068965517241
"cgroup_L5_2e16719f","TGFBI",2.15407553127315,59,59,56,0.949152542372881
"cgroup_L5_2e16719f","COL1A1",1.71676839870556,59,59,52,0.88135593220339
"cgroup_L5_871ae09e","IFIT1",2.19755906466791,33,33,31,0.939393939393939
"cgroup_L5_871ae09e","ISG15",1.64052355644974,34,34,28,0.823529411764706
"cgroup_L5_871ae09e","MX1",1.89199823777978,34,34,27,0.794117647058823
"cgroup_L5_871ae09e","OAS1",1.30826264686141,34,34,28,0.823529411764706
"cgroup_L5_87c40ebb","STAT1",2.89399882798359,20,20,20,1
"cgroup_L5_87c40ebb","GBP1",5.97680442219669,20,20,20,1
"cgroup_L5_87c40ebb","CXCL9",11.2710710341682,15,15,15,1
"cgroup_L5_87c40ebb","TAP1",3.47180310193525,16,16,16,1
"cgroup_L5_87c40ebb","IRF1",4.4490213977241,20,20,20,1
