"cluster_id","k_effective","n_studi_poolati","contrast_entity","contrast_entity_label","contrast_direction","contrast_control_key","k_eff_mio","k_censito","n_studi_censiti","scarto"
"cgroup_L5_004d293d",5,5,"CHEBI:49603","lapatinib","gain","vehicle_untreated",5,9,9,0
"cgroup_L5_00fd9348",3,3,"CHEBI:8499","propranolol","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_021e875e",17,17,"CHEBI:27899","cisplatin","gain","vehicle_untreated",17,30,30,0
"cgroup_L5_034592d9",3,3,"NCBITaxon:1282","Staphylococcus epidermidis","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_03b38818",9,9,"CHEBI:63637","vemurafenib","gain","vehicle_untreated",9,20,20,0
"cgroup_L5_03d0ca7b",3,3,"CHEBI:4551","digoxin","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_05322ba1",3,3,"CHEBI:71019","omacetaxine","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_089ccae5",5,5,"CHEBI:52717","bortezomib","gain","vehicle_untreated",5,8,8,0
"cgroup_L5_0e66597e",12,12,"CHEBI:31638","fulvestrant","gain","vehicle_untreated",12,15,15,0
"cgroup_L5_10344dfd",4,4,"CHEBI:4167","D-glucopyranose","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_12212e41",8,8,"STR:multiple_sclerosis","multiple sclerosis","gain","vehicle_untreated",8,9,9,0
"cgroup_L5_12228932",5,5,"HGNC:3229","EGF","gain","vehicle_untreated",5,12,12,0
"cgroup_L5_16525349",4,4,"CHEBI:78543","ponatinib","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_17b35bdc",4,4,"CHEBI:4672","docetaxel","gain","vehicle_untreated",4,8,8,0
"cgroup_L5_17b55386",4,4,"STR:fshd","fshd","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_1bbf4b9b",6,6,"MeSH:D013274","Stomach Neoplasms","gain","vehicle_untreated",6,8,8,0
"cgroup_L5_1d96b9da",10,10,"CHEBI:84491","poly(I:C)","gain","vehicle_untreated",10,16,16,0
"cgroup_L5_1e8a735e",3,3,"CHEBI:9516","thapsigargin","gain","vehicle_untreated",3,6,6,0
"cgroup_L5_2248a891",3,3,"CHEBI:42471","forskolin","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_24ae0579",3,3,"CHEBI:47898","4'-epidoxorubicin","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_28bee975",3,3,"CHEMBL:CHEMBL3987016","MIVEBRESIB","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_2987cdb6",7,7,"CHEBI:114785","erlotinib","gain","vehicle_untreated",7,10,10,0
"cgroup_L5_29cb04f8",6,6,"CHEBI:46345","5-fluorouracil","gain","vehicle_untreated",6,11,11,0
"cgroup_L5_2a225fda",4,4,"STR:asthma","asthma","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_2ab433c8",6,6,"HGNC:14900","IL22","gain","vehicle_untreated",6,6,6,0
"cgroup_L5_2d53def6",3,3,"HGNC:6005","IL21","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_2e16719f",59,59,"HGNC:11766","TGFB1","gain","vehicle_untreated",59,78,78,0
"cgroup_L5_2ec87595",8,8,"CHEBI:6801","metformin","gain","vehicle_untreated",8,12,12,0
"cgroup_L5_31308596",5,5,"CHEBI:37537","PMA (phorbol 12-myristate 13-acetate)","gain","vehicle_untreated",5,8,8,0
"cgroup_L5_3370a794",4,4,"CHEBI:145372","gilteritinib","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_3439da02",4,4,"CHEBI:68478","everolimus","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_344e058f",3,3,"HGNC:1071","BMP4","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_356eedd3",3,3,"CHEBI:46024","trichostatin A","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_35d1be10",8,8,"STR:nutlin_3a","nutlin 3a","gain","vehicle_untreated",8,10,10,0
"cgroup_L5_3668c2c2",3,3,"CHEMBL:CHEMBL4297771","INTERLEUKIN-10","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_37942548",4,4,"CHEBI:15367","all-trans-retinoic acid","gain","vehicle_untreated",4,7,7,0
"cgroup_L5_37ecd157",4,4,"STR:vegf","vegf","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_3824dc37",6,6,"STR:nash","nash","gain","vehicle_untreated",6,7,7,0
"cgroup_L5_387b0d1a",3,3,"MeSH:D003922","Diabetes Mellitus, Type 1","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_3973fe03",4,4,"HGNC:5991","IL1A","gain","vehicle_untreated",4,6,6,0
"cgroup_L5_3a0a595f",10,10,"CHEBI:49375","dasatinib","gain","vehicle_untreated",10,11,11,0
"cgroup_L5_3a58e5f5",3,3,"CHEBI:15551","prostaglandin E2","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_3a625868",4,4,"CHEBI:231601","trastuzumab","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_3b461817",4,4,"CHEBI:52172","nilotinib","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_3b91a21d",6,6,"MeSH:D009362","Neoplasm Metastasis","gain","vehicle_untreated",6,8,8,0
"cgroup_L5_3be7454c",3,3,"HGNC:5417","IFNA1","gain","vehicle_untreated",3,6,6,0
"cgroup_L5_3d8c29f4",4,4,"HGNC:6001","IL2","gain","vehicle_untreated",4,6,6,0
"cgroup_L5_3de56a79",3,3,"STR:pdac","pdac","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_3eaa92c9",5,5,"CHEBI:50122","rosiglitazone","gain","vehicle_untreated",5,5,5,0
"cgroup_L5_3ec58cd6",7,7,"STR:obese","obese","gain","vehicle_untreated",7,7,7,0
"cgroup_L5_3f0cc1fe",4,4,"MeSH:D003093","Colitis, Ulcerative","gain","vehicle_untreated",4,10,10,0
"cgroup_L5_3fa847fe",3,3,"STR:osteoarthritis","osteoarthritis","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_4041e3af",5,5,"CHEBI:95077","GSK-J4","gain","vehicle_untreated",5,5,5,0
"cgroup_L5_41f7b088",8,8,"CHEBI:49668","gefitinib","gain","vehicle_untreated",8,11,11,0
"cgroup_L5_444e7fc2",9,9,"NCBITaxon:10359","HCMV (human cytomegalovirus)","gain","vehicle_untreated",9,12,12,0
"cgroup_L5_455fe91d",3,3,"CHEBI:86193","DAPT","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_469db990",3,3,"STR:nahs","nahs","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_46a3a103",7,7,"STR:radiation","radiation","gain","vehicle_untreated",7,9,9,0
"cgroup_L5_4753688f",7,7,"STR:r5020","r5020","gain","vehicle_untreated",7,8,8,0
"cgroup_L5_479c6221",5,5,"CHEBI:124921","GSK126","gain","vehicle_untreated",5,9,9,0
"cgroup_L5_49d55bfd",10,10,"HGNC:6014","IL4","gain","vehicle_untreated",10,14,14,0
"cgroup_L5_49e290ae",4,4,"CHEBI:4031","cyclosporin A","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_4b901bf1",9,9,"STR:psoriasis","psoriasis","gain","vehicle_untreated",9,10,10,0
"cgroup_L5_4be9e90d",4,4,"CHEBI:39421","PFOS","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_4d535f25",3,3,"STR:ykl_5_124","ykl 5 124","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_4f4d9051",6,6,"CHEMBL:CHEMBL265582","TNF-ALPHA","gain","vehicle_untreated",6,7,7,0
"cgroup_L5_516200d1",3,3,"CHEBI:29073","L-ascorbic acid","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_522e9ebd",3,3,"STR:keratoconus","keratoconus","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_522fa0c2",4,4,"STR:sals","sals","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_523e64b9",3,3,"CHEBI:67271","MK-2206","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_535d97f6",9,9,"CHEBI:45783","imatinib","gain","vehicle_untreated",9,13,13,0
"cgroup_L5_538960a6",4,4,"NCBITaxon:1773","mycobacteriumtuberculosis","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_545a48c6",3,3,"MeSH:D000077192","Adenocarcinoma of Lung","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_56d531e8",3,3,"CHEBI:17154","nicotinamide","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_5927750b",4,4,"CHEBI:65347","carfilzomib","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_5929f298",3,3,"STR:snx631","snx631","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_5b9a08fb",3,3,"CHEBI:44185","methotrexate","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_5d97d5b1",3,3,"CHEBI:59132","antigen (classe-ombrello)","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_5e0c0fae",4,4,"CHEMBL:CHEMBL1201576","RITUXIMAB","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_601ede7b",10,10,"CHEBI:90943","osimertinib","gain","vehicle_untreated",10,14,14,0
"cgroup_L5_63e69fdc",6,6,"MeSH:D000544","Alzheimer Disease","gain","vehicle_untreated",6,7,7,0
"cgroup_L5_6b7b8076",3,3,"MeSH:D000077273","Thyroid Cancer, Papillary","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_6df6a50e",13,13,"CHEBI:50924","sorafenib","gain","vehicle_untreated",13,17,17,0
"cgroup_L5_6ee86f02",3,3,"MeSH:D013167","Spondylitis, Ankylosing","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_702a5dea",9,9,"CHEBI:75998","trametinib","gain","vehicle_untreated",9,15,15,0
"cgroup_L5_721184e6",11,11,"CHEBI:230500","THZ1","gain","vehicle_untreated",11,18,18,0
"cgroup_L5_729b276d",3,3,"MeSH:D016640","Diabetes, Gestational","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_74daf1c9",4,4,"STR:oscc","oscc","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_7784bb43",6,6,"STR:pcos","pcos","gain","vehicle_untreated",6,6,6,0
"cgroup_L5_7805eee6",7,7,"STR:covid_19","covid 19","gain","vehicle_untreated",7,12,12,0
"cgroup_L5_7934174c",9,9,"CHEBI:231598","tazemetostat","gain","vehicle_untreated",9,13,13,0
"cgroup_L5_79a73ac5",7,7,"NCBITaxon:11320","Influenza A virus","gain","vehicle_untreated",7,9,9,0
"cgroup_L5_79b3a442",3,3,"STR:cteph","cteph","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_79ce3bd1",6,6,"CHEBI:3139","bleomycin A2","gain","vehicle_untreated",6,10,10,0
