"cluster_id","original_k","qc_final_k","original_n_studies","qc_final_n_studies","reason","reason_keff","k_eff_dichiarato","k_eff_mio","scarto"
"cgroup_L5_64fbeb97",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_b3bbf8e4",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_61352c9e",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_63180d66",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_86417b40",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_b45f7252",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_8e775709",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_0b985869",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_ef9b09df",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_8be26844",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_5a202240",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_5d1a5c5f",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_5756018b",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_34376df0",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_c5c72bba",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","0",0,0,0
"cgroup_L5_b967c97c",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_f9769fd6",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_f44b01e2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_417c69a3",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_84b52570",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
