"cluster_id","k_eff_mio","k_censito","n_studi_censiti","entita","direzione","control_key"
"cgroup_L5_64fbeb97",2,4,4,"CHEBI:102218","gain","vehicle_untreated"
"cgroup_L5_2987cdb6",7,10,10,"CHEBI:114785","gain","vehicle_untreated"
"cgroup_L5_479c6221",5,9,9,"CHEBI:124921","gain","vehicle_untreated"
"cgroup_L5_b3bbf8e4",1,3,3,"CHEBI:125628","gain","vehicle_untreated"
"cgroup_L5_61352c9e",2,3,3,"CHEBI:132082","gain","vehicle_untreated"
"cgroup_L5_b71a25a2",25,41,41,"CHEBI:137113","gain","vehicle_untreated"
"cgroup_L5_63180d66",2,3,3,"CHEBI:138438","gain","vehicle_untreated"
"cgroup_L5_86417b40",2,3,3,"CHEBI:140908","gain","vehicle_untreated"
"cgroup_L5_b45f7252",2,3,3,"CHEBI:142708","gain","vehicle_untreated"
"cgroup_L5_b9e7806c",3,7,7,"CHEBI:143122","gain","vehicle_untreated"
"cgroup_L5_3370a794",4,4,4,"CHEBI:145372","gain","vehicle_untreated"
"cgroup_L5_8e775709",2,4,4,"CHEBI:145431","gain","vehicle_untreated"
"cgroup_L5_e17c136b",3,4,4,"CHEBI:145535","gain","vehicle_untreated"
"cgroup_L5_ff78d2a8",3,5,5,"CHEBI:15365","gain","vehicle_untreated"
"cgroup_L5_37942548",4,7,7,"CHEBI:15367","gain","vehicle_untreated"
"cgroup_L5_3a58e5f5",3,4,4,"CHEBI:15551","gain","vehicle_untreated"
"cgroup_L5_d28620cd",3,3,3,"CHEBI:15738","gain","vehicle_untreated"
"cgroup_L5_dde29fb4",8,20,20,"CHEBI:16240","gain","vehicle_untreated"
"cgroup_L5_930c8dcf",23,34,34,"CHEBI:16330","gain","vehicle_untreated"
"cgroup_L5_0b985869",2,3,3,"CHEBI:16335","gain","vehicle_untreated"
"cgroup_L5_c548d053",35,50,50,"CHEBI:16412","gain","vehicle_untreated"
"cgroup_L5_a12414d4",10,16,16,"CHEBI:16469","gain","vehicle_untreated"
"cgroup_L5_862cd9b9",3,3,3,"CHEBI:167670","gain","vehicle_untreated"
"cgroup_L5_ef9b09df",2,5,5,"CHEBI:167693","gain","vehicle_untreated"
"cgroup_L5_8be26844",1,4,4,"CHEBI:16796","gain","vehicle_untreated"
"cgroup_L5_8341bee7",3,3,3,"CHEBI:17026","gain","vehicle_untreated"
"cgroup_L5_56d531e8",3,3,3,"CHEBI:17154","gain","vehicle_untreated"
"cgroup_L5_5a202240",2,3,3,"CHEBI:17234","gain","vehicle_untreated"
"cgroup_L5_5d1a5c5f",1,4,4,"CHEBI:173109","gain","vehicle_untreated"
"cgroup_L5_90db4e34",3,6,6,"CHEBI:17347","gain","vehicle_untreated"
"cgroup_L5_a8015c98",5,7,7,"CHEBI:175901","gain","vehicle_untreated"
"cgroup_L5_5756018b",1,3,3,"CHEBI:176844","gain","vehicle_untreated"
"cgroup_L5_34376df0",1,3,3,"CHEBI:18357","gain","vehicle_untreated"
"cgroup_L5_c5c72bba",0,3,3,"CHEBI:189651","gain","vehicle_untreated"
"cgroup_L5_b967c97c",2,4,4,"CHEBI:195599","gain","vehicle_untreated"
"cgroup_L5_93068469",4,6,6,"CHEBI:2038","gain","vehicle_untreated"
"cgroup_L5_b5db4aff",4,5,5,"CHEBI:229764","gain","vehicle_untreated"
"cgroup_L5_ea4a1823",3,3,3,"CHEBI:22984","gain","vehicle_untreated"
"cgroup_L5_9f0ea111",3,4,4,"CHEBI:230484","gain","vehicle_untreated"
"cgroup_L5_dc7451b1",7,8,8,"CHEBI:230493","gain","vehicle_untreated"
"cgroup_L5_f9769fd6",1,3,3,"CHEBI:230495","gain","vehicle_untreated"
"cgroup_L5_721184e6",11,18,18,"CHEBI:230500","gain","vehicle_untreated"
"cgroup_L5_aa8c1d6d",5,9,9,"CHEBI:230508","gain","vehicle_untreated"
"cgroup_L5_f44b01e2",2,4,4,"CHEBI:230905","gain","vehicle_untreated"
"cgroup_L5_417c69a3",2,4,4,"CHEBI:231324","gain","vehicle_untreated"
"cgroup_L5_84b52570",2,3,3,"CHEBI:231344","gain","vehicle_untreated"
"cgroup_L5_7934174c",9,13,13,"CHEBI:231598","gain","vehicle_untreated"
"cgroup_L5_3a625868",4,5,5,"CHEBI:231601","gain","vehicle_untreated"
"cgroup_L5_2618c026",2,3,3,"CHEBI:232613","gain","vehicle_untreated"
"cgroup_L5_a3f0c959",3,4,4,"CHEBI:232752","gain","vehicle_untreated"
"cgroup_L5_0dd60753",1,7,7,"CHEBI:233362","gain","vehicle_untreated"
"cgroup_L5_8b65b3ff",2,4,4,"CHEBI:233363","gain","vehicle_untreated"
"cgroup_L5_f01e9f74",2,3,3,"CHEBI:233643","gain","vehicle_untreated"
"cgroup_L5_a48d6990",1,4,4,"CHEBI:25255","gain","vehicle_untreated"
"cgroup_L5_fde7b89b",0,3,3,"CHEBI:2704","gain","vehicle_untreated"
"cgroup_L5_57810d6c",1,3,3,"CHEBI:27881","gain","vehicle_untreated"
"cgroup_L5_021e875e",17,30,30,"CHEBI:27899","gain","vehicle_untreated"
"cgroup_L5_f956ef98",5,7,7,"CHEBI:28119","gain","vehicle_untreated"
"cgroup_L5_d7abf612",3,3,3,"CHEBI:28201","gain","vehicle_untreated"
"cgroup_L5_26c302f6",1,3,3,"CHEBI:28680","gain","vehicle_untreated"
"cgroup_L5_8a54ddd6",14,27,27,"CHEBI:28748","gain","vehicle_untreated"
"cgroup_L5_3d3658ad",2,3,3,"CHEBI:28777","gain","vehicle_untreated"
"cgroup_L5_516200d1",3,4,4,"CHEBI:29073","gain","vehicle_untreated"
"cgroup_L5_d411c435",5,6,6,"CHEBI:29699","gain","vehicle_untreated"
"cgroup_L5_79ce3bd1",6,10,10,"CHEBI:3139","gain","vehicle_untreated"
"cgroup_L5_0e66597e",12,15,15,"CHEBI:31638","gain","vehicle_untreated"
"cgroup_L5_d8006c5b",3,4,4,"CHEBI:31941","gain","vehicle_untreated"
"cgroup_L5_60d9a5bf",2,4,4,"CHEBI:32588","gain","vehicle_untreated"
"cgroup_L5_1c7b64af",2,3,3,"CHEBI:3638","gain","vehicle_untreated"
"cgroup_L5_8078374b",1,3,3,"CHEBI:37415","gain","vehicle_untreated"
"cgroup_L5_31308596",5,8,8,"CHEBI:37537","gain","vehicle_untreated"
"cgroup_L5_f94b6180",22,26,26,"CHEBI:379896","gain","vehicle_untreated"
"cgroup_L5_efced505",9,11,11,"CHEBI:38940","gain","vehicle_untreated"
"cgroup_L5_f97e665a",2,6,6,"CHEBI:39112","gain","vehicle_untreated"
"cgroup_L5_4be9e90d",4,4,4,"CHEBI:39421","gain","vehicle_untreated"
"cgroup_L5_d7ad915e",7,8,8,"CHEBI:39867","gain","vehicle_untreated"
"cgroup_L5_62404e11",2,4,4,"CHEBI:4026","gain","vehicle_untreated"
"cgroup_L5_49e290ae",4,5,5,"CHEBI:4031","gain","vehicle_untreated"
"cgroup_L5_10344dfd",4,5,5,"CHEBI:4167","gain","vehicle_untreated"
"cgroup_L5_ff04c7c1",2,4,4,"CHEBI:4167","loss","vehicle_untreated"
"cgroup_L5_8b61f50b",4,7,7,"CHEBI:41774","gain","vehicle_untreated"
"cgroup_L5_eb5e1e65",13,20,20,"CHEBI:41879","gain","vehicle_untreated"
"cgroup_L5_dcce160a",4,5,5,"CHEBI:41977","gain","vehicle_untreated"
