"cluster_id","key","ruolo","contrast_entity","contrast_direction","contrast_control_key","k","n_studies","level"
"cgroup_L5_004d293d","CHEBI:49603||gain","vincente","CHEBI:49603","gain","vehicle_untreated",9,9,5
"cgroup_L5_00fd9348","CHEBI:8499||gain","vincente","CHEBI:8499","gain","vehicle_untreated",3,3,5
"cgroup_L5_021e875e","CHEBI:27899||gain","vincente","CHEBI:27899","gain","vehicle_untreated",30,30,5
"cgroup_L5_034592d9","NCBITaxon:1282||gain","vincente","NCBITaxon:1282","gain","vehicle_untreated",3,3,5
"cgroup_L5_03544ab6","STR:covid||gain","vincente","STR:covid","gain","vehicle_untreated",3,3,5
"cgroup_L5_03b38818","CHEBI:63637||gain","vincente","CHEBI:63637","gain","vehicle_untreated",20,20,5
"cgroup_L5_03d0ca7b","CHEBI:4551||gain","vincente","CHEBI:4551","gain","vehicle_untreated",5,5,5
"cgroup_L5_05322ba1","CHEBI:71019||gain","vincente","CHEBI:71019","gain","vehicle_untreated",3,3,5
"cgroup_L5_067df4a3","STR:radiotherapy||gain","vincente","STR:radiotherapy","gain","vehicle_untreated",3,3,5
"cgroup_L5_06ff1592","CHEBI:5118||gain","vincente","CHEBI:5118","gain","vehicle_untreated",3,3,5
"cgroup_L5_089ccae5","CHEBI:52717||gain","vincente","CHEBI:52717","gain","vehicle_untreated",8,8,5
"cgroup_L5_0a4e5f58","CHEMBL:CHEMBL3544911||gain","vincente","CHEMBL:CHEMBL3544911","gain","vehicle_untreated",3,3,5
"cgroup_L5_0a71325c","CHEBI:90217||gain","vincente","CHEBI:90217","gain","vehicle_untreated",3,3,5
"cgroup_L5_0b985869","CHEBI:16335||gain","vincente","CHEBI:16335","gain","vehicle_untreated",3,3,5
"cgroup_L5_0dd60753","CHEBI:233362||gain","vincente","CHEBI:233362","gain","vehicle_untreated",7,7,5
"cgroup_L5_0e1c93f7","STR:obese||gain","scartato","STR:obese","gain","lean",3,3,5
"cgroup_L5_0e66597e","CHEBI:31638||gain","vincente","CHEBI:31638","gain","vehicle_untreated",15,15,5
"cgroup_L5_10344dfd","CHEBI:4167||gain","vincente","CHEBI:4167","gain","vehicle_untreated",5,5,5
"cgroup_L5_12212e41","STR:multiple_sclerosis||gain","vincente","STR:multiple_sclerosis","gain","vehicle_untreated",9,9,5
"cgroup_L5_12228932","HGNC:3229||gain","vincente","HGNC:3229","gain","vehicle_untreated",12,12,5
"cgroup_L5_1556072e","STR:interferon_alpha||gain","vincente","STR:interferon_alpha","gain","vehicle_untreated",3,3,5
"cgroup_L5_16525349","CHEBI:78543||gain","vincente","CHEBI:78543","gain","vehicle_untreated",4,4,5
"cgroup_L5_165b7913","CHEMBL:CHEMBL2108494||gain","vincente","CHEMBL:CHEMBL2108494","gain","vehicle_untreated",5,5,5
"cgroup_L5_16aef109","STR:p16ink4a_positive_expression||gain","vincente","STR:p16ink4a_positive_expression","gain","p ink a negative expression",3,3,5
"cgroup_L5_17b35bdc","CHEBI:4672||gain","vincente","CHEBI:4672","gain","vehicle_untreated",8,8,5
"cgroup_L5_17b55386","STR:fshd||gain","vincente","STR:fshd","gain","vehicle_untreated",4,4,5
"cgroup_L5_1bbf4b9b","MeSH:D013274||gain","vincente","MeSH:D013274","gain","vehicle_untreated",8,8,5
"cgroup_L5_1c583f9b","HGNC:11998||block","vincente","HGNC:11998","block","vehicle_untreated",3,3,5
"cgroup_L5_1c7b64af","CHEBI:3638||gain","vincente","CHEBI:3638","gain","vehicle_untreated",3,3,5
"cgroup_L5_1d4f4a13","CHEMBL:CHEMBL1201583||gain","vincente","CHEMBL:CHEMBL1201583","gain","vehicle_untreated",3,3,5
"cgroup_L5_1d96b9da","CHEBI:84491||gain","vincente","CHEBI:84491","gain","vehicle_untreated",16,16,5
"cgroup_L5_1e8a735e","CHEBI:9516||gain","vincente","CHEBI:9516","gain","vehicle_untreated",6,6,5
"cgroup_L5_203dc31a","CHEBI:91091||gain","vincente","CHEBI:91091","gain","vehicle_untreated",3,3,5
"cgroup_L5_206576be","HGNC:2434||gain","vincente","HGNC:2434","gain","vehicle_untreated",3,3,5
"cgroup_L5_2248a891","CHEBI:42471||gain","vincente","CHEBI:42471","gain","vehicle_untreated",5,5,5
"cgroup_L5_24ae0579","CHEBI:47898||gain","vincente","CHEBI:47898","gain","vehicle_untreated",3,3,5
"cgroup_L5_2618c026","CHEBI:232613||gain","vincente","CHEBI:232613","gain","vehicle_untreated",3,3,5
"cgroup_L5_26c302f6","CHEBI:28680||gain","vincente","CHEBI:28680","gain","vehicle_untreated",3,3,5
"cgroup_L5_27f3255f","STR:rbm4_knockdown||block","vincente","STR:rbm4_knockdown","block","vehicle_untreated",4,4,5
"cgroup_L5_28bee975","CHEMBL:CHEMBL3987016||gain","vincente","CHEMBL:CHEMBL3987016","gain","vehicle_untreated",3,3,5
"cgroup_L5_2987cdb6","CHEBI:114785||gain","vincente","CHEBI:114785","gain","vehicle_untreated",10,10,5
"cgroup_L5_29cb04f8","CHEBI:46345||gain","vincente","CHEBI:46345","gain","vehicle_untreated",11,11,5
"cgroup_L5_2a225fda","STR:asthma||gain","vincente","STR:asthma","gain","vehicle_untreated",5,5,5
"cgroup_L5_2ab433c8","HGNC:14900||gain","vincente","HGNC:14900","gain","vehicle_untreated",6,6,5
"cgroup_L5_2d53def6","HGNC:6005||gain","vincente","HGNC:6005","gain","vehicle_untreated",5,5,5
"cgroup_L5_2e16719f","HGNC:11766||gain","vincente","HGNC:11766","gain","vehicle_untreated",78,78,5
"cgroup_L5_2ec87595","CHEBI:6801||gain","vincente","CHEBI:6801","gain","vehicle_untreated",12,12,5
"cgroup_L5_2f86628a","MeSH:D015470||gain","vincente","MeSH:D015470","gain","vehicle_untreated",3,3,5
"cgroup_L5_304e1195","STR:pathogen_or_aggregate_exposure||gain","vincente","STR:pathogen_or_aggregate_exposure","gain","vehicle_untreated",4,4,5
"cgroup_L5_31308596","CHEBI:37537||gain","vincente","CHEBI:37537","gain","vehicle_untreated",8,8,5
"cgroup_L5_3370a794","CHEBI:145372||gain","vincente","CHEBI:145372","gain","vehicle_untreated",4,4,5
"cgroup_L5_34376df0","CHEBI:18357||gain","vincente","CHEBI:18357","gain","vehicle_untreated",3,3,5
"cgroup_L5_3437775a","CHEBI:91450||gain","vincente","CHEBI:91450","gain","vehicle_untreated",3,3,5
"cgroup_L5_3439da02","CHEBI:68478||gain","vincente","CHEBI:68478","gain","vehicle_untreated",5,5,5
"cgroup_L5_344e058f","HGNC:1071||gain","vincente","HGNC:1071","gain","vehicle_untreated",5,5,5
