"cluster_id","k_dispatch","k_diag"
"cgroup_L5_64fbeb97",2,2
"cgroup_L5_2987cdb6",7,7
"cgroup_L5_479c6221",5,5
"cgroup_L5_b3bbf8e4",1,1
"cgroup_L5_61352c9e",2,2
"cgroup_L5_b71a25a2",25,25
"cgroup_L5_63180d66",2,2
"cgroup_L5_86417b40",2,2
"cgroup_L5_b45f7252",2,2
"cgroup_L5_b9e7806c",3,3
"cgroup_L5_3370a794",4,4
"cgroup_L5_8e775709",2,2
"cgroup_L5_e17c136b",3,3
"cgroup_L5_ff78d2a8",3,3
"cgroup_L5_37942548",4,4
"cgroup_L5_3a58e5f5",3,3
"cgroup_L5_d28620cd",3,3
"cgroup_L5_dde29fb4",8,8
"cgroup_L5_930c8dcf",23,23
"cgroup_L5_0b985869",2,2
"cgroup_L5_c548d053",35,35
"cgroup_L5_a12414d4",10,10
"cgroup_L5_862cd9b9",3,3
"cgroup_L5_ef9b09df",2,2
"cgroup_L5_8be26844",1,1
"cgroup_L5_8341bee7",3,3
"cgroup_L5_56d531e8",3,3
"cgroup_L5_5a202240",2,2
"cgroup_L5_5d1a5c5f",1,1
"cgroup_L5_90db4e34",3,3
"cgroup_L5_a8015c98",5,5
"cgroup_L5_5756018b",1,1
"cgroup_L5_34376df0",1,1
"cgroup_L5_c5c72bba",0,0
"cgroup_L5_b967c97c",2,2
"cgroup_L5_93068469",4,4
"cgroup_L5_b5db4aff",4,4
"cgroup_L5_ea4a1823",3,3
"cgroup_L5_9f0ea111",3,3
"cgroup_L5_dc7451b1",7,7
"cgroup_L5_f9769fd6",1,1
"cgroup_L5_721184e6",11,11
"cgroup_L5_aa8c1d6d",5,5
"cgroup_L5_f44b01e2",2,2
"cgroup_L5_417c69a3",2,2
"cgroup_L5_84b52570",2,2
"cgroup_L5_7934174c",9,9
"cgroup_L5_3a625868",4,4
"cgroup_L5_2618c026",2,2
"cgroup_L5_a3f0c959",3,3
"cgroup_L5_0dd60753",1,1
"cgroup_L5_8b65b3ff",2,2
