"cluster_id","record_id","esito","study_id"
"cgroup_L5_64fbeb97","GSE162834__GSE162834__DMOG_vs_DMSO__1","RISOLTO","GSE162834"
"cgroup_L5_64fbeb97","GSE189504__GSE189504__DMOG_vs_untreated__1","RISOLTO","GSE189504"
"cgroup_L5_64fbeb97","GSE190240__GSE190240__grp_0002_vs_grp_0006__1","bracci_sotto_n_min","GSE190240"
"cgroup_L5_64fbeb97","GSE204929__GSE204929__grp_0009_vs_grp_0006__1","bracci_sotto_n_min","GSE204929"
"cgroup_L5_64fbeb97","GSE204929__GSE204929__grp_0010_vs_grp_0006__1","bracci_sotto_n_min","GSE204929"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_1_uM_24h_2_vs_DMSO_0.001_uM_24h__1","bracci_sotto_n_min","GSE114686"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_1_uM_24h_3_vs_DMSO_0.001_uM_24h__1","bracci_sotto_n_min","GSE114686"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_10_uM_24h_2_vs_DMSO_0.001_uM_24h__1","bracci_sotto_n_min","GSE114686"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_3_uM_24h_2_vs_DMSO_0.001_uM_24h__1","RISOLTO","GSE114686"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_3_uM_6h_2_vs_DMSO_0.001_uM_6h__1","bracci_sotto_n_min","GSE114686"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_10_uM_24h_3_vs_DMSO_0.001_uM_24h__1","bracci_sotto_n_min","GSE114686"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_3_uM_168h_3_vs_DMSO_0.001_uM_168h__1","bracci_sotto_n_min","GSE114686"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_3_uM_6h_3_vs_DMSO_0.001_uM_6h__1","bracci_sotto_n_min","GSE114686"
"cgroup_L5_2987cdb6","GSE132500__GSE132500__Erlotinib_vs_DMSO__1","bracci_sotto_n_min","GSE132500"
"cgroup_L5_2987cdb6","GSE146096__GSE146096__Erlotinib_3uM_48h_vs_Vehicle_Control__1","RISOLTO","GSE146096"
"cgroup_L5_2987cdb6","GSE186341__GSE186341__Erlotinib_vs_DMSO__1","bracci_sotto_n_min","GSE186341"
"cgroup_L5_2987cdb6","GSE186341__GSE186341__Erlotinib_2_vs_DMSO__1","bracci_sotto_n_min","GSE186341"
"cgroup_L5_2987cdb6","GSE186341__GSE186341__Erlotinib_vs_DMSO__2","bracci_sotto_n_min","GSE186341"
"cgroup_L5_2987cdb6","GSE217421__GSE217421__Erlotinib_MSN01_vs_DMSO_MSN01__1","RISOLTO","GSE217421"
"cgroup_L5_2987cdb6","GSE244730__GSE244730__grp_0003_vs_grp_0001__1","bracci_sotto_n_min","GSE244730"
"cgroup_L5_2987cdb6","GSE244730__GSE244730__grp_0004_vs_grp_0001__1","bracci_sotto_n_min","GSE244730"
"cgroup_L5_2987cdb6","GSE244730__GSE244730__grp_0006_vs_grp_0005__1","RISOLTO","GSE244730"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_H3255_erlotinib_24h_vs_grp_H3255_DMSO__1","RISOLTO","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_H3255_erlotinib_21days_vs_grp_H3255_DMSO__1","RISOLTO","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_HCC4006_erlotinib_21days_vs_grp_HCC4006_DMSO__1","RISOLTO","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_HCC4006_erlotinib_vs_grp_HCC4006_DMSO__1","RISOLTO","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_HCC4006_erlotinib_24h_vs_grp_HCC4006_DMSO__1","RISOLTO","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_HCC4006_erlotinib_21days_2_vs_grp_HCC4006_DMSO__1","bracci_sotto_n_min","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_7days_vs_grp_PC9_DMSO__1","RISOLTO","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_75days_vs_grp_PC9_DMSO__1","bracci_sotto_n_min","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_24h_vs_grp_PC9_DMSO__1","RISOLTO","GSE249721"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_21days_vs_grp_PC9_DMSO__1","bracci_sotto_n_min","GSE249721"
