"cluster_id","record_id","study_id","n_treated","n_control","lato_rotto"
"cgroup_L5_64fbeb97","GSE162834__GSE162834__DMOG_vs_DMSO__1","GSE162834",3,3,"nessuno"
"cgroup_L5_64fbeb97","GSE189504__GSE189504__DMOG_vs_untreated__1","GSE189504",4,4,"nessuno"
"cgroup_L5_64fbeb97","GSE190240__GSE190240__grp_0002_vs_grp_0006__1","GSE190240",1,1,"entrambi"
"cgroup_L5_64fbeb97","GSE204929__GSE204929__grp_0009_vs_grp_0006__1","GSE204929",1,4,"solo_trattato"
"cgroup_L5_64fbeb97","GSE204929__GSE204929__grp_0010_vs_grp_0006__1","GSE204929",1,4,"solo_trattato"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_1_uM_24h_2_vs_DMSO_0.001_uM_24h__1","GSE114686",1,3,"solo_trattato"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_1_uM_24h_3_vs_DMSO_0.001_uM_24h__1","GSE114686",1,3,"solo_trattato"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_10_uM_24h_2_vs_DMSO_0.001_uM_24h__1","GSE114686",1,3,"solo_trattato"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_3_uM_24h_2_vs_DMSO_0.001_uM_24h__1","GSE114686",2,3,"nessuno"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_3_uM_6h_2_vs_DMSO_0.001_uM_6h__1","GSE114686",1,1,"entrambi"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_10_uM_24h_3_vs_DMSO_0.001_uM_24h__1","GSE114686",1,3,"solo_trattato"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_3_uM_168h_3_vs_DMSO_0.001_uM_168h__1","GSE114686",1,3,"solo_trattato"
"cgroup_L5_2987cdb6","GSE114686__GSE114686__Erlotinib_3_uM_6h_3_vs_DMSO_0.001_uM_6h__1","GSE114686",1,1,"entrambi"
"cgroup_L5_2987cdb6","GSE132500__GSE132500__Erlotinib_vs_DMSO__1","GSE132500",1,1,"entrambi"
"cgroup_L5_2987cdb6","GSE146096__GSE146096__Erlotinib_3uM_48h_vs_Vehicle_Control__1","GSE146096",14,102,"nessuno"
"cgroup_L5_2987cdb6","GSE186341__GSE186341__Erlotinib_vs_DMSO__1","GSE186341",1,17,"solo_trattato"
"cgroup_L5_2987cdb6","GSE186341__GSE186341__Erlotinib_2_vs_DMSO__1","GSE186341",1,17,"solo_trattato"
"cgroup_L5_2987cdb6","GSE186341__GSE186341__Erlotinib_vs_DMSO__2","GSE186341",1,9,"solo_trattato"
"cgroup_L5_2987cdb6","GSE217421__GSE217421__Erlotinib_MSN01_vs_DMSO_MSN01__1","GSE217421",17,54,"nessuno"
"cgroup_L5_2987cdb6","GSE244730__GSE244730__grp_0003_vs_grp_0001__1","GSE244730",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE244730__GSE244730__grp_0004_vs_grp_0001__1","GSE244730",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE244730__GSE244730__grp_0006_vs_grp_0005__1","GSE244730",2,2,"nessuno"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_H3255_erlotinib_24h_vs_grp_H3255_DMSO__1","GSE249721",2,2,"nessuno"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_H3255_erlotinib_21days_vs_grp_H3255_DMSO__1","GSE249721",3,2,"nessuno"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_HCC4006_erlotinib_21days_vs_grp_HCC4006_DMSO__1","GSE249721",2,3,"nessuno"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_HCC4006_erlotinib_vs_grp_HCC4006_DMSO__1","GSE249721",2,3,"nessuno"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_HCC4006_erlotinib_24h_vs_grp_HCC4006_DMSO__1","GSE249721",3,3,"nessuno"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_HCC4006_erlotinib_21days_2_vs_grp_HCC4006_DMSO__1","GSE249721",1,3,"solo_trattato"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_7days_vs_grp_PC9_DMSO__1","GSE249721",3,2,"nessuno"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_75days_vs_grp_PC9_DMSO__1","GSE249721",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_24h_vs_grp_PC9_DMSO__1","GSE249721",3,2,"nessuno"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_21days_vs_grp_PC9_DMSO__1","GSE249721",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_75days_2_vs_grp_PC9_DMSO__1","GSE249721",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_21days_2_vs_grp_PC9_DMSO__1","GSE249721",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_75days_3_vs_grp_PC9_DMSO__1","GSE249721",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_75days_4_vs_grp_PC9_DMSO__1","GSE249721",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE249721__GSE249721__grp_PC9_erlotinib_21days_3_vs_grp_PC9_DMSO__1","GSE249721",1,2,"solo_trattato"
"cgroup_L5_2987cdb6","GSE62118__GSE62118__erlotinib_vs_DMSO__1","GSE62118",1,1,"entrambi"
"cgroup_L5_2987cdb6","GSE65420__GSE65420__grp_0002_vs_grp_0001__1","GSE65420",3,2,"nessuno"
"cgroup_L5_2987cdb6","GSE65420__GSE65420__grp_0006_vs_grp_0005__1","GSE65420",1,3,"solo_trattato"
"cgroup_L5_2987cdb6","GSE65420__GSE65420__grp_0007_vs_grp_0005__1","GSE65420",1,3,"solo_trattato"
