"cluster_id","k_effective","n_studi_poolati","n_studi_censiti","k","k_eff_mio"
"cgroup_L5_004d293d",5,5,9,9,5
"cgroup_L5_00fd9348",3,3,3,3,3
"cgroup_L5_021e875e",17,17,30,30,17
"cgroup_L5_034592d9",3,3,3,3,3
"cgroup_L5_03b38818",9,9,20,20,9
"cgroup_L5_03d0ca7b",3,3,5,5,3
"cgroup_L5_05322ba1",3,3,3,3,3
"cgroup_L5_089ccae5",5,5,8,8,5
"cgroup_L5_0e66597e",12,12,15,15,12
"cgroup_L5_10344dfd",4,4,5,5,4
"cgroup_L5_12212e41",8,8,9,9,8
"cgroup_L5_12228932",5,5,12,12,5
"cgroup_L5_16525349",4,4,4,4,4
"cgroup_L5_17b35bdc",4,4,8,8,4
"cgroup_L5_17b55386",4,4,4,4,4
"cgroup_L5_1bbf4b9b",6,6,8,8,6
"cgroup_L5_1d96b9da",10,10,16,16,10
"cgroup_L5_1e8a735e",3,3,6,6,3
"cgroup_L5_2248a891",3,3,5,5,3
"cgroup_L5_24ae0579",3,3,3,3,3
"cgroup_L5_28bee975",3,3,3,3,3
"cgroup_L5_2987cdb6",7,7,10,10,7
"cgroup_L5_29cb04f8",6,6,11,11,6
"cgroup_L5_2a225fda",4,4,5,5,4
"cgroup_L5_2ab433c8",6,6,6,6,6
"cgroup_L5_2d53def6",3,3,5,5,3
"cgroup_L5_2e16719f",59,59,78,78,59
"cgroup_L5_2ec87595",8,8,12,12,8
"cgroup_L5_31308596",5,5,8,8,5
"cgroup_L5_3370a794",4,4,4,4,4
"cgroup_L5_3439da02",4,4,5,5,4
"cgroup_L5_344e058f",3,3,5,5,3
"cgroup_L5_356eedd3",3,3,5,5,3
"cgroup_L5_35d1be10",8,8,10,10,8
"cgroup_L5_3668c2c2",3,3,4,4,3
"cgroup_L5_37942548",4,4,7,7,4
"cgroup_L5_37ecd157",4,4,4,4,4
"cgroup_L5_3824dc37",6,6,7,7,6
"cgroup_L5_387b0d1a",3,3,4,4,3
"cgroup_L5_3973fe03",4,4,6,6,4
"cgroup_L5_3a0a595f",10,10,11,11,10
"cgroup_L5_3a58e5f5",3,3,4,4,3
"cgroup_L5_3a625868",4,4,5,5,4
"cgroup_L5_3b461817",4,4,5,5,4
"cgroup_L5_3b91a21d",6,6,8,8,6
"cgroup_L5_3be7454c",3,3,6,6,3
"cgroup_L5_3d8c29f4",4,4,6,6,4
"cgroup_L5_3de56a79",3,3,4,4,3
"cgroup_L5_3eaa92c9",5,5,5,5,5
"cgroup_L5_3ec58cd6",7,7,7,7,7
"cgroup_L5_3f0cc1fe",4,4,10,10,4
"cgroup_L5_3fa847fe",3,3,5,5,3
"cgroup_L5_4041e3af",5,5,5,5,5
"cgroup_L5_41f7b088",8,8,11,11,8
"cgroup_L5_444e7fc2",9,9,12,12,9
"cgroup_L5_455fe91d",3,3,4,4,3
"cgroup_L5_469db990",3,3,3,3,3
"cgroup_L5_46a3a103",7,7,9,9,7
"cgroup_L5_4753688f",7,7,8,8,7
"cgroup_L5_479c6221",5,5,9,9,5
"cgroup_L5_49d55bfd",10,10,14,14,10
"cgroup_L5_49e290ae",4,4,5,5,4
"cgroup_L5_4b901bf1",9,9,10,10,9
"cgroup_L5_4be9e90d",4,4,4,4,4
"cgroup_L5_4d535f25",3,3,3,3,3
"cgroup_L5_4f4d9051",6,6,7,7,6
"cgroup_L5_516200d1",3,3,4,4,3
"cgroup_L5_522e9ebd",3,3,3,3,3
"cgroup_L5_522fa0c2",4,4,5,5,4
"cgroup_L5_523e64b9",3,3,4,4,3
"cgroup_L5_535d97f6",9,9,13,13,9
"cgroup_L5_538960a6",4,4,5,5,4
"cgroup_L5_545a48c6",3,3,4,4,3
"cgroup_L5_56d531e8",3,3,3,3,3
"cgroup_L5_5927750b",4,4,4,4,4
"cgroup_L5_5929f298",3,3,3,3,3
"cgroup_L5_5b9a08fb",3,3,4,4,3
"cgroup_L5_5d97d5b1",3,3,3,3,3
"cgroup_L5_5e0c0fae",4,4,4,4,4
"cgroup_L5_601ede7b",10,10,14,14,10
"cgroup_L5_63e69fdc",6,6,7,7,6
"cgroup_L5_6b7b8076",3,3,4,4,3
"cgroup_L5_6df6a50e",13,13,17,17,13
"cgroup_L5_6ee86f02",3,3,3,3,3
"cgroup_L5_702a5dea",9,9,15,15,9
"cgroup_L5_721184e6",11,11,18,18,11
"cgroup_L5_729b276d",3,3,3,3,3
"cgroup_L5_74daf1c9",4,4,4,4,4
"cgroup_L5_7784bb43",6,6,6,6,6
"cgroup_L5_7805eee6",7,7,12,12,7
"cgroup_L5_7934174c",9,9,13,13,9
"cgroup_L5_79a73ac5",7,7,9,9,7
"cgroup_L5_79b3a442",3,3,3,3,3
"cgroup_L5_79ce3bd1",6,6,10,10,6
"cgroup_L5_81b706c4",3,3,12,12,3
"cgroup_L5_828ae0cb",4,4,5,5,4
"cgroup_L5_82f82010",5,5,6,6,5
"cgroup_L5_8341bee7",3,3,3,3,3
"cgroup_L5_83b1f88c",3,3,3,3,3
"cgroup_L5_83f57274",25,25,37,37,25
"cgroup_L5_840b7e36",3,3,4,4,3
"cgroup_L5_844de383",5,5,6,6,5
"cgroup_L5_85083e38",10,10,11,11,10
"cgroup_L5_855ca642",3,3,3,3,3
"cgroup_L5_862cd9b9",3,3,3,3,3
"cgroup_L5_871ae09e",34,34,38,38,34
"cgroup_L5_87c40ebb",20,20,35,35,20
"cgroup_L5_889ec305",7,7,13,13,7
"cgroup_L5_8958b27a",5,5,7,7,5
"cgroup_L5_8a54ddd6",14,14,27,27,14
"cgroup_L5_8ac307e0",4,4,8,8,4
"cgroup_L5_8b61f50b",4,4,7,7,4
"cgroup_L5_8c9339f5",5,5,6,6,5
"cgroup_L5_8eca612e",3,3,4,4,3
"cgroup_L5_905be893",18,18,26,26,18
"cgroup_L5_90db4e34",3,3,6,6,3
"cgroup_L5_92f4f307",3,3,3,3,3
"cgroup_L5_93068469",4,4,6,6,4
"cgroup_L5_930c8dcf",23,23,34,34,23
"cgroup_L5_964c6389",3,3,4,4,3
"cgroup_L5_96c9f7bf",4,4,4,4,4
"cgroup_L5_988d478d",4,4,4,4,4
"cgroup_L5_99d7941a",5,5,5,5,5
"cgroup_L5_9bb4734d",3,3,5,5,3
"cgroup_L5_9bdf0dcb",3,3,6,6,3
"cgroup_L5_9de3f0ea",3,3,3,3,3
"cgroup_L5_9f0ea111",3,3,4,4,3
"cgroup_L5_a12414d4",10,10,16,16,10
"cgroup_L5_a25d0964",10,10,10,10,10
"cgroup_L5_a32e5eaa",14,14,31,31,14
"cgroup_L5_a3c3e08c",3,3,5,5,3
"cgroup_L5_a3f0c959",3,3,4,4,3
"cgroup_L5_a4029927",4,4,4,4,4
"cgroup_L5_a69fcae5",4,4,6,6,4
"cgroup_L5_a6fd82fa",5,5,9,9,5
"cgroup_L5_a739837c",3,3,4,4,3
"cgroup_L5_a747a14e",4,4,4,4,4
"cgroup_L5_a7509255",4,4,4,4,4
"cgroup_L5_a8015c98",5,5,7,7,5
"cgroup_L5_a8d88150",4,4,5,5,4
"cgroup_L5_a8ff7b6d",5,5,9,9,5
"cgroup_L5_aa8c1d6d",5,5,9,9,5
"cgroup_L5_aad8ed47",3,3,3,3,3
"cgroup_L5_ae11259e",4,4,5,5,4
"cgroup_L5_ae969461",3,3,3,3,3
"cgroup_L5_aecd610f",14,14,15,15,14
