"cluster_id","k_max","k_med","frac_al_max"
"cgroup_L5_004d293d",5,5,0.613850277379542
"cgroup_L5_00fd9348",3,3,0.618880874010785
"cgroup_L5_021e875e",17,16,0.466967192587027
"cgroup_L5_034592d9",3,3,0.898758420287941
"cgroup_L5_03b38818",9,8,0.40979028949168
"cgroup_L5_03d0ca7b",3,3,0.752003344714654
"cgroup_L5_05322ba1",3,3,0.835562786213545
"cgroup_L5_089ccae5",5,5,0.654707745465016
"cgroup_L5_0e66597e",12,12,0.626765027952279
"cgroup_L5_10344dfd",4,4,0.753216374269006
"cgroup_L5_12212e41",8,7,0.000519777535214928
"cgroup_L5_12228932",5,5,0.749531425715357
"cgroup_L5_16525349",4,4,0.701450209474702
"cgroup_L5_17b35bdc",4,4,0.774837652485282
"cgroup_L5_17b55386",4,4,0.834799784521458
"cgroup_L5_1bbf4b9b",6,6,0.716147218381023
"cgroup_L5_1d96b9da",10,9,0.00960080848913593
"cgroup_L5_1e8a735e",3,3,0.870803012894166
"cgroup_L5_2248a891",3,3,0.806891981444665
"cgroup_L5_24ae0579",3,2,0.432673776178851
"cgroup_L5_28bee975",3,3,0.782138484559924
"cgroup_L5_2987cdb6",7,7,0.557634730538922
"cgroup_L5_29cb04f8",6,6,0.683042149570432
"cgroup_L5_2a225fda",4,4,0.756113181183046
"cgroup_L5_2ab433c8",6,6,0.707415451442755
"cgroup_L5_2d53def6",3,3,0.779521223093945
"cgroup_L5_2e16719f",59,56,0.360999644435414
"cgroup_L5_2ec87595",8,7,0.476375478489402
"cgroup_L5_31308596",5,5,0.578663585595995
"cgroup_L5_3370a794",4,4,0.805606586378172
"cgroup_L5_3439da02",4,4,0.74919917090635
"cgroup_L5_344e058f",3,3,0.849732688391039
"cgroup_L5_356eedd3",3,3,0.796077359393152
"cgroup_L5_35d1be10",8,8,0.665397294532227
"cgroup_L5_3668c2c2",3,3,0.831156527035257
"cgroup_L5_37942548",4,4,0.790724673102774
"cgroup_L5_37ecd157",4,4,0.811718910059414
"cgroup_L5_3824dc37",6,6,0.742187946301057
"cgroup_L5_387b0d1a",3,3,0.83775676556896
"cgroup_L5_3973fe03",4,4,0.713037755040986
"cgroup_L5_3a0a595f",10,9,0.410617667541651
"cgroup_L5_3a58e5f5",3,3,0.827096856306478
"cgroup_L5_3a625868",4,4,0.682690979417047
"cgroup_L5_3b461817",4,4,0.551352524229712
"cgroup_L5_3b91a21d",6,6,0.717669923311272
"cgroup_L5_3be7454c",3,3,0.862768107438555
"cgroup_L5_3d8c29f4",4,4,0.8403647338342
"cgroup_L5_3de56a79",3,3,0.833143651997977
"cgroup_L5_3eaa92c9",5,5,0.687801059730251
"cgroup_L5_3ec58cd6",7,6,0.498459431701472
"cgroup_L5_3f0cc1fe",4,4,0.740074631430844
"cgroup_L5_3fa847fe",3,3,0.817748725902947
"cgroup_L5_4041e3af",5,5,0.707271634615385
"cgroup_L5_41f7b088",8,8,0.567119329673505
"cgroup_L5_444e7fc2",9,9,0.53819329126536
"cgroup_L5_455fe91d",3,3,0.852161230442853
"cgroup_L5_469db990",3,3,0.841020075963104
"cgroup_L5_46a3a103",7,7,0.670005271481286
"cgroup_L5_4753688f",7,7,0.726524254561638
"cgroup_L5_479c6221",5,5,0.723752926346119
"cgroup_L5_49d55bfd",10,9,0.455594253373966
"cgroup_L5_49e290ae",4,3,0.414779098452568
"cgroup_L5_4b901bf1",9,9,0.564170838214932
"cgroup_L5_4be9e90d",4,3,0.117379493335018
"cgroup_L5_4d535f25",3,3,0.786152406695083
"cgroup_L5_4f4d9051",6,6,0.666148975568962
"cgroup_L5_516200d1",3,3,0.85399138787678
"cgroup_L5_522e9ebd",3,3,0.602246915096077
"cgroup_L5_522fa0c2",4,4,0.633841192170818
"cgroup_L5_523e64b9",3,3,0.777962737691273
"cgroup_L5_535d97f6",9,7,0.338840660879306
"cgroup_L5_538960a6",4,4,0.760429547673283
"cgroup_L5_545a48c6",3,3,0.8091864446806
"cgroup_L5_56d531e8",3,3,0.810041616324339
"cgroup_L5_5927750b",4,4,0.733176928358892
"cgroup_L5_5929f298",3,3,0.84349710061811
"cgroup_L5_5b9a08fb",3,3,0.617766183840187
"cgroup_L5_5d97d5b1",3,3,0.842242416143258
"cgroup_L5_5e0c0fae",4,3,0.457438016528926
"cgroup_L5_601ede7b",10,10,0.5936233738537
"cgroup_L5_63e69fdc",6,6,0.507887461375834
"cgroup_L5_6b7b8076",3,3,0.942869845504057
"cgroup_L5_6df6a50e",13,12,0.356674195977197
"cgroup_L5_6ee86f02",3,3,0.675673936820434
"cgroup_L5_702a5dea",9,9,0.50846193563192
"cgroup_L5_721184e6",11,11,0.625169661762311
"cgroup_L5_729b276d",3,3,0.823809523809524
"cgroup_L5_74daf1c9",4,3,0.0211823499346925
"cgroup_L5_7784bb43",6,6,0.679997811576759
"cgroup_L5_7805eee6",7,5,0.0582029278142352
"cgroup_L5_7934174c",9,9,0.57129664837851
"cgroup_L5_79a73ac5",7,7,0.671711844742116
"cgroup_L5_79b3a442",3,3,0.779611590246324
"cgroup_L5_79ce3bd1",6,6,0.808132909494392
"cgroup_L5_81b706c4",3,3,0.849052944598875
"cgroup_L5_828ae0cb",4,4,0.727105028265397
"cgroup_L5_82f82010",5,5,0.715457413249211
"cgroup_L5_8341bee7",3,3,0.864630006788866
"cgroup_L5_83b1f88c",3,3,0.801555459539535
"cgroup_L5_83f57274",25,24,0.345294725956567
"cgroup_L5_840b7e36",3,3,0.860827874940914
"cgroup_L5_844de383",5,5,0.737211098568118
"cgroup_L5_85083e38",10,9,0.205519053876478
"cgroup_L5_855ca642",3,3,0.795620437956204
"cgroup_L5_862cd9b9",3,3,0.627313125953439
"cgroup_L5_871ae09e",34,33,0.428075085653622
"cgroup_L5_87c40ebb",20,19,0.486964323411442
"cgroup_L5_889ec305",7,7,0.586042169997804
"cgroup_L5_8958b27a",5,5,0.606048521103357
"cgroup_L5_8a54ddd6",14,13,0.386347527397634
"cgroup_L5_8ac307e0",4,4,0.680498965711778
"cgroup_L5_8b61f50b",4,4,0.56433765412583
