"cluster_id","k_eff","studi_persi_n_min"
"cgroup_L5_004d293d",5,4
"cgroup_L5_00fd9348",3,0
"cgroup_L5_021e875e",17,13
"cgroup_L5_034592d9",3,0
"cgroup_L5_03544ab6",0,3
"cgroup_L5_03b38818",9,11
"cgroup_L5_03d0ca7b",3,2
"cgroup_L5_05322ba1",3,0
"cgroup_L5_067df4a3",2,1
"cgroup_L5_06ff1592",1,2
"cgroup_L5_089ccae5",5,3
"cgroup_L5_0a4e5f58",1,2
"cgroup_L5_0a71325c",2,1
"cgroup_L5_0b985869",2,1
"cgroup_L5_0dd60753",1,6
"cgroup_L5_0e66597e",12,3
"cgroup_L5_10344dfd",4,1
"cgroup_L5_12212e41",8,1
"cgroup_L5_12228932",5,7
"cgroup_L5_1556072e",2,1
"cgroup_L5_16525349",4,0
"cgroup_L5_165b7913",2,3
"cgroup_L5_16aef109",0,3
"cgroup_L5_17b35bdc",4,4
"cgroup_L5_17b55386",4,0
"cgroup_L5_1bbf4b9b",6,2
"cgroup_L5_1c583f9b",1,2
"cgroup_L5_1c7b64af",2,1
"cgroup_L5_1d4f4a13",2,1
"cgroup_L5_1d96b9da",10,6
"cgroup_L5_1e8a735e",3,3
"cgroup_L5_203dc31a",2,1
"cgroup_L5_206576be",1,2
"cgroup_L5_2248a891",3,2
"cgroup_L5_24ae0579",3,0
"cgroup_L5_2618c026",2,1
"cgroup_L5_26c302f6",1,2
"cgroup_L5_27f3255f",0,4
"cgroup_L5_28bee975",3,0
"cgroup_L5_2987cdb6",7,3
"cgroup_L5_29cb04f8",6,5
"cgroup_L5_2a225fda",4,1
"cgroup_L5_2ab433c8",6,0
"cgroup_L5_2d53def6",3,2
"cgroup_L5_2e16719f",59,19
"cgroup_L5_2ec87595",8,4
"cgroup_L5_2f86628a",1,2
"cgroup_L5_304e1195",1,3
"cgroup_L5_31308596",5,3
"cgroup_L5_3370a794",4,0
"cgroup_L5_34376df0",1,2
"cgroup_L5_3437775a",2,1
"cgroup_L5_3439da02",4,1
"cgroup_L5_344e058f",3,2
"cgroup_L5_356eedd3",3,2
"cgroup_L5_35d1be10",8,2
"cgroup_L5_3668c2c2",3,1
"cgroup_L5_36a11112",1,2
"cgroup_L5_36b956de",2,1
"cgroup_L5_37942548",4,3
"cgroup_L5_37b0b276",1,3
"cgroup_L5_37ecd157",4,0
"cgroup_L5_3824dc37",6,1
"cgroup_L5_387b0d1a",3,1
"cgroup_L5_38c9104c",1,2
"cgroup_L5_3973fe03",4,2
"cgroup_L5_3a0a595f",10,1
"cgroup_L5_3a58e5f5",3,1
"cgroup_L5_3a625868",4,1
"cgroup_L5_3b461817",4,1
"cgroup_L5_3b91a21d",6,2
"cgroup_L5_3be7454c",3,3
"cgroup_L5_3d3658ad",2,1
"cgroup_L5_3d8c29f4",4,2
"cgroup_L5_3de56a79",3,1
"cgroup_L5_3e8ba26a",2,1
"cgroup_L5_3eaa92c9",5,0
"cgroup_L5_3ec58cd6",7,0
"cgroup_L5_3f0cc1fe",4,6
"cgroup_L5_3fa847fe",3,2
"cgroup_L5_4041e3af",5,0
"cgroup_L5_417c69a3",2,2
"cgroup_L5_41f7b088",8,3
"cgroup_L5_4290da61",1,2
"cgroup_L5_4399f313",2,1
"cgroup_L5_44420e6e",2,1
"cgroup_L5_444e7fc2",9,3
"cgroup_L5_451ecb56",1,2
"cgroup_L5_455fe91d",3,1
"cgroup_L5_45ca22b1",0,3
"cgroup_L5_469db990",3,0
"cgroup_L5_46a3a103",7,2
"cgroup_L5_4753688f",7,1
"cgroup_L5_479c6221",5,4
"cgroup_L5_47e67cab",1,2
"cgroup_L5_49d55bfd",10,4
"cgroup_L5_49e290ae",4,1
"cgroup_L5_4b901bf1",9,1
"cgroup_L5_4be9e90d",4,0
"cgroup_L5_4d535f25",3,0
"cgroup_L5_4def5638",2,1
"cgroup_L5_4f4d9051",6,1
"cgroup_L5_516200d1",3,1
"cgroup_L5_522e9ebd",3,0
"cgroup_L5_522fa0c2",4,1
"cgroup_L5_523e64b9",3,1
"cgroup_L5_535d97f6",9,4
"cgroup_L5_538960a6",4,1
"cgroup_L5_545a48c6",3,1
"cgroup_L5_548236b5",2,4
"cgroup_L5_56d531e8",3,0
"cgroup_L5_574b5d0e",1,2
"cgroup_L5_5756018b",1,2
"cgroup_L5_57810d6c",1,2
"cgroup_L5_57ea5503",2,2
"cgroup_L5_5801e974",1,3
"cgroup_L5_5927750b",4,0
"cgroup_L5_5929f298",3,0
"cgroup_L5_59d2b212",1,2
"cgroup_L5_5a202240",2,1
"cgroup_L5_5b9a08fb",3,1
"cgroup_L5_5d1a5c5f",1,3
"cgroup_L5_5d97d5b1",3,0
"cgroup_L5_5e0c0fae",4,0
"cgroup_L5_601ede7b",10,4
"cgroup_L5_60d9a5bf",2,2
"cgroup_L5_61352c9e",2,1
"cgroup_L5_62404e11",2,2
"cgroup_L5_63180d66",2,1
"cgroup_L5_63e69fdc",6,1
"cgroup_L5_64adcd6b",0,3
"cgroup_L5_64c55823",0,3
"cgroup_L5_64fbeb97",2,2
"cgroup_L5_67e7722b",2,1
"cgroup_L5_680b6b9c",0,3
"cgroup_L5_6ac5ea3a",2,2
"cgroup_L5_6b7b8076",3,1
"cgroup_L5_6c7f9e9e",2,1
"cgroup_L5_6ce4ac22",2,1
"cgroup_L5_6d58c751",0,3
"cgroup_L5_6df6a50e",13,4
"cgroup_L5_6e9f3913",2,1
"cgroup_L5_6ee86f02",3,0
"cgroup_L5_702a5dea",9,6
"cgroup_L5_70f8671b",1,2
"cgroup_L5_719ab136",2,1
"cgroup_L5_721184e6",11,7
"cgroup_L5_729b276d",3,0
"cgroup_L5_74daf1c9",4,0
"cgroup_L5_75110535",0,3
"cgroup_L5_759892f5",2,1
"cgroup_L5_7636ff0e",2,1
"cgroup_L5_766cd3c6",2,1
"cgroup_L5_777adc83",2,1
"cgroup_L5_7784bb43",6,0
"cgroup_L5_7805eee6",7,5
"cgroup_L5_7934174c",9,4
"cgroup_L5_79981eb2",2,1
"cgroup_L5_79a73ac5",7,2
"cgroup_L5_79b3a442",3,0
"cgroup_L5_79ce3bd1",6,4
"cgroup_L5_7a9d880a",2,1
"cgroup_L5_7b545f77",2,4
"cgroup_L5_7ba0168b",2,1
"cgroup_L5_7cc951b5",1,4
"cgroup_L5_7cda77c1",0,3
"cgroup_L5_8078374b",1,2
"cgroup_L5_80a3028a",1,3
"cgroup_L5_81b706c4",3,9
"cgroup_L5_81c08752",1,3
"cgroup_L5_828ae0cb",4,1
"cgroup_L5_82f82010",5,1
"cgroup_L5_83135c89",2,2
"cgroup_L5_8341bee7",3,0
"cgroup_L5_83b1f88c",3,0
"cgroup_L5_83f57274",25,12
"cgroup_L5_840b7e36",3,1
"cgroup_L5_844de383",5,1
"cgroup_L5_84b52570",2,1
"cgroup_L5_85083e38",10,1
"cgroup_L5_855ca642",3,0
"cgroup_L5_862cd9b9",3,0
"cgroup_L5_86417b40",2,1
"cgroup_L5_87135459",2,1
"cgroup_L5_871ae09e",34,4
"cgroup_L5_87c40ebb",20,15
"cgroup_L5_889ec305",7,6
"cgroup_L5_8958b27a",5,2
"cgroup_L5_8a54ddd6",14,13
"cgroup_L5_8ac307e0",4,4
"cgroup_L5_8b61f50b",4,3
"cgroup_L5_8b65b3ff",2,2
"cgroup_L5_8be26844",1,3
"cgroup_L5_8c9339f5",5,1
"cgroup_L5_8e775709",2,2
"cgroup_L5_8eca612e",3,1
"cgroup_L5_8f29463d",2,1
"cgroup_L5_905be893",18,8
"cgroup_L5_90db4e34",3,3
"cgroup_L5_9132f546",2,1
"cgroup_L5_92f4f307",3,0
"cgroup_L5_93068469",4,2
"cgroup_L5_930c8dcf",23,11
"cgroup_L5_964c6389",3,1
"cgroup_L5_96c9f7bf",4,0
"cgroup_L5_97da8b42",2,1
"cgroup_L5_988d478d",4,0
"cgroup_L5_99d7941a",5,0
"cgroup_L5_9bb4734d",3,2
"cgroup_L5_9bdf0dcb",3,3
"cgroup_L5_9de3f0ea",3,0
"cgroup_L5_9f0ea111",3,1
"cgroup_L5_9f293ec3",1,2
"cgroup_L5_9f34eb99",2,1
"cgroup_L5_a12414d4",10,6
"cgroup_L5_a25d0964",10,0
"cgroup_L5_a3112513",2,1
"cgroup_L5_a32e5eaa",14,17
"cgroup_L5_a3c3e08c",3,2
"cgroup_L5_a3f0c959",3,1
"cgroup_L5_a4029927",4,0
"cgroup_L5_a48d6990",1,3
"cgroup_L5_a69fcae5",4,2
"cgroup_L5_a6fd82fa",5,4
"cgroup_L5_a739837c",3,1
"cgroup_L5_a747a14e",4,0
"cgroup_L5_a7509255",4,0
"cgroup_L5_a8015c98",5,2
"cgroup_L5_a8d88150",4,1
"cgroup_L5_a8ff7b6d",5,4
"cgroup_L5_a90d3d64",1,4
"cgroup_L5_aa505132",2,2
"cgroup_L5_aa8c1d6d",5,4
"cgroup_L5_aad8ed47",3,0
"cgroup_L5_aaecff07",1,2
"cgroup_L5_ae11259e",4,1
"cgroup_L5_ae969461",3,0
"cgroup_L5_aecd610f",14,1
"cgroup_L5_af2c15aa",2,2
"cgroup_L5_af782291",1,2
"cgroup_L5_af8f3547",2,1
"cgroup_L5_b0066299",4,6
"cgroup_L5_b0e8388e",2,2
"cgroup_L5_b1c1f147",2,1
"cgroup_L5_b2645a34",2,2
"cgroup_L5_b2affd22",6,3
"cgroup_L5_b32ab7f6",9,3
"cgroup_L5_b3bbf8e4",1,2
"cgroup_L5_b3ccf1c1",3,0
"cgroup_L5_b45f7252",2,1
"cgroup_L5_b5db4aff",4,1
"cgroup_L5_b6b8bc00",15,11
"cgroup_L5_b71a25a2",25,16
"cgroup_L5_b80b0368",1,2
"cgroup_L5_b837242a",2,1
"cgroup_L5_b8bc334a",1,2
"cgroup_L5_b967c97c",2,2
"cgroup_L5_b9921e6e",2,1
"cgroup_L5_b9c77320",4,2
"cgroup_L5_b9e7806c",3,4
"cgroup_L5_ba4af011",7,0
"cgroup_L5_bb8cb388",7,2
"cgroup_L5_bd19fe42",9,2
"cgroup_L5_bd40f34f",3,1
"cgroup_L5_be15b706",12,3
"cgroup_L5_be3d65c3",2,1
"cgroup_L5_bfeacf75",2,1
"cgroup_L5_bff799ca",1,2
"cgroup_L5_c040a36d",4,1
"cgroup_L5_c054e202",6,2
"cgroup_L5_c0d1d837",19,10
"cgroup_L5_c13b1103",5,0
"cgroup_L5_c2cce144",2,1
"cgroup_L5_c3ae78cd",10,6
"cgroup_L5_c4640631",2,4
"cgroup_L5_c548d053",35,15
"cgroup_L5_c5c72bba",0,3
"cgroup_L5_c5e86fe9",7,8
"cgroup_L5_c669863b",2,1
"cgroup_L5_c860712d",5,2
"cgroup_L5_c99ed4ee",2,3
"cgroup_L5_cacf5d1a",3,0
"cgroup_L5_cbc935db",1,4
"cgroup_L5_cf34c533",3,2
"cgroup_L5_cfad03a8",3,2
"cgroup_L5_d28620cd",3,0
"cgroup_L5_d2c64672",4,2
"cgroup_L5_d411c435",5,1
"cgroup_L5_d53bf74e",3,0
"cgroup_L5_d5e39a5d",4,0
"cgroup_L5_d5e79c9e",1,2
"cgroup_L5_d631ee89",3,1
"cgroup_L5_d693cf88",2,1
"cgroup_L5_d6fad784",2,1
"cgroup_L5_d7abf612",3,0
"cgroup_L5_d7ad915e",7,1
"cgroup_L5_d8006c5b",3,1
"cgroup_L5_d800c4f2",2,5
"cgroup_L5_d9e23e09",32,9
"cgroup_L5_dc7451b1",7,1
"cgroup_L5_dcce160a",4,1
"cgroup_L5_dcfcec80",2,1
"cgroup_L5_dd2a13de",3,4
"cgroup_L5_dd2a1a58",5,1
"cgroup_L5_dde29fb4",8,12
"cgroup_L5_debadb13",3,1
"cgroup_L5_df599af1",5,2
"cgroup_L5_e0c9a685",2,1
"cgroup_L5_e0fdea29",1,2
"cgroup_L5_e135d758",1,3
"cgroup_L5_e16bfa7f",3,0
"cgroup_L5_e17c136b",3,1
"cgroup_L5_e25d67cf",2,2
"cgroup_L5_e294a3bc",3,2
"cgroup_L5_e7eebebd",3,0
"cgroup_L5_ea4a1823",3,0
"cgroup_L5_ead098cd",2,1
"cgroup_L5_eb5e1e65",13,7
"cgroup_L5_eba39954",4,1
"cgroup_L5_ebd83cd1",2,1
"cgroup_L5_edc8e828",2,1
"cgroup_L5_ee94648c",3,3
"cgroup_L5_eedd08cb",3,1
"cgroup_L5_ef9b09df",2,3
"cgroup_L5_efced505",9,2
"cgroup_L5_f01e9f74",2,1
"cgroup_L5_f2139c4f",3,0
"cgroup_L5_f2481870",3,0
"cgroup_L5_f25af0a2",2,1
"cgroup_L5_f29dd3b3",5,2
"cgroup_L5_f2f8d3ac",2,1
"cgroup_L5_f34ff8df",3,10
"cgroup_L5_f44b01e2",2,2
"cgroup_L5_f51ff620",4,0
"cgroup_L5_f56d966d",3,1
"cgroup_L5_f640365a",3,1
"cgroup_L5_f832048f",5,1
"cgroup_L5_f94b6180",22,4
"cgroup_L5_f956ef98",5,2
"cgroup_L5_f9769fd6",1,2
"cgroup_L5_f97e50de",8,3
"cgroup_L5_f97e665a",2,4
"cgroup_L5_f9cc41b3",3,0
"cgroup_L5_fa0ee5b4",1,5
"cgroup_L5_fbcdc471",0,3
"cgroup_L5_fd0c6a79",4,1
"cgroup_L5_fde7b89b",0,3
"cgroup_L5_fea19ca0",3,1
"cgroup_L5_ff04c7c1",2,2
"cgroup_L5_ff45f67e",3,2
"cgroup_L5_ff78d2a8",3,2
