"id_a","id_b","reg_a","reg_b","chiave","tier","entrambi_nel_corpus"
"CHEBI:10022","CHEMBL:CHEMBL513300","chebi","chembl","deoxynivalenol","T1_canonico_canonico",FALSE
"CHEBI:100241","CHEMBL:CHEMBL8","chebi","chembl","ciprofloxacin","T1_canonico_canonico",FALSE
"CHEBI:100241","MeSH:D002939","chebi","mesh","ciprofloxacin","T1_canonico_canonico",FALSE
"CHEBI:10033","CHEMBL:CHEMBL1464","chebi","chembl","warfarina","T3_alias_alias",FALSE
"CHEBI:10429","CHEMBL:CHEMBL15192","chebi","chembl","lapachone","T1_canonico_canonico",FALSE
"CHEBI:114785","CHEMBL:CHEMBL553","chebi","chembl","erlotinib","T1_canonico_canonico",FALSE
"CHEBI:114785","MeSH:D000069347","chebi","mesh","erlotinib","T2_canonico_alias",FALSE
"CHEBI:116509","MeSH:D004237","chebi","mesh","diuron","T1_canonico_canonico",FALSE
"CHEBI:119573","CHEMBL:CHEMBL593","chebi","chembl","delavirdine","T1_canonico_canonico",FALSE
"CHEBI:119573","MeSH:D020008","chebi","mesh","delavirdine","T1_canonico_canonico",FALSE
"CHEBI:119915","CHEMBL:CHEMBL596","chebi","chembl","fentanyl","T1_canonico_canonico",FALSE
"CHEBI:119915","MeSH:D005283","chebi","mesh","fentanyl","T1_canonico_canonico",FALSE
"CHEBI:124921","CHEMBL:CHEMBL3287735","chebi","chembl","gsk2816126","T2_canonico_alias",FALSE
"CHEBI:125354","CHEMBL:CHEMBL18442","chebi","chembl","plerixafor","T1_canonico_canonico",FALSE
"CHEBI:125628","CHEMBL:CHEMBL483158","chebi","chembl","alisertib","T1_canonico_canonico",FALSE
"CHEBI:131146","CHEMBL:CHEMBL1255733","chebi","chembl","dihydroouabain","T1_canonico_canonico",FALSE
"CHEBI:131156","CHEMBL:CHEMBL2041933","chebi","chembl","azd7762","T1_canonico_canonico",FALSE
"CHEBI:131167","CHEMBL:CHEMBL1088752","chebi","chembl","losmapimod","T1_canonico_canonico",FALSE
"CHEBI:132082","CHEMBL:CHEMBL27759","chebi","chembl","entinostat","T1_canonico_canonico",FALSE
"CHEBI:132268","CHEMBL:CHEMBL2105719","chebi","chembl","dacomitinib","T1_canonico_canonico",FALSE
"CHEBI:132268","CHEMBL:CHEMBL2110732","chebi","chembl","pf00299804","T3_alias_alias",FALSE
"CHEBI:132774","CHEMBL:CHEMBL2338329","chebi","chembl","roxadustat","T1_canonico_canonico",FALSE
"CHEBI:132893","CHEMBL:CHEMBL504256","chebi","chembl","fangchinoline","T1_canonico_canonico",FALSE
"CHEBI:132986","CHEMBL:CHEMBL2408045","chebi","chembl","sapitinib","T1_canonico_canonico",FALSE
"CHEBI:133021","CHEMBL:CHEMBL3137309","chebi","chembl","venetoclax","T1_canonico_canonico",FALSE
"CHEBI:134606","CHEMBL:CHEMBL2105241","chebi","chembl","e212","T3_alias_alias",FALSE
"CHEBI:134606","CHEMBL:CHEMBL99668","chebi","chembl","toyocamycin","T1_canonico_canonico",FALSE
"CHEBI:134606","MeSH:D014127","chebi","mesh","toyocamycin","T1_canonico_canonico",FALSE
"CHEBI:135002","CHEMBL:CHEMBL118218","chebi","chembl","irofulven","T1_canonico_canonico",FALSE
"CHEBI:135598","CHEMBL:CHEMBL1615784","chebi","chembl","tetrofosmin","T1_canonico_canonico",FALSE
"CHEBI:135898","CHEMBL:CHEMBL506569","chebi","chembl","lanatosidec","T1_canonico_canonico",FALSE
"CHEBI:135899","CHEMBL:CHEMBL382301","chebi","chembl","atosiban","T1_canonico_canonico",FALSE
"CHEBI:135899","CHEMBL:CHEMBL5315050","chebi","chembl","atosibanacetate","T2_canonico_alias",FALSE
"CHEBI:135918","CHEMBL:CHEMBL3621988","chebi","chembl","chidamide","T2_canonico_alias",FALSE
"CHEBI:135938","CHEMBL:CHEMBL328190","chebi","chembl","lasofoxifene","T1_canonico_canonico",FALSE
"CHEBI:135938","CHEMBL:CHEMBL6067998","chebi","chembl","cp336156","T3_alias_alias",FALSE
"CHEBI:138156","HGNC:10625","chebi","hgnc","ccl26","T2_canonico_alias",FALSE
"CHEBI:138236","CHEMBL:CHEMBL1164920","chebi","chembl","oridonin","T1_canonico_canonico",FALSE
"CHEBI:138488","CHEMBL:CHEMBL50894","chebi","chembl","alsterpaullone","T1_canonico_canonico",FALSE
"CHEBI:138511","CHEMBL:CHEMBL272733","chebi","chembl","piericidina","T1_canonico_canonico",FALSE
