"registro","id_a","id_b","chiave","rango","is_a","k_a","k_b","nome_a","nome_b"
"chebi","CHEBI:43717","CHEBI:85993","6acetyl8cyclopentyl5methyl25piperazin1ylpyridin2ylaminopyrido23dpyrimidin78hone",1,"",3,27,"6-acetyl-8-cyclopentyl-5-methyl-2-[(5-piperazin-1-ylpyridin-2-yl)amino]pyrido[2,3-d]pyrimidin-7(8H)-one","palbociclib"
"chebi","CHEBI:16469","CHEBI:23965","estra13510triene317diol",2,"a_is_a_b",17,1,"17beta-estradiol","estradiol"
"chebi","CHEBI:16469","CHEBI:23965","estradiol",1,"a_is_a_b",17,1,"17beta-estradiol","estradiol"
"chebi","CHEBI:17234","CHEBI:4167","glucose",1,"",3,11,"glucose","D-glucopyranose"
"chebi","CHEBI:75991","CHEBI:75998","gsk1120212",2,"",1,16,"trametinib dimethyl sulfoxide","trametinib"
"chebi","CHEBI:15756","CHEBI:7896","hexadecanoate",1,"",3,3,"hexadecanoic acid","hexadecanoate"
"chebi","CHEBI:43717","CHEBI:85993","ibrance",2,"",3,27,"6-acetyl-8-cyclopentyl-5-methyl-2-[(5-piperazin-1-ylpyridin-2-yl)amino]pyrido[2,3-d]pyrimidin-7(8H)-one","palbociclib"
"chebi","CHEBI:75991","CHEBI:75998","jtp74057",2,"",1,16,"trametinib dimethyl sulfoxide","trametinib"
"chebi","CHEBI:18050","CHEBI:30011","lglutamine",1,"",3,1,"L-glutamine","L-glutamine residue"
"chebi","CHEBI:15940","CHEBI:17154","niacin",2,"",1,3,"nicotinic acid","nicotinamide"
"chebi","CHEBI:15756","CHEBI:7896","palmitate",2,"",3,3,"hexadecanoic acid","hexadecanoate"
"chebi","CHEBI:43717","CHEBI:85993","pd0332991",2,"",3,27,"6-acetyl-8-cyclopentyl-5-methyl-2-[(5-piperazin-1-ylpyridin-2-yl)amino]pyrido[2,3-d]pyrimidin-7(8H)-one","palbociclib"
"chebi","CHEBI:15940","CHEBI:17154","vitaminb3",2,"",1,3,"nicotinic acid","nicotinamide"
"chebi","CHEBI:27363","CHEBI:29105","znii",2,"",2,2,"zinc atom","zinc(2+)"
"hgnc","HGNC:7976","HGNC:9005","arp1",2,"",1,1,"NR2F2","paired like homeodomain 2"
"hgnc","HGNC:15804","HGNC:1733","ched",2,"",1,1,"OVOL2","CDK13"
"hgnc","HGNC:12856","HGNC:9543","delta",2,"",1,1,"YY1","proteasome 20S subunit beta 6"
"hgnc","HGNC:3488","HGNC:3749","ewsr2",2,"",1,2,"ETS1","FLI1"
"hgnc","HGNC:5417","HGNC:5423","ifna",2,"",9,5,"IFNA1","IFNA2"
"hgnc","HGNC:14900","HGNC:6005","il21",1,"",8,5,"IL22","IL21"
"hgnc","HGNC:16200","HGNC:17563","mta70",2,"",1,4,"PCIF1","methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit"
"hgnc","HGNC:4071","HGNC:7782","nrf2",2,"",1,1,"GA binding protein transcription factor subunit alpha","NFE2L2"
"hgnc","HGNC:30313","HGNC:5973","p600",2,"",1,15,"ubiquitin protein ligase E3 component n-recognin 4","IL13"
"hgnc","HGNC:23696","HGNC:270","parp1",1,"",1,1,"TCDD inducible poly(ADP-ribose) polymerase","PARP1"
