"entita_canonica","verso","n_scritture","scritture","k_somma","k_max_singolo","n_cluster","n_chiavi_controllo","chiavi_controllo","scritture_nella_stessa_chiave_controllo","studi_slot_distinti","tier"
"HGNC:11892","gain",2,"HGNC:11892(k=1) + HGNC:11892(k=1) + HGNC:11892(k=1) + HGNC:11892(k=1) + CHEMBL:CHEMBL265582(k=7) + CHEMBL:CHEMBL265582(k=1) + HGNC:11892(k=1) + HGNC:11892(k=1) + HGNC:11892(k=1) + HGNC:11892(k=2) + HGNC:11892(k=41) + HGNC:11892(k=1) + HGNC:11892(k=1) + HGNC:11892(k=1)",61,41,14,13,"htert immortilized pola deficient poly da dt | wt non stimulated | no treat | water | vehicle_untreated | ml tnf alpha | sicontrol poly da dt | fp | sham | ctrl | vc | adherent culture | sicontrol",2,57,"T2_canonico_alias"
"HGNC:6018","gain",2,"MeSH:D015850(k=1) + HGNC:6018(k=10)",11,10,2,1,"vehicle_untreated",2,11,"T1_canonico_canonico"
"CHEMBL:CHEMBL2107881","gain",2,"HGNC:2434(k=1) + HGNC:2434(k=3) + CHEMBL:CHEMBL2107881(k=1) + CHEMBL:CHEMBL2107881(k=4)",9,4,4,3,"negctrl | vehicle_untreated | cd cells from peripheral blood+vehicle_untreated",2,9,"T3_alias_alias"
"HGNC:5977","gain",2,"CHEMBL:CHEMBL4297989(k=1) + HGNC:5977(k=4) + CHEMBL:CHEMBL4297989(k=2)",7,4,3,2,"vehicle_untreated_ownbase | vehicle_untreated",2,7,"T2_canonico_alias"
"CHEMBL:CHEMBL4297771","gain",2,"CHEMBL:CHEMBL4297771(k=4) + HGNC:5962(k=2)",6,4,2,1,"vehicle_untreated",2,6,"T1_canonico_canonico"
"CHEBI:63451","gain",2,"CHEBI:63451(k=2) + CHEMBL:CHEMBL1852688(k=1)",3,2,2,1,"vehicle_untreated",2,3,"T2_canonico_alias"
"CHEBI:80240","gain",2,"CHEBI:80240(k=1) + CHEMBL:CHEMBL437472(k=1) + CHEBI:80240(k=1)",3,1,3,2,"vehicle_untreated | ascorbic acid",2,3,"T2_canonico_alias"
"CHEMBL:CHEMBL2108239","gain",2,"CHEMBL:CHEMBL2108239(k=1) + CHEMBL:CHEMBL2108239(k=1) + HGNC:2432(k=1)",3,1,3,3,"non treatment | vehicle_untreated | mcsf",1,3,"T2_canonico_alias"
"CHEBI:220491","gain",2,"CHEBI:220491(k=1) + CHEMBL:CHEMBL4456585(k=1)",2,1,2,1,"vehicle_untreated",2,2,"T2_canonico_alias"
"CHEBI:78030","gain",2,"CHEMBL:CHEMBL3188386(k=1) + CHEBI:78030(k=1)",2,1,2,2,"vehicle_untreated | n a+vehicle_untreated",1,2,"T2_canonico_alias"
"HGNC:5024","gain",2,"HGNC:5024(k=1) + MeSH:D003924(k=1)",2,1,2,2,"an hipsc | vehicle_untreated",1,2,"T3_alias_alias"
"HGNC:8800","gain",2,"HGNC:8800(k=1) + CHEMBL:CHEMBL1201556(k=1)",2,1,2,2,"gfp | vehicle_untreated",1,2,"T2_canonico_alias"
"MeSH:D014780","gain",2,"MeSH:D014780(k=1) + NCBITaxon:10239(k=1)",2,1,2,2,"vehicle_untreated | vehicle_untreated_clin",1,2,"T1_canonico_canonico"
