"registro","id_a","id_b","verso","k_a","k_b","k_se_fusi","n_cluster","studi_slot","chiave_controllo_comune","alias_condiviso","is_a"
"hgnc","HGNC:5417","HGNC:5423","gain",9,5,14,7,14,"vehicle_untreated","ifna",""
"hgnc","HGNC:14900","HGNC:6005","gain",7,5,12,3,12,"vehicle_untreated","il21",""
"chebi","CHEBI:43717","CHEBI:85993","gain",3,27,30,4,29,"vehicle_untreated","6acetyl8cyclopentyl5methyl25piperazin1ylpyridin2ylaminopyrido23dpyrimidin78hone",""
"chebi","CHEBI:17234","CHEBI:4167","gain",3,7,10,4,9,"vehicle_untreated","glucose",""
"chebi","CHEBI:15756","CHEBI:7896","gain",3,3,6,4,6,"dmem;vehicle_untreated","hexadecanoate",""
"chebi","CHEBI:27363","CHEBI:29105","gain",2,2,4,2,3,"vehicle_untreated","znii",""
"chebi","CHEBI:16469","CHEBI:23965","gain",17,1,18,3,18,"vehicle_untreated","estra13510triene317diol","a_is_a_b"
"chebi","CHEBI:75991","CHEBI:75998","gain",1,15,16,2,16,"vehicle_untreated","gsk1120212",""
"chebi","CHEBI:18050","CHEBI:30011","loss",1,1,2,2,2,"","lglutamine",""
"chebi","CHEBI:15940","CHEBI:17154","gain",1,3,4,2,4,"vehicle_untreated","niacin",""
"hgnc","HGNC:15804","HGNC:1733","gain",1,1,2,2,2,"","ched",""
"hgnc","HGNC:12856","HGNC:9543","gain",1,1,2,2,2,"","delta",""
"hgnc","HGNC:3488","HGNC:3749","gain",1,1,2,2,2,"","ewsr2",""
"hgnc","HGNC:16200","HGNC:17563","block",1,1,2,2,2,"","mta70",""
"hgnc","HGNC:4071","HGNC:7782","block",1,1,2,2,2,"","nrf2",""
