"id_a","id_b","reg_a","reg_b","chiave","tier","entrambi_nel_corpus","nome_a","nome_b","k_a","k_b"
"CHEMBL:CHEMBL265582","HGNC:11892","chembl","hgnc","tnfalpha","T2_canonico_alias",TRUE,"TNF-ALPHA","TNF (tumor necrosis factor)",8,54
"MeSH:D015850","HGNC:6018","mesh","hgnc","interleukin6","T1_canonico_canonico",TRUE,"Interleukin-6","IL6 (interleukin 6)",1,11
"CHEMBL:CHEMBL2107881","HGNC:2434","chembl","hgnc","gmcsf","T3_alias_alias",TRUE,"REGRAMOSTIM","CSF2 (colony stimulating factor 2)",5,4
"CHEMBL:CHEMBL1201583","HGNC:6804","chembl","hgnc","ct16","T3_alias_alias",TRUE,"BEVACIZUMAB","MAGEA6 (MAGE family member A6)",4,1
"CHEMBL:CHEMBL4297771","HGNC:5962","chembl","hgnc","interleukin10","T1_canonico_canonico",TRUE,"INTERLEUKIN-10","IL10 (interleukin 10)",4,2
"CHEMBL:CHEMBL4297989","HGNC:5977","chembl","hgnc","il15","T2_canonico_alias",TRUE,"INTERLEUKIN 15, RECOMBINANT NON-GLYCOSYLATED","IL15 (interleukin 15)",3,4
"CHEMBL:CHEMBL1852688","CHEBI:63451","chembl","chebi","bgj398","T2_canonico_alias",TRUE,"INFIGRATINIB","BGJ-398",1,2
"CHEMBL:CHEMBL437472","CHEBI:80240","chembl","chebi","endothelin1","T2_canonico_alias",TRUE,"ENDOTHELIN","Endothelin-1",1,2
"CHEMBL:CHEMBL2108239","HGNC:2432","chembl","hgnc","csf1","T2_canonico_alias",TRUE,"CILMOSTIM","CSF1 (colony stimulating factor 1)",2,1
"HGNC:8619","CHEBI:202717","hgnc","chebi","pax5","T1_canonico_canonico",TRUE,"PAX5 (paired box 5)","PAX5",1,1
"CHEMBL:CHEMBL4456585","CHEBI:220491","chembl","chebi","compound4","T2_canonico_alias",TRUE,"WM-1119","Compound 4",1,1
"CHEMBL:CHEMBL3188386","CHEBI:78030","chembl","chebi","lgk974","T2_canonico_alias",TRUE,"WNT-974","LGK974",1,1
"CHEMBL:CHEMBL1201556","HGNC:8800","chembl","hgnc","pdgfb","T2_canonico_alias",TRUE,"BECAPLERMIN","PDGFB (platelet derived growth factor subunit B)",1,1
"MeSH:D003924","HGNC:5024","mesh","hgnc","mody","T3_alias_alias",TRUE,"Diabetes Mellitus, Type 2","HNF4A (hepatocyte nuclear factor 4 alpha)",1,1
"NCBITaxon:10239","MeSH:D014780","ncbitaxon","mesh","viruses","T1_canonico_canonico",TRUE,"viruses","Viruses",1,1
